GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
AL627309.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.5	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
AP006222.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01409	9.0	5.0	3.0	5.0	1.0	1.0	4.0	2.0	10.0	9.0
FAM87B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01128	14.0	5.0	10.0	10.0	8.0	5.0	9.0	9.0	9.0	6.0
LINC00115	5.0	2.0	3.0	5.0	4.0	1.0	5.0	6.0	2.0	4.0
FAM41C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL645608.6	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
AL645608.2	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
LINC02593	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAMD11	0.0	0.0	1.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0
NOC2L	24.0	20.0	24.0	20.0	28.0	21.0	21.0	24.0	23.0	22.0
KLHL17	2.0	0.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0
PLEKHN1	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
PERM1	1.0	2.0	0.0	0.0	1.0	0.0	3.0	2.0	0.0	1.0
AL645608.7	4.0	4.0	10.0	6.0	5.0	3.0	4.0	5.0	2.0	3.0
HES4	1.0	0.0	2.0	2.0	5.0	1.0	2.0	2.0	6.0	4.0
ISG15	11.0	15.0	20.0	14.0	17.0	16.0	24.0	15.0	20.0	15.0
AL645608.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGRN	10.0	5.0	9.0	7.0	11.0	8.0	6.0	9.0	4.0	7.0
AL645608.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF223	23.0	38.0	39.0	33.0	34.0	36.0	27.0	25.0	30.0	32.0
C1orf159	12.0	9.0	10.0	17.0	19.0	17.0	17.0	11.0	21.0	17.0
AL390719.3	2.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0
LINC01342	1.0	3.0	2.0	2.0	3.0	1.0	0.0	3.0	2.0	3.0
AL390719.2	1.0	5.0	3.0	4.0	6.0	6.0	3.0	6.0	2.0	2.0
TTLL10-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL10	2.0	1.0	3.0	2.0	1.0	1.0	3.0	1.0	1.0	2.0
TNFRSF18	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF4	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
SDF4	57.0	31.0	46.0	46.0	51.0	33.0	40.0	40.0	45.0	36.0
B3GALT6	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0
C1QTNF12	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	4.0	1.0
AL162741.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE2J2	4.0	4.0	6.0	6.0	7.0	2.0	5.0	6.0	4.0	8.0
LINC01786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCNN1D	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
ACAP3	17.0	20.0	19.0	13.0	22.0	15.0	20.0	11.0	15.0	19.0
PUSL1	3.0	3.0	7.0	6.0	6.0	3.0	4.0	6.0	3.0	3.0
INTS11	33.0	16.0	32.0	36.0	28.0	26.0	25.0	32.0	33.0	23.0
CPTP	2.0	4.0	3.0	4.0	1.0	2.0	1.0	2.0	1.0	1.0
TAS1R3	2.0	2.0	1.0	0.0	4.0	4.0	2.0	1.0	1.0	0.0
DVL1	8.0	6.0	6.0	11.0	11.0	11.0	8.0	11.0	7.0	14.0
MXRA8	2.0	1.0	0.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0
AURKAIP1	87.0	83.0	68.0	87.0	91.0	72.0	68.0	86.0	80.0	79.0
CCNL2	22.0	27.0	34.0	19.0	23.0	25.0	26.0	28.0	20.0	25.0
MRPL20-AS1	2.0	4.0	4.0	3.0	5.0	3.0	2.0	2.0	1.0	3.0
MRPL20	46.0	40.0	40.0	51.0	48.0	29.0	43.0	47.0	36.0	33.0
AL391244.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL391244.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01770	1.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
VWA1	2.0	2.0	1.0	0.0	2.0	2.0	2.0	3.0	0.0	1.0
ATAD3C	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
ATAD3B	13.0	9.0	17.0	11.0	16.0	12.0	19.0	18.0	15.0	13.0
ATAD3A	6.0	8.0	5.0	11.0	8.0	8.0	9.0	11.0	12.0	11.0
TMEM240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
