GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
SSU72	14.0	11.0	20.0	19.0	10.0	8.0	13.0	24.0	7.0	19.0
AL645728.1	5.0	5.0	7.0	3.0	6.0	6.0	8.0	10.0	6.0	5.0
FNDC10	1.0	0.0	3.0	1.0	0.0	2.0	1.0	1.0	2.0	0.0
AL691432.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AL691432.2	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	2.0	2.0
MIB2	18.0	13.0	14.0	17.0	19.0	18.0	24.0	18.0	9.0	17.0
MMP23B	2.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0
CDK11B	32.0	21.0	27.0	33.0	22.0	28.0	21.0	45.0	32.0	29.0
FO704657.1	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
SLC35E2B	5.0	5.0	6.0	9.0	8.0	5.0	6.0	6.0	5.0	6.0
CDK11A	30.0	33.0	29.0	39.0	38.0	35.0	29.0	36.0	34.0	40.0
SLC35E2A	0.0	1.0	1.0	2.0	3.0	2.0	0.0	1.0	2.0	2.0
NADK	13.0	8.0	10.0	10.0	12.0	14.0	6.0	15.0	4.0	9.0
GNB1	51.0	34.0	41.0	38.0	37.0	29.0	31.0	47.0	33.0	37.0
AL109917.1	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
CALML6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
TMEM52	2.0	1.0	4.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0
CFAP74	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
AL391845.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL391845.1	2.0	4.0	3.0	3.0	0.0	0.0	2.0	3.0	3.0	2.0
PRKCZ	20.0	19.0	13.0	15.0	12.0	17.0	13.0	21.0	12.0	15.0
AL590822.2	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
PRKCZ-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAAP20	12.0	9.0	6.0	7.0	12.0	9.0	11.0	10.0	13.0	11.0
AL590822.1	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SKI	20.0	14.0	24.0	21.0	20.0	22.0	13.0	18.0	20.0	12.0
AL590822.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MORN1	1.0	6.0	0.0	3.0	2.0	6.0	1.0	2.0	3.0	4.0
AL513477.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RER1	12.0	11.0	14.0	15.0	18.0	11.0	13.0	16.0	10.0	11.0
PEX10	6.0	5.0	7.0	7.0	11.0	9.0	6.0	8.0	3.0	7.0
PLCH2	0.0	1.0	1.0	4.0	1.0	1.0	0.0	1.0	0.0	1.0
AL139246.4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PANK4	11.0	13.0	9.0	5.0	6.0	6.0	5.0	9.0	3.0	7.0
HES5	1.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0
AL139246.5	2.0	6.0	4.0	4.0	10.0	4.0	7.0	1.0	3.0	3.0
TNFRSF14-AS1	12.0	15.0	24.0	14.0	26.0	13.0	20.0	17.0	13.0	13.0
TNFRSF14	44.0	33.0	39.0	38.0	35.0	25.0	37.0	36.0	36.0	29.0
AL139246.3	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0
PRXL2B	4.0	3.0	3.0	3.0	6.0	2.0	4.0	3.0	6.0	1.0
MMEL1	3.0	3.0	2.0	1.0	1.0	3.0	3.0	3.0	0.0	1.0
TTC34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRDM16-DT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRDM16	4.0	1.0	7.0	6.0	6.0	6.0	4.0	6.0	5.0	9.0
AL590438.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL354743.2	1.0	1.0	2.0	2.0	1.0	0.0	0.0	3.0	2.0	0.0
AL354743.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF16	19.0	15.0	8.0	11.0	9.0	15.0	24.0	21.0	24.0	24.0
AL512413.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGF6	4.0	1.0	4.0	3.0	4.0	0.0	4.0	2.0	6.0	5.0
AL513320.1	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
TPRG1L	4.0	4.0	3.0	1.0	2.0	1.0	5.0	1.0	2.0	3.0
WRAP73	4.0	1.0	8.0	6.0	6.0	3.0	4.0	4.0	6.0	3.0
TP73	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
AL136528.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
CCDC27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SMIM1	1.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
LRRC47	6.0	0.0	3.0	1.0	5.0	4.0	4.0	8.0	4.0	3.0
AL365330.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEP104	11.0	10.0	9.0	2.0	8.0	6.0	8.0	7.0	4.0	7.0
DFFB	3.0	3.0	3.0	2.0	2.0	1.0	1.0	3.0	5.0	0.0
C1orf174	4.0	7.0	4.0	10.0	2.0	5.0	3.0	11.0	7.0	7.0
LINC01134	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0
LINC01346	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02780	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJAP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL365255.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
NPHP4	2.0	4.0	4.0	4.0	2.0	2.0	4.0	3.0	4.0	3.0
KCNAB2	0.0	2.0	6.0	7.0	0.0	2.0	1.0	2.0	6.0	0.0
CHD5	1.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0
RPL22	538.0	439.0	500.0	569.0	524.0	426.0	482.0	560.0	476.0	504.0
AL031847.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF207	5.0	6.0	5.0	2.0	5.0	2.0	4.0	4.0	2.0	2.0
ICMT	3.0	2.0	5.0	2.0	3.0	3.0	0.0	2.0	1.0	2.0
LINC00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR153	1.0	1.0	3.0	3.0	1.0	2.0	0.0	2.0	3.0	2.0
ACOT7	31.0	33.0	20.0	31.0	24.0	24.0	36.0	32.0	24.0	38.0
AL031848.2	0.0	1.0	2.0	3.0	1.0	2.0	1.0	0.0	1.0	2.0
HES2	3.0	4.0	7.0	1.0	5.0	4.0	4.0	5.0	4.0	5.0
ESPN	15.0	11.0	12.0	7.0	14.0	6.0	8.0	17.0	5.0	7.0
AL031848.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
TNFRSF25	5.0	1.0	1.0	6.0	5.0	3.0	2.0	4.0	1.0	5.0
PLEKHG5	1.0	5.0	8.0	3.0	6.0	4.0	6.0	1.0	4.0	2.0
NOL9	2.0	7.0	3.0	3.0	5.0	6.0	3.0	8.0	5.0	7.0
TAS1R1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
ZBTB48	4.0	3.0	9.0	8.0	5.0	11.0	7.0	6.0	10.0	6.0
KLHL21	8.0	3.0	9.0	10.0	12.0	8.0	5.0	10.0	9.0	12.0
PHF13	5.0	0.0	3.0	3.0	2.0	2.0	7.0	5.0	3.0	1.0
THAP3	3.0	3.0	6.0	4.0	7.0	7.0	2.0	3.0	5.0	3.0
DNAJC11	20.0	27.0	22.0	14.0	23.0	19.0	15.0	24.0	27.0	22.0
AL591163.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMTA1-DT	6.0	4.0	5.0	6.0	3.0	8.0	5.0	5.0	5.0	4.0
CAMTA1	64.0	31.0	61.0	42.0	42.0	47.0	47.0	65.0	45.0	41.0
AL365194.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL359881.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL359881.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VAMP3	12.0	5.0	11.0	6.0	7.0	7.0	9.0	15.0	6.0	9.0
Z98884.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PER3	4.0	0.0	1.0	2.0	5.0	5.0	1.0	4.0	1.0	3.0
Z98884.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF9	1.0	1.0	2.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0
PARK7	62.0	50.0	68.0	64.0	58.0	57.0	58.0	80.0	55.0	46.0
AL034417.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AL034417.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERRFI1	61.0	45.0	42.0	50.0	38.0	45.0	46.0	57.0	43.0	48.0
AL034417.2	2.0	0.0	2.0	3.0	0.0	1.0	2.0	1.0	0.0	1.0
LINC01714	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
SLC45A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RERE	64.0	73.0	76.0	65.0	64.0	61.0	67.0	75.0	62.0	64.0
RERE-AS1	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0
ENO1	117.0	81.0	91.0	148.0	106.0	90.0	88.0	149.0	97.0	95.0
ENO1-AS1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
CA6	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
SLC2A7	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
SLC2A5	5.0	5.0	3.0	2.0	3.0	1.0	7.0	5.0	2.0	3.0
GPR157	1.0	2.0	5.0	2.0	0.0	3.0	0.0	2.0	1.0	3.0
MIR34AHG	7.0	5.0	4.0	0.0	5.0	4.0	2.0	3.0	2.0	0.0
LNCTAM34A	0.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0
H6PD	4.0	2.0	4.0	3.0	1.0	0.0	4.0	2.0	1.0	2.0
SPSB1	15.0	19.0	21.0	10.0	17.0	17.0	22.0	22.0	15.0	16.0
BX323043.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02606	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0
SLC25A33	7.0	11.0	14.0	12.0	9.0	12.0	18.0	15.0	20.0	17.0
TMEM201	3.0	4.0	5.0	6.0	3.0	4.0	6.0	4.0	4.0	7.0
PIK3CD	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0
PIK3CD-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PIK3CD-AS2	1.0	1.0	1.0	2.0	0.0	2.0	2.0	0.0	1.0	1.0
CLSTN1	9.0	7.0	11.0	13.0	9.0	11.0	9.0	7.0	8.0	14.0
CTNNBIP1	8.0	2.0	10.0	5.0	6.0	8.0	2.0	7.0	2.0	6.0
AL357140.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL357140.4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LZIC	14.0	9.0	19.0	16.0	12.0	7.0	9.0	11.0	15.0	10.0
AL357140.2	2.0	0.0	1.0	1.0	2.0	2.0	1.0	1.0	0.0	2.0
NMNAT1	3.0	3.0	1.0	2.0	3.0	2.0	3.0	4.0	1.0	1.0
RBP7	1.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0
UBE4B	18.0	15.0	18.0	22.0	18.0	15.0	10.0	17.0	12.0	23.0
KIF1B	32.0	21.0	33.0	26.0	39.0	27.0	37.0	34.0	33.0	29.0
AL139424.3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AL139424.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGD	26.0	25.0	26.0	19.0	20.0	23.0	20.0	30.0	24.0	15.0
AL139424.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
CENPS	7.0	8.0	8.0	13.0	6.0	8.0	11.0	8.0	1.0	7.0
CORT	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
DFFA	15.0	7.0	9.0	10.0	5.0	11.0	8.0	8.0	13.0	11.0
AL354956.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEX14	14.0	8.0	19.0	15.0	21.0	19.0	16.0	19.0	17.0	13.0
AL139423.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASZ1	30.0	45.0	60.0	42.0	49.0	39.0	40.0	48.0	40.0	52.0
AL139423.1	0.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0
C1orf127	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
TARDBP	31.0	29.0	30.0	32.0	20.0	22.0	26.0	23.0	21.0	32.0
MASP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL109811.2	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
SRM	11.0	8.0	6.0	4.0	11.0	2.0	7.0	9.0	6.0	5.0
EXOSC10	14.0	14.0	25.0	18.0	28.0	19.0	15.0	26.0	19.0	19.0
AL109811.1	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
EXOSC10-AS1	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
MTOR	13.0	7.0	11.0	14.0	8.0	13.0	12.0	13.0	12.0	7.0
MTOR-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANGPTL7	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
UBIAD1	3.0	3.0	2.0	3.0	1.0	2.0	4.0	3.0	7.0	1.0
AL031291.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DISP3	0.0	0.0	2.0	1.0	0.0	3.0	2.0	1.0	0.0	3.0
LINC01647	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	4.0
AL031731.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO2	1.0	0.0	1.0	0.0	3.0	1.0	1.0	2.0	1.0	0.0
FBXO44	3.0	3.0	0.0	2.0	4.0	4.0	2.0	1.0	2.0	2.0
FBXO6	2.0	3.0	2.0	1.0	1.0	4.0	4.0	1.0	1.0	2.0
MAD2L2	1.0	2.0	3.0	13.0	2.0	4.0	5.0	4.0	5.0	7.0
DRAXIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGTRAP	6.0	5.0	10.0	11.0	9.0	4.0	14.0	14.0	8.0	11.0
C1orf167	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0
AL953897.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTHFR	9.0	10.0	13.0	9.0	15.0	10.0	16.0	10.0	15.0	12.0
CLCN6	14.0	13.0	8.0	9.0	7.0	7.0	9.0	16.0	11.0	8.0
NPPA	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
AL021155.5	32.0	41.0	43.0	47.0	46.0	42.0	50.0	49.0	30.0	38.0
KIAA2013	3.0	1.0	6.0	0.0	4.0	8.0	5.0	6.0	11.0	7.0
PLOD1	3.0	3.0	5.0	9.0	4.0	5.0	4.0	11.0	6.0	6.0
AL096840.2	2.0	1.0	1.0	2.0	0.0	2.0	0.0	1.0	2.0	1.0
MFN2	9.0	8.0	10.0	8.0	8.0	11.0	10.0	7.0	13.0	8.0
MIIP	15.0	13.0	13.0	15.0	14.0	11.0	13.0	14.0	13.0	8.0
TNFRSF8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF1B	0.0	1.0	2.0	1.0	3.0	1.0	0.0	3.0	0.0	3.0
VPS13D	19.0	13.0	18.0	19.0	20.0	16.0	17.0	22.0	15.0	12.0
DHRS3	6.0	5.0	7.0	6.0	5.0	7.0	8.0	9.0	8.0	6.0
AC254633.1	2.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDPN	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
PRDM2	29.0	24.0	28.0	18.0	21.0	25.0	36.0	29.0	29.0	28.0
KAZN	63.0	62.0	81.0	62.0	91.0	48.0	69.0	85.0	63.0	74.0
AL357873.1	2.0	0.0	3.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0
KAZN-AS1	1.0	2.0	0.0	3.0	2.0	0.0	0.0	1.0	3.0	2.0
TMEM51-AS1	4.0	2.0	2.0	3.0	0.0	1.0	1.0	3.0	2.0	0.0
TMEM51	15.0	7.0	10.0	26.0	14.0	12.0	14.0	25.0	23.0	16.0
C1orf195	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0
FHAD1	0.0	1.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0
AL031283.2	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
AL031283.1	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
EFHD2	13.0	14.0	13.0	14.0	12.0	11.0	10.0	13.0	7.0	8.0
CTRC	0.0	0.0	1.0	1.0	2.0	2.0	1.0	0.0	1.0	3.0
CELA2A	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
CELA2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASP9	6.0	11.0	9.0	6.0	11.0	10.0	6.0	6.0	10.0	6.0
DNAJC16	4.0	11.0	7.0	9.0	11.0	13.0	19.0	7.0	6.0	7.0
AGMAT	1.0	0.0	2.0	3.0	1.0	0.0	2.0	1.0	2.0	2.0
AL121992.1	1.0	8.0	5.0	1.0	3.0	3.0	3.0	2.0	1.0	3.0
DDI2	6.0	2.0	7.0	3.0	6.0	5.0	2.0	12.0	8.0	7.0
AL121992.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHM2	13.0	8.0	8.0	5.0	9.0	10.0	6.0	11.0	7.0	5.0
AL450998.3	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SLC25A34	6.0	3.0	2.0	3.0	1.0	3.0	4.0	2.0	3.0	1.0
SLC25A34-AS1	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
TMEM82	0.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0
FBLIM1	27.0	25.0	24.0	15.0	26.0	23.0	20.0	33.0	19.0	28.0
UQCRHL	6.0	6.0	8.0	7.0	10.0	9.0	11.0	14.0	7.0	11.0
AL450998.2	12.0	12.0	14.0	17.0	13.0	13.0	14.0	12.0	11.0	11.0
SPEN	24.0	28.0	36.0	36.0	37.0	37.0	34.0	42.0	34.0	43.0
ZBTB17	8.0	10.0	6.0	9.0	10.0	9.0	9.0	11.0	16.0	4.0
SRARP	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
HSPB7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
CLCNKA	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
CLCNKB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM131C	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EPHA2	32.0	28.0	34.0	32.0	37.0	35.0	19.0	39.0	18.0	34.0
AL451042.2	7.0	12.0	7.0	6.0	8.0	9.0	12.0	7.0	4.0	9.0
AL451042.1	2.0	1.0	1.0	4.0	3.0	1.0	2.0	6.0	2.0	3.0
ARHGEF19	12.0	4.0	6.0	6.0	7.0	7.0	8.0	9.0	2.0	5.0
AL109627.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPLANE2	2.0	0.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	0.0
FBXO42	9.0	10.0	20.0	11.0	12.0	14.0	9.0	7.0	14.0	11.0
SZRD1	20.0	19.0	38.0	31.0	20.0	18.0	16.0	20.0	18.0	24.0
SPATA21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NECAP2	12.0	9.0	22.0	24.0	18.0	12.0	10.0	20.0	17.0	12.0
