GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
ADSS	26.0	33.0	30.0	26.0	27.0	18.0	29.0	30.0	22.0	27.0
CATSPERE	6.0	4.0	4.0	5.0	3.0	2.0	6.0	4.0	4.0	4.0
DESI2	3.0	6.0	4.0	2.0	5.0	1.0	5.0	4.0	4.0	4.0
AL451007.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BX323046.2	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
COX20	23.0	31.0	24.0	30.0	28.0	31.0	28.0	27.0	28.0	20.0
HNRNPU	179.0	171.0	172.0	141.0	195.0	142.0	173.0	181.0	158.0	163.0
BX323046.1	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
AL356512.1	3.0	7.0	6.0	6.0	5.0	5.0	7.0	1.0	6.0	5.0
EFCAB2	16.0	14.0	14.0	15.0	14.0	11.0	19.0	23.0	14.0	14.0
KIF26B	2.0	1.0	4.0	5.0	4.0	5.0	5.0	2.0	5.0	3.0
KIF26B-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SMYD3	32.0	45.0	33.0	30.0	33.0	29.0	36.0	37.0	43.0	27.0
AC118555.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092801.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TFB2M	7.0	4.0	6.0	8.0	4.0	4.0	4.0	6.0	4.0	5.0
CNST	19.0	15.0	12.0	17.0	17.0	19.0	23.0	17.0	16.0	17.0
AL591623.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL591848.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL591848.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCCPDH	1.0	2.0	4.0	4.0	1.0	6.0	5.0	2.0	3.0	3.0
AL591848.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01341	2.0	2.0	1.0	2.0	1.0	3.0	1.0	2.0	3.0	1.0
AHCTF1	13.0	19.0	14.0	9.0	15.0	15.0	14.0	13.0	12.0	9.0
ZNF695	2.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
ZNF670	14.0	15.0	8.0	12.0	10.0	10.0	15.0	11.0	13.0	12.0
ZNF669	7.0	5.0	10.0	9.0	9.0	11.0	8.0	7.0	13.0	9.0
AL627095.2	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
C1orf229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF124	12.0	11.0	14.0	7.0	8.0	11.0	13.0	12.0	9.0	8.0
AL390728.6	0.0	1.0	1.0	2.0	0.0	2.0	1.0	2.0	2.0	0.0
AL390728.5	5.0	6.0	6.0	5.0	7.0	3.0	4.0	7.0	3.0	4.0
ZNF496	4.0	4.0	5.0	4.0	4.0	1.0	4.0	3.0	3.0	4.0
AC104335.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104335.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NLRP3	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
OR2B11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCSAML	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL606804.1	0.0	2.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0
AL390860.1	2.0	4.0	0.0	3.0	3.0	3.0	4.0	1.0	3.0	1.0
OR1C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR14A16	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0
TRIM58	1.0	2.0	1.0	0.0	3.0	2.0	0.0	2.0	2.0	1.0
OR2W3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2L5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2L2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2T2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2G6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC098483.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2T10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2T11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LYPD8	1.0	0.0	0.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0
SH3BP5L	3.0	2.0	1.0	3.0	1.0	1.0	2.0	3.0	3.0	1.0
ZNF672	6.0	13.0	12.0	8.0	13.0	7.0	11.0	15.0	10.0	9.0
ZNF692	14.0	11.0	11.0	6.0	14.0	13.0	12.0	9.0	10.0	9.0
AL672291.1	0.0	2.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	0.0
PGBD2	5.0	2.0	4.0	5.0	4.0	2.0	3.0	6.0	4.0	5.0
FAM110C	3.0	5.0	3.0	3.0	3.0	4.0	5.0	3.0	3.0	4.0
AC079779.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH3YL1	17.0	14.0	16.0	19.0	19.0	18.0	18.0	20.0	18.0	15.0
ACP1	20.0	25.0	22.0	21.0	28.0	31.0	18.0	20.0	30.0	20.0
ALKAL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079779.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079779.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC105393.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC105393.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC093326.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM18	14.0	6.0	12.0	11.0	10.0	10.0	11.0	10.0	14.0	12.0
AC092159.2	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
AC092159.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC116609.3	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
LINC01115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNTG2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNTG2	1.0	1.0	0.0	1.0	2.0	0.0	1.0	2.0	2.0	0.0
AC114808.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114808.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC105450.1	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0
TPO	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0
AC141930.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC141930.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC144450.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PXDN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MYT1L	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
AC093390.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC093390.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011995.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01250	3.0	2.0	5.0	5.0	1.0	3.0	3.0	6.0	1.0	3.0
AC019118.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC019118.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EIPR1	13.0	13.0	10.0	12.0	19.0	16.0	15.0	14.0	11.0	6.0
TRAPPC12	12.0	15.0	10.0	13.0	14.0	14.0	13.0	12.0	8.0	8.0
TRAPPC12-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADI1	13.0	13.0	14.0	10.0	11.0	20.0	12.0	11.0	13.0	10.0
AC231981.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
AC108488.1	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
RNASEH1	19.0	18.0	20.0	15.0	23.0	18.0	19.0	16.0	19.0	19.0
RNASEH1-AS1	3.0	5.0	6.0	4.0	3.0	5.0	3.0	5.0	6.0	3.0
AC108488.3	2.0	1.0	3.0	3.0	1.0	3.0	3.0	0.0	1.0	2.0
RPS7	389.0	339.0	265.0	355.0	367.0	362.0	395.0	378.0	381.0	376.0
COLEC11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DCDC2C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SILC1	2.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
AC017053.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NRIR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMPK2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RSAD2	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
AC017076.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF144A-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF144A	1.0	2.0	1.0	3.0	2.0	3.0	3.0	1.0	2.0	2.0
AC068481.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC013460.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092580.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092580.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01871	4.0	0.0	1.0	4.0	0.0	0.0	0.0	4.0	3.0	1.0
LINC00298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007463.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00299	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0
U91324.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01814	2.0	2.0	2.0	0.0	1.0	2.0	1.0	3.0	1.0	0.0
AC092617.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011747.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ID2-AS1	4.0	6.0	7.0	7.0	8.0	4.0	6.0	4.0	7.0	5.0
ID2	195.0	237.0	205.0	200.0	226.0	190.0	229.0	205.0	228.0	196.0
KIDINS220	10.0	18.0	14.0	12.0	11.0	13.0	15.0	17.0	17.0	7.0
MBOAT2	7.0	12.0	13.0	12.0	13.0	10.0	12.0	9.0	15.0	11.0
ASAP2	9.0	14.0	11.0	9.0	14.0	16.0	14.0	12.0	13.0	13.0
ITGB1BP1	5.0	6.0	7.0	8.0	7.0	9.0	8.0	7.0	5.0	7.0
CPSF3	14.0	12.0	15.0	11.0	9.0	16.0	11.0	14.0	16.0	9.0
IAH1	2.0	5.0	5.0	3.0	5.0	7.0	1.0	6.0	4.0	4.0
ADAM17	9.0	18.0	15.0	11.0	15.0	10.0	14.0	15.0	12.0	11.0
AC080162.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
AC073195.1	3.0	3.0	3.0	2.0	4.0	2.0	2.0	2.0	3.0	2.0
YWHAQ	50.0	72.0	59.0	58.0	62.0	48.0	66.0	58.0	60.0	53.0
AC082651.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC082651.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAF1B	2.0	6.0	3.0	4.0	4.0	0.0	5.0	6.0	5.0	4.0
AC010969.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010969.3	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
GRHL1	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AC010969.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104794.3	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
KLF11	1.0	1.0	1.0	1.0	3.0	2.0	0.0	2.0	2.0	2.0
CYS1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0
RRM2	20.0	15.0	21.0	24.0	23.0	25.0	11.0	22.0	15.0	19.0
AC007240.3	2.0	0.0	0.0	2.0	3.0	3.0	1.0	3.0	2.0	1.0
HPCAL1	20.0	19.0	22.0	22.0	18.0	24.0	26.0	26.0	28.0	21.0
ODC1	28.0	44.0	36.0	37.0	40.0	33.0	34.0	32.0	33.0	28.0
ODC1-DT	2.0	5.0	5.0	6.0	5.0	5.0	2.0	1.0	6.0	5.0
NOL10	5.0	18.0	12.0	11.0	13.0	11.0	15.0	7.0	10.0	9.0
AC007314.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RN7SL832P	1.0	2.0	2.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0
ATP6V1C2	2.0	3.0	3.0	5.0	4.0	2.0	4.0	4.0	4.0	3.0
AC092687.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDIA6	26.0	25.0	25.0	16.0	26.0	27.0	23.0	23.0	23.0	24.0
LINC01954	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
KCNF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC062028.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2orf50	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SLC66A3	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
ROCK2	20.0	25.0	15.0	19.0	25.0	22.0	21.0	24.0	26.0	19.0
AC099344.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC099344.2	2.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	2.0
LINC00570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC099344.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2F6	0.0	2.0	1.0	6.0	6.0	5.0	5.0	5.0	2.0	4.0
GREB1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
LPIN1	16.0	17.0	14.0	16.0	13.0	14.0	15.0	15.0	19.0	13.0
AC012456.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR3681HG	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
AC009486.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009486.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIB2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC064875.1	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
AC093912.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00276	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0
AC016730.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011897.1	2.0	0.0	1.0	1.0	3.0	3.0	2.0	3.0	1.0	1.0
LRATD1	44.0	42.0	41.0	38.0	46.0	42.0	43.0	40.0	43.0	40.0
AC068286.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NBAS	20.0	23.0	18.0	24.0	17.0	23.0	25.0	24.0	24.0	24.0
AC008278.2	0.0	2.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0
DDX1	18.0	20.0	17.0	15.0	21.0	10.0	19.0	17.0	17.0	16.0
AC008278.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MYCNOS	1.0	1.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	1.0
MYCN	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
AC010145.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GACAT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC130710.1	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
AC010745.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010880.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104623.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM49A	7.0	4.0	1.0	4.0	4.0	4.0	4.0	4.0	7.0	2.0
AC008164.1	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
RAD51AP2	4.0	3.0	4.0	2.0	1.0	7.0	2.0	4.0	7.0	3.0
VSNL1	10.0	15.0	11.0	13.0	13.0	15.0	17.0	12.0	15.0	8.0
SMC6	11.0	15.0	18.0	13.0	16.0	22.0	10.0	17.0	14.0	14.0
GEN1	5.0	9.0	7.0	6.0	9.0	6.0	8.0	7.0	8.0	7.0
KCNS3	1.0	3.0	2.0	4.0	7.0	5.0	3.0	3.0	3.0	4.0
AC079148.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079148.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDH14	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0
NT5C1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC130814.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01376	10.0	13.0	6.0	11.0	7.0	6.0	7.0	2.0	11.0	8.0
OSR1	1.0	2.0	0.0	0.0	3.0	3.0	2.0	0.0	0.0	0.0
AC010096.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01808	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
LINC00954	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
TTC32	7.0	11.0	12.0	9.0	9.0	9.0	8.0	4.0	9.0	10.0
AC013400.1	2.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0
WDR35	4.0	2.0	2.0	2.0	1.0	3.0	1.0	3.0	4.0	3.0
AC079145.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MATN3	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
LAPTM4A	19.0	14.0	18.0	13.0	22.0	19.0	10.0	17.0	25.0	18.0
LAPTM4A-DT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC098828.2	1.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	2.0
SDC1	5.0	7.0	5.0	5.0	6.0	6.0	5.0	2.0	3.0	2.0
PUM2	39.0	47.0	37.0	40.0	49.0	47.0	39.0	37.0	45.0	38.0
RHOB	175.0	226.0	240.0	196.0	203.0	207.0	220.0	220.0	239.0	169.0
AC023137.1	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
HS1BP3	11.0	13.0	16.0	7.0	7.0	9.0	12.0	16.0	12.0	6.0
GDF7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012065.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LDAH	11.0	10.0	8.0	8.0	11.0	13.0	9.0	11.0	14.0	11.0
APOB	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
TDRD15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC018742.1	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
AC011752.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009411.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC096570.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC096570.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC018467.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLHL29	5.0	6.0	2.0	1.0	6.0	2.0	4.0	3.0	6.0	5.0
AC011239.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009242.1	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
ATAD2B	20.0	31.0	27.0	28.0	25.0	28.0	38.0	24.0	40.0	17.0
UBXN2A	32.0	29.0	29.0	33.0	29.0	26.0	29.0	22.0	31.0	27.0
MFSD2B	1.0	1.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	1.0
WDCP	4.0	5.0	6.0	7.0	9.0	7.0	5.0	8.0	10.0	4.0
FKBP1B	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SF3B6	26.0	26.0	31.0	26.0	25.0	33.0	29.0	27.0	28.0	25.0
FAM228B	7.0	10.0	10.0	6.0	10.0	7.0	9.0	12.0	10.0	4.0
TP53I3	27.0	38.0	28.0	23.0	26.0	25.0	33.0	24.0	36.0	20.0
PFN4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008073.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM228A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008073.1	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
ITSN2	13.0	19.0	12.0	18.0	14.0	13.0	13.0	14.0	20.0	8.0
AC009228.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NCOA1	20.0	25.0	24.0	21.0	32.0	23.0	28.0	32.0	21.0	24.0
PTRHD1	19.0	23.0	18.0	23.0	15.0	29.0	24.0	20.0	24.0	18.0
CENPO	0.0	2.0	2.0	3.0	1.0	2.0	2.0	3.0	4.0	0.0
ADCY3	2.0	3.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0
AC012073.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNAJC27	9.0	11.0	8.0	9.0	12.0	11.0	8.0	9.0	11.0	8.0
DNAJC27-AS1	2.0	6.0	3.0	7.0	3.0	2.0	4.0	4.0	6.0	4.0
AC013267.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFR3B	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0
POMC	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0
DNMT3A	7.0	8.0	9.0	7.0	10.0	8.0	9.0	8.0	12.0	11.0
AC012074.1	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
DTNB	6.0	3.0	2.0	1.0	3.0	5.0	5.0	3.0	2.0	2.0
AC104699.1	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
ASXL2	23.0	28.0	31.0	24.0	23.0	28.0	22.0	32.0	29.0	16.0
KIF3C	0.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	0.0
RAB10	56.0	73.0	64.0	56.0	66.0	65.0	79.0	65.0	65.0	63.0
GAREM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HADHA	23.0	29.0	28.0	29.0	28.0	36.0	36.0	30.0	33.0	30.0
HADHB	14.0	4.0	13.0	9.0	10.0	14.0	14.0	10.0	16.0	18.0
AC010896.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADGRF3	4.0	5.0	5.0	4.0	5.0	1.0	3.0	3.0	3.0	2.0
SELENOI	16.0	14.0	15.0	17.0	18.0	10.0	18.0	10.0	13.0	12.0
DRC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTOF	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
FAM166C	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
CIB4	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
KCNK3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC35F6	2.0	2.0	2.0	2.0	1.0	0.0	2.0	1.0	2.0	3.0
CENPA	4.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	1.0	4.0
DPYSL5	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
AC013472.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAPRE3	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	0.0
AC013472.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM214	9.0	6.0	10.0	4.0	8.0	7.0	8.0	8.0	6.0	9.0
AGBL5	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	0.0
AGBL5-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC013472.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC013403.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OST4	68.0	63.0	56.0	64.0	60.0	59.0	54.0	64.0	65.0	63.0
EMILIN1	2.0	3.0	4.0	3.0	2.0	1.0	3.0	1.0	3.0	2.0
KHK	5.0	5.0	3.0	6.0	5.0	7.0	5.0	4.0	3.0	4.0
CGREF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD1	0.0	2.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	0.0
