GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
CDK11B	24.0	24.0	25.0	25.0	26.0	20.0	24.0	18.0	19.0	20.0
FO704657.1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
SLC35E2B	5.0	8.0	5.0	7.0	10.0	7.0	7.0	6.0	10.0	3.0
CDK11A	23.0	30.0	29.0	33.0	28.0	26.0	31.0	29.0	28.0	21.0
SLC35E2A	4.0	6.0	5.0	6.0	3.0	6.0	7.0	4.0	5.0	2.0
NADK	8.0	6.0	9.0	12.0	11.0	10.0	16.0	14.0	13.0	9.0
GNB1	19.0	25.0	21.0	20.0	23.0	27.0	25.0	17.0	26.0	22.0
AL109917.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALML6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM52	1.0	2.0	0.0	3.0	1.0	2.0	0.0	1.0	3.0	3.0
CFAP74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL391845.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRD	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
AL391845.1	1.0	1.0	2.0	1.0	3.0	1.0	1.0	2.0	0.0	1.0
PRKCZ	11.0	15.0	8.0	3.0	10.0	12.0	7.0	7.0	5.0	7.0
AL590822.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRKCZ-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAAP20	7.0	10.0	8.0	8.0	13.0	7.0	8.0	9.0	9.0	8.0
AL590822.1	0.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
SKI	8.0	12.0	11.0	11.0	10.0	10.0	11.0	12.0	10.0	12.0
AL590822.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MORN1	5.0	3.0	3.0	7.0	5.0	6.0	4.0	4.0	5.0	3.0
AL513477.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RER1	5.0	10.0	5.0	5.0	9.0	10.0	9.0	8.0	9.0	8.0
PEX10	11.0	11.0	6.0	12.0	13.0	7.0	14.0	10.0	11.0	15.0
PLCH2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL139246.4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
PANK4	13.0	14.0	12.0	6.0	8.0	8.0	9.0	6.0	3.0	8.0
HES5	1.0	2.0	1.0	0.0	1.0	1.0	2.0	2.0	1.0	0.0
AL139246.5	23.0	25.0	29.0	21.0	24.0	23.0	30.0	32.0	30.0	17.0
TNFRSF14-AS1	13.0	15.0	17.0	13.0	14.0	11.0	17.0	14.0	15.0	17.0
TNFRSF14	33.0	23.0	20.0	20.0	30.0	25.0	23.0	23.0	20.0	21.0
AL139246.3	4.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	0.0	0.0
PRXL2B	9.0	8.0	7.0	6.0	9.0	7.0	7.0	6.0	9.0	6.0
MMEL1	1.0	2.0	1.0	3.0	1.0	0.0	3.0	2.0	3.0	1.0
TTC34	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PRDM16-DT	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
PRDM16	1.0	3.0	3.0	6.0	4.0	3.0	3.0	3.0	4.0	2.0
AL590438.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL354743.2	1.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0
AL354743.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF16	10.0	12.0	11.0	9.0	18.0	10.0	15.0	12.0	13.0	7.0
AL512413.1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
MEGF6	3.0	5.0	8.0	2.0	5.0	4.0	4.0	5.0	4.0	3.0
AL513320.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TPRG1L	2.0	4.0	3.0	2.0	3.0	2.0	5.0	3.0	3.0	3.0
WRAP73	7.0	4.0	5.0	8.0	7.0	4.0	9.0	9.0	8.0	6.0
TP73	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
AL136528.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC27	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SMIM1	1.0	4.0	0.0	1.0	3.0	4.0	0.0	3.0	3.0	1.0
LRRC47	5.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0
AL365330.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEP104	7.0	10.0	9.0	12.0	7.0	12.0	12.0	9.0	10.0	8.0
DFFB	4.0	3.0	2.0	2.0	3.0	4.0	2.0	4.0	3.0	3.0
C1orf174	4.0	5.0	5.0	5.0	6.0	3.0	4.0	7.0	4.0	3.0
LINC01134	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
LINC01346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02780	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJAP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL365255.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPHP4	6.0	7.0	7.0	7.0	6.0	6.0	7.0	4.0	7.0	4.0
KCNAB2	3.0	2.0	2.0	3.0	4.0	4.0	2.0	0.0	1.0	3.0
CHD5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL22	366.0	333.0	274.0	289.0	372.0	377.0	361.0	304.0	291.0	323.0
AL031847.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF207	2.0	4.0	2.0	2.0	5.0	3.0	3.0	2.0	4.0	2.0
ICMT	0.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
LINC00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR153	0.0	5.0	4.0	3.0	7.0	4.0	4.0	6.0	5.0	4.0
ACOT7	16.0	19.0	21.0	22.0	23.0	24.0	25.0	21.0	23.0	19.0
AL031848.2	4.0	4.0	1.0	2.0	5.0	2.0	5.0	5.0	3.0	5.0
HES2	9.0	6.0	10.0	10.0	8.0	9.0	9.0	8.0	11.0	9.0
ESPN	14.0	13.0	16.0	17.0	14.0	12.0	18.0	15.0	20.0	8.0
AL031848.1	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF25	15.0	19.0	16.0	17.0	20.0	21.0	23.0	15.0	18.0	16.0
PLEKHG5	5.0	9.0	8.0	4.0	6.0	10.0	10.0	8.0	8.0	4.0
NOL9	5.0	5.0	5.0	4.0	7.0	6.0	5.0	4.0	3.0	4.0
TAS1R1	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
ZBTB48	12.0	10.0	13.0	11.0	8.0	13.0	11.0	10.0	7.0	13.0
KLHL21	8.0	9.0	11.0	10.0	6.0	10.0	10.0	10.0	2.0	4.0
PHF13	3.0	2.0	1.0	3.0	3.0	5.0	4.0	4.0	5.0	4.0
THAP3	3.0	2.0	1.0	0.0	3.0	1.0	1.0	3.0	2.0	3.0
DNAJC11	22.0	21.0	16.0	18.0	24.0	22.0	19.0	19.0	15.0	18.0
AL591163.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMTA1-DT	11.0	12.0	17.0	16.0	26.0	14.0	19.0	12.0	16.0	15.0
CAMTA1	24.0	42.0	27.0	29.0	31.0	37.0	32.0	36.0	33.0	31.0
AL365194.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL359881.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL359881.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VAMP3	5.0	6.0	8.0	5.0	5.0	7.0	7.0	6.0	7.0	8.0
Z98884.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PER3	5.0	6.0	5.0	3.0	7.0	9.0	2.0	6.0	2.0	1.0
Z98884.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PARK7	40.0	25.0	31.0	24.0	41.0	31.0	31.0	35.0	40.0	36.0
AL034417.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL034417.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERRFI1	22.0	28.0	23.0	18.0	26.0	25.0	30.0	31.0	22.0	27.0
AL034417.2	3.0	4.0	3.0	3.0	6.0	3.0	6.0	1.0	3.0	6.0
LINC01714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC45A1	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
RERE	69.0	90.0	80.0	76.0	75.0	75.0	86.0	74.0	78.0	67.0
RERE-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENO1	58.0	58.0	58.0	60.0	66.0	58.0	66.0	57.0	57.0	55.0
