Sample ID,Sample Name,Donor,Cell Type,Study Design,Study Design Batch,Treatment
31,D3_ISO6_LTL_1,D3,LIVER CD45+,ISOLATION (ISO) PURE,ISOLATION(ISO)- ONLY LIVER TISSUE LYMPHOCYTES (LTL)-1,NO TREATMENT
32,D3_ISO6_LTL_2,D3,LIVER CD45+,ISOLATION (ISO) PURE,ISOLATION(ISO)- ONLY LIVER TISSUE LYMPHOCYTES (LTL)-2,NO TREATMENT
33,D3_ISO7_IEL_1,D3,GUT EPI CD45+,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY GUT IEL-1,NO TREATMENT
34,D3_ISO7_IEL_2,D3,GUT EPI CD45+,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY GUT IEL-2,NO TREATMENT
35,D4_ISO1_HEP_L_1,D4,LIVER HEP,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) LIVER-IMMUNE CELLS-1,NO TREATMENT
36,D4_ISO1_HEP_L_2,D4,LIVER HEP,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) LIVER-IMMUNE CELLS-2,NO TREATMENT
37,D4_ISO2_HEP_2,D4,LIVER HEP,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY LIVER HEP-2,NO TREATMENT
38,D3_ISO1_HEP_L_1,D3,LIVER HEP,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) LIVER-IMMUNE CELLS-1,NO TREATMENT
39,D3_ISO1_HEP_L_2,D3,LIVER HEP,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) LIVER-IMMUNE CELLS-2,NO TREATMENT
40,D3_ISO2_HEP_1,D3,LIVER HEP,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY LIVER HEP-1,NO TREATMENT
41,D3_ISO2_HEP_2,D3,LIVER HEP,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY LIVER HEP-2,NO TREATMENT
42,D4_INT_EPIi_LPS_1,D4,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,LPS
