GeneSymbol	D3_ISO7_IEL_1	D3_ISO7_IEL_2	D4_ISO7_IEL_1	D4_ISO7_IEL_2
PSMB1	43.39	130.59	0	0
SYN1	0	0	0	0
JARID2	2.51	15.21	0	46.64
CDKL5	0	0	0	0
CAMK1G	0	0	0	0
CDK11A	91.75	2.64	0	0
NADK	7.86	0	0	0
TFAP2B	3.61	0	0	0
TFAP2D	0	0	0	0
DLEC1	11.78	0	0	0
CYTH3	44.82	1.12	0	45.26
ADAM22	0	0	0	0
SYPL1	0	0	0	0
CYB561	0	0	0	0
SPAG9	145.7	0.97	0	0
CELSR3	0	0	0	33.48
AASS	0	5.12	0	0
PLEKHG6	0	0	0	0
SS18L2	0	0	0	48.42
MPND	4.51	0	0	0
MGST1	9.17	34.98	0	0
CRY1	14.36	0	0	73.64
PGLYRP1	0	0	0	0
NFIX	0	0	0	0
ST3GAL1	1.82	2.35	0	0
MMP25	20.21	107.69	0	0
IL32	1316.12	934.59	0	522.79
PKD1	16.52	0	0	28.56
MAPK8IP2	0	3.55	0	0
MED24	27.29	32.72	0	0
RHOBTB2	0	0	0	0
HEATR5B	0	0	0	0
SEC62	514.59	310.44	0	601.68
RPS20	1674.87	1321.42	0	754.99
CSDE1	143.41	129.94	700.24	38.52
UBE3C	10.11	0	0	25.79
REV3L	7.17	7.63	0	0
TENM1	1.07	0.73	0	0
PAX7	0	0	0	0
MASP2	0	0	0	0
IYD	5.92	0	0	0
FAM76A	0.22	0	0	0
TRAF3IP3	326.27	199.67	0	0
POMT2	0	0	0	0
VTA1	0	7.83	0	0
MLXIPL	0	0.11	0	0
BAZ1B	36.73	25.92	261.12	0
RANBP9	0	5.66	0	3.71
ETV7	0	0	0	0
SPRTN	10.6	38.33	0	0
EEF1AKNMT	0	20.59	0	0
DYRK4	0	15.61	0	0
ZNF207	54.64	38.06	0	62.6
UQCRC1	10.76	24.97	0	153.39
STARD3NL	6.72	0	0	0
CD9	36.55	16.15	0	0
HHATL	0	0	0	0
NCAPD2	126.69	138.49	0	56.58
IFFO1	0	5.69	0	0
GIPR	0	0	0	0
PHF7	29.43	0.24	0	0
SEMA3G	0	0	0	0
NISCH	9.04	10.54	0	0
STAB1	0	0	0	0
FUZ	0	0	0	0
SLC6A13	0	0	0	0
IDS	22.29	16.45	0	3.6
PRSS3	0	0	0	0
ZNF200	18.77	2.09	0	0
CD4	0	0.37	0	0
LRRC23	0	0	0	0
BTK	18.27	0	0	0
HFE	18.08	0	0	0
SCMH1	0	0	0	0
FYN	132.39	329.1	0	424.46
HIVEP2	39.73	43.25	0	24.16
FMO1	0	0	0	0
ELOA	26.15	0	0	0
LYPLA2	64.71	0	0	0
CLCN6	75.75	0	0	0
MRC2	0	0	0	0
NME1-NME2_ENSG00000011052	0	0	0	0
SLC6A7	0	5.35	0	0
TSPAN9	0	0	0	0
BTBD7	2.84	20.25	0	0
APBA3	46.86	0	0	0
MKS1	8.76	0	0	0
ABHD5	0	0	0	0
ANOS1	0	0	0	0
AKAP8L	43.19	47.33	0	0
MBTD1	0	3.92	0	0
UTP18	91.04	1.7	0	0
RNF216	73.16	18.42	0	0
TTC19	0.08	0	0	0
PTBP1	100.27	304.39	0	94.57
DPF1	0	0	0	0
