GeneSymbol	D3_ISO1_HEP_L_1	D3_ISO1_HEP_L_2	D3_ISO2_HEP_1	D3_ISO2_HEP_2	D3_INT_HEP_PI_1	D3_INT_HEP_PI_2	D3_INT_HEP_LPS_1	D3_INT_HEP_LPS_2	D3_INT_HEP_5OP_1	D3_INT_HEP_5OP_2	D3_INT_HEP_C_1	D3_INT_HEP_C_2	D3_INT_HEP_GL_C
KDM1A	13.24	14.06	19.01	16.02	14.97	11.37	11.96	10.91	11.67	9.41	11.64	11.24	10.76
RBM6	7.79	13.29	10.18	9.54	7.36	4.9	10.2	7.55	9.41	7.42	8.49	6.84	8.49
CAMKK1	0.39	0.23	0.25	0.25	0.24	0.04	0.05	0.07	0.11	0.12	0.19	0.13	0.18
RECQL	21.04	23.73	18.24	15.84	8.72	6.04	8.87	6.39	8.56	8.14	9.25	8.88	7.67
VPS50	4.05	5.93	5.8	6.28	4.31	3.02	5.38	2.62	2.91	5.64	3.39	3.81	6.35
HSPB6	0.47	0.4	1.07	0.89	0.58	0.13	0.2	0.16	0.21	0.1	0.24	0.31	0.22
ARHGAP33	0.61	0.24	0.13	0.17	0.28	0.22	0.07	0.3	1.01	0.05	0.39	0.29	0.49
NDUFAB1	64.52	66.38	76.2	63.96	81.9	57.55	65.2	55.76	62.75	52.13	55.38	52.54	73.42
PDK4	8.01	8.37	12.64	12.32	2.45	2.56	2.56	1.91	2.78	2.38	2.46	2.66	2.05
SLC22A16	0.51	0.31	0.18	0.09	0.04	0	0	0	0.05	0.07	0.01	0.05	0.16
ZMYND10	0.08	0.08	0	0.02	0	0	0	0.01	0	0.17	0.1	0.03	0.03
ABCB5	0.16	0.02	0.01	0.06	0	0	0	0.01	0	0.01	0.01	0	0.02
ARX	0.01	0.09	0	0.02	0.01	0.01	0	0.01	0.01	0	0.06	0.01	0.02
SLC25A13	7.96	8.48	17.44	11.36	9.13	9.48	12.59	7.95	9.05	11.31	10.06	9.3	11.72
ST7	4.58	4.2	6.36	5.39	5.32	5.68	4.25	3.55	4.3	4.07	4.84	3.8	4.49
CDC27	20.24	19.45	20.78	18.31	10.94	9.87	11.75	9.89	12.45	17.15	11.21	9.78	12.04
SLC4A1	0.39	0.31	0.49	0.39	0.13	0.61	0.2	0.17	0.58	0.1	0.38	0.13	0.09
CALCR	0.12	0.04	0	0.02	0	0	0	0.01	0	0.01	0.01	0	0.01
HCCS	11.02	14.86	16.09	16.11	12.2	14.03	11.77	13.9	13.7	13.31	14.26	12.22	12.57
DVL2	2.88	3.2	5.12	3.7	3.73	5.25	2.62	2.21	2.98	3.43	2.72	2.37	2.16
PRSS22	0.2	0.21	0.02	0.12	0.03	0.06	0.03	0.06	0.08	0.01	0.09	0.15	0.06
UPF1	6.76	9.09	8.6	8.25	7.12	7.14	8.76	7.66	9.57	5.85	7.58	5.6	8.03
SKAP2	5.12	4.42	5.24	4.49	1.1	0.64	1.14	0.55	1.41	1.25	0.7	1.01	0.87
SLC25A5	78.7	77.91	88.24	81.81	60.99	54.13	51.69	54.64	56.73	52.31	62.18	52.55	48.84
MCUB	3.81	4.68	1.8	1.8	2.51	1.95	0.8	0.84	0.84	0.57	0.62	0.54	0.65
HOXA11	0.06	0.07	0.07	0.01	0.08	0	0	0	0	0	0.04	0.03	0
POLR2J	31.94	33.73	36.23	35.68	39.75	36.28	39.34	42.32	41.06	38.37	40.17	40.74	38.27
DHX33	3.26	4.14	5.85	5.03	2.78	2.55	2.43	2.6	2.93	2.52	2.84	2.35	2.46
MEOX1	0.16	0.05	0	0.08	0.03	0	0	0.01	0	0	0.19	0	0.02
THSD7A	0.34	0.2	0.15	0.16	0.06	0.12	0.1	0.09	0.04	0.06	0.05	0.17	0.06
LIG3	4.44	4.77	5.8	5.94	4.22	5.78	4.85	4.64	5.73	4.07	4.87	4.49	3.2
RPAP3	8.32	8.07	12.22	8.8	6.31	6.39	5.5	5.2	5.69	5.17	7.82	6.8	6.39
ACSM3	1.6	2.32	1.35	2.53	1.46	0.91	1.15	1.56	1.65	1.29	1.6	1.22	0.92
REXO5	1.54	1.83	3.17	1.84	0.75	0.29	0.78	0.63	1	0.62	0.56	0.68	0.26
CIAPIN1	10.11	9.85	14.95	13.13	12.18	8.06	12.29	10.45	11.34	11.01	14.37	12.34	14.43
SPPL2B	3.01	3.09	2.46	2.52	2.6	3.4	3.22	3.33	3.03	2.9	2.37	2.19	2.05
FAM214B	2.9	2.38	2.61	2.84	3.48	3.43	3.52	3.04	4.62	3.02	3.66	3.32	4.18
COPZ2	3.04	3.83	4.36	5.2	1.95	2.61	1.18	2.31	2.03	2.19	2.96	2.82	2.81
PRKAR2B	0.65	0.31	0.31	0.28	0.22	0.03	0.01	0.02	0.05	0.1	0.06	0.08	0.14
MSL3	5.67	7.82	8.74	11.03	6.34	3.36	5.48	5.96	4.45	5.17	6.32	4.99	4.96
CREBBP	12.9	25.03	18.64	13.81	14.2	12.07	14.61	15.61	13.64	13.4	20.86	14.4	14.73
TSPOAP1	0.37	0.12	0.6	0.11	0.08	0.09	0.03	0.03	0.24	0.37	0.19	0.19	0.3
MPO	1.12	0.9	0.04	0.81	0.01	0.07	0.19	0.01	0.05	0.02	0.04	0.23	0.03
PON1	4.97	6.8	17.85	15.17	4.93	6.71	4.84	7.24	5.54	4.54	7.05	4.72	3.96
GCFC2	4.43	5.03	7.06	5.42	3.77	7.65	3.96	2.92	3.61	2.96	3.25	3.1	4.69
WDR54	2.05	2.74	4.56	1.36	2.2	0.92	2.26	2.53	1.27	2.96	1.82	1.99	1.99
CROT	3.58	3.12	5.78	5.77	3.32	5.87	4.14	3.85	3.09	3.44	4.71	4.43	4.82
ABCB4	6.82	7.91	6.11	6.83	2.65	3.29	2.3	2.2	2.88	2.15	3.15	2.72	1.86
KMT2E	7.75	8.75	7.36	6.71	3.16	4.39	3.85	2.81	3.93	3.42	4.03	3.15	3.93
RHBDD2	5.62	5.19	7.19	6.62	8.38	8.54	6.03	8.51	9.3	7.81	7.31	7.37	9.01
SOX8	0.05	0.08	0.03	0.06	0.03	0.02	0	0	0.07	0.03	0.03	0.02	0.01
IBTK	18.25	20.81	21.51	18.17	11.5	10.62	11.84	9.81	10.37	10.77	11.25	9.72	10.78
ZNF195	4.11	4.67	5.47	4.3	2.13	2.48	2.96	3.01	3.86	2.24	3.69	3.6	3.24
MYCBP2	11.79	15.87	13.96	11.25	6.72	8.5	8.01	6.16	7.87	6.33	9.65	5.82	7.29
FBXL3	5.25	5.76	5.73	4.98	3.28	4.07	2.97	2.62	3.6	3.2	3.39	2.25	2.76
