GeneSymbol	D3_ISO1_HEP_L_1	D3_ISO1_HEP_L_2	D3_ISO2_HEP_1	D3_ISO2_HEP_2	D3_INT_HEP_PI_1	D3_INT_HEP_PI_2	D3_INT_HEP_LPS_1	D3_INT_HEP_LPS_2	D3_INT_HEP_5OP_1	D3_INT_HEP_5OP_2	D3_INT_HEP_C_1	D3_INT_HEP_C_2	D3_INT_HEP_GL_C
XRCC2	1.2	0.83	1.39	1.02	0.25	0.18	0.19	0.24	0.22	0.15	0.24	0.21	0.12
MYO6	10.13	12.5	11	8.41	8.88	6.33	8.36	7.12	9.42	7.76	7.21	7.85	8.11
MRTFA	6.42	7.39	8.76	9.15	7.37	9.11	9.36	6.83	7.8	5.51	7.82	6.81	8.44
MBD3L2B	0.45	0	0	0	0	0	0	0	0	0	0	0	0
HDAC2	24.39	24.33	34.8	29.2	19.75	15.19	15.39	13.78	17.05	14.87	14.69	14.06	14.18
ANKRD20A19P_ENSG00000196593	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF782	0.52	0.78	0.93	0.66	0.42	0.39	0.61	0.38	0.22	0.31	0.34	1.02	0.3
SLC22A25	0.34	0.39	0.56	0.44	0.2	0.18	0.45	0.18	0.29	0.22	0.31	0.33	0.3
POTEF	0.23	0.04	0.07	0.12	0.07	0.17	0	0.03	0	0	0	0.01	0.03
ZNF846	1.21	1.84	0.2	0.86	1.15	0.82	0.91	2.43	1.79	1.04	1.18	1.13	1.19
MMP1	13.77	16.45	15.21	14.25	7.77	8.11	8.43	5.63	9.97	8.07	7.98	5.5	3.19
ADH1B	4.99	7.73	6.2	8.57	7.13	7.36	6	5.54	6.75	7.53	7.55	6.48	5.09
UGT2B15	1.48	0.88	8.82	7.67	1.47	2.21	1.37	1.52	1.66	0.89	1.78	1.73	1.51
TCF4	3.2	2.64	2.91	2.35	0.65	0.41	0.59	0.52	1.66	1.24	0.96	0.63	0.66
WNK3	1.37	1.3	1.47	1.05	0.48	0.31	0.46	0.38	0.6	0.29	0.4	0.9	0.31
LUADT1	0	0	0	0	0	0	0	0	0.13	0	0	0	0
SDHAF3	3.42	6.67	6.96	6.03	6.62	4.64	2.1	1.61	2.62	2.94	1.75	2.11	3.3
HRH1	0.26	0.54	0.11	0.28	0.07	0.06	0.05	0.22	0.08	0.03	0.08	0.05	0.09
RABL6	4.43	5.1	4.54	4.77	4.05	3.36	3.7	2.91	5.07	2.48	2.99	3.04	3.2
ZNF136	0.79	0.72	0.67	1.71	0.44	1.54	0.67	0.54	0.56	0.71	0.78	0.49	0.55
ZKSCAN5	1.5	2.35	2.1	1.74	1.42	1.35	1.44	1.18	1.51	1.37	1.48	1.46	1.47
ZNF502	0.34	0.54	0.55	0.56	0.21	0.26	0.34	0.37	0.23	0.38	0.32	0.38	0.21
TRAPPC4	16.99	19.63	15.4	12.17	8.6	10.78	11.69	9.51	9.68	10.43	10.68	10.61	10.99
ENSG00000196656	21.42	16.84	26.91	36.33	15.74	27.2	20.63	22.41	21.53	20.09	17.22	21.91	23.15
TTC30B	0.43	0.54	0.37	0.51	0.41	0.16	0.23	0.22	0.14	0.21	0.23	0.33	0.18
SLC30A10	1.37	0.79	2.2	2.17	0.86	1.36	0.96	0.65	0.82	0.49	1.14	1.13	0.85
TECPR2	1.92	1.31	1.84	1.39	1.01	2.45	1.37	1.16	1.79	1.23	1.13	1.16	1.67
TLR7	0.23	0.07	0.08	0.4	0.01	0	0	0.01	0.2	0.01	0.05	0.02	0.01
FAM180B	0.56	0.31	0.03	0.13	0	0	0	0	0.03	0	0.1	0.21	0.03
LINC00173	0.23	0.22	0.3	0.13	0.03	0.02	0	0	0.02	0.02	0.06	0.07	0.04
ZFP62	1.8	1.55	3.28	1.2	1.66	1.6	1.33	0.66	0.87	0.51	0.88	0.83	0.74
ERI2	4.77	5.06	7.37	5.09	3.7	1.68	4.05	3.04	3.89	2.69	4.76	2.26	3.21
TOMM7	41.54	50.69	45.84	49.71	40.31	43.22	36.37	36.17	41.44	41.32	43.71	43.03	38.79
HSH2D	0.22	0.68	0.24	0.21	0.33	0.16	0.24	0.41	0.01	0.07	0.06	0.12	0.11
TRPV1	0.4	0.47	0.53	0.28	0.27	0.13	0.33	0.17	0.49	0.22	0.51	0.33	0.45
ZNF33B	1.65	1.97	5.15	4.68	2.15	0.98	1.33	2.13	1.24	2.87	1.35	1.45	2.38
PDXDC2P-NPIPB14P_ENSG00000196696	2.56	4.97	3.67	2.61	0.85	2.36	1.09	1.86	1.79	1.61	1.55	1.09	1.65
ZNF512B	2.43	2.16	3.41	2.75	1.65	2.28	2.17	1.81	2.6	1.17	1.86	1.85	1.66
AMZ2	7.68	6.4	9.18	9.92	3.9	5.11	8.13	7.39	7.55	6.91	8.58	5.98	7.55
ZNF431	0.19	0.71	0.68	0.55	0.2	0.09	0.07	0.07	0.14	0.12	0.08	0.16	0.24
ALKAL1	0	0.08	0.62	0.08	0.14	0	0.08	0	0.03	0	0	0	0
NF1	7.26	10.03	12.11	9.9	5.9	6.77	5.79	5.2	5.3	5.87	6.55	4.62	6.22
VKORC1L1	5.84	6.4	10.12	9.25	3.57	4.54	4.16	3.28	4.55	3.92	4.29	3.21	4.61
ZNF418	1.22	0.48	0.73	0.31	0.2	0.03	0.43	0.14	0.24	0.85	0.63	0.25	0.12
DAPK1	6.05	8.36	6.78	8.48	2.17	1.78	2.68	2.2	3.51	1.8	3.08	2.03	2.83
LCE1B	0.09	0.06	0.15	0	0.02	0	0	0	0	0	0	0	0
HLA-DQA1	12.9	14.54	3.66	2.47	1.22	1.51	1.36	0.51	0.98	0.36	1.43	0.84	0.12
COL27A1	4.08	6.74	3.27	2.83	1.54	1.9	2.06	1.88	2.72	1.88	2.47	1.83	1.77
LINC01560	0.35	0.21	0.38	0.13	0.06	0.09	0.15	0.09	0.21	0.03	0.12	0.08	0.31
GM2A	9.37	10.98	8.56	8.75	5.51	4.4	5.58	4.61	4.65	5.25	5.75	5.31	5.31
HIST1H2AI	30.74	18.57	9.78	14.81	4.88	4.65	3.16	1.38	3.35	0.78	1.91	1.16	0.61
CLPSL2	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A2	0.18	0.34	0.77	0.44	0.38	0	0.18	0.42	0.08	0.07	0.14	0.3	0.18
SNHG17	6.88	6.08	5.51	6.22	2.28	4.08	4.05	4.56	3.72	3.53	4.74	3.74	4.43
ZNF700	1.18	1.63	1.3	1.04	0.79	0.93	1.12	0.77	0.85	0.75	1.11	0.77	0.98
AC079612.1	0.13	0.03	0.02	0.04	0.02	0.01	0	0.03	0.02	0.01	0.03	0.04	0.07
POU3F4	0.11	0.01	0.09	0.05	0	0	0	0.01	0	0.03	0.02	0	0.03
OR14A16	0.07	0.14	0	0	0	0.02	0	0	0	0	0	0	0
CD47	28.47	35.64	10.75	11.97	6.7	5.62	7.28	7.71	7.09	8.16	5.92	9.14	4.31
OR52K1	0.12	0.15	0.02	0.03	0.05	0	0	0.01	0	0	0.05	0.04	0.04
TLE1	16.27	21.71	25.91	20.95	14.49	17.15	15.04	12.78	15.13	13.37	12.46	11.55	16.17
MAML3	0.75	1.01	1.05	1.01	0.99	0.62	1.07	0.81	1.25	0.9	0.98	0.78	1.16
HIST1H2AG	42.71	33.74	26.95	20.06	11.95	4.23	6.38	4.79	8.96	1.15	1.8	1.47	3.3
STRN3	10.53	12.99	13.56	9.55	9.18	7.61	7.51	5.07	7.96	5.6	7.65	6.07	5.78
ZNF239	0.47	0.35	0.54	0.56	0.43	0.12	0.38	0.31	0.34	0.61	0.63	0.54	0.47
NPIPB10P_ENSG00000196796	0.08	0	0	0.07	0.07	0	0	0	0	0	0.08	0.01	0.09
SPINK14	0	0.07	0	0	0.06	0	0	0	0	0	0	0	0
SPRR2B	0.31	0	0	0	0	0.05	0	0.08	0	0	0	0	0.04
CTBP1-DT	1.13	1.22	1.44	0.93	1.14	0.66	0.9	0.71	0.93	0.42	0.83	0.55	0.66
CHRNG	0.17	0.04	0	0	0	0	0	0.02	0.07	0.15	0	0.03	0
ZSCAN16	1.67	0.6	0.72	1.43	0.69	0.69	0.73	0.46	0.8	0.58	0.83	0.58	0.54
MVB12B	0.84	1.01	2.89	1.96	1.07	1.58	1.48	0.78	1.4	1.65	1.46	0.98	2
ILRUN	19.18	22.59	21.62	20.05	19.5	19.88	20.62	17.07	23.37	20.56	21.9	20.89	22.01
ENSG00000196826	0	0	0	0	0	0.05	0	0	0	0	0	0	0
OR11G2	0.21	0.13	0.02	0.05	0.04	0.01	0	0	0.01	0.03	0.01	0.07	0.04
POTEI	0.16	0.15	0	0.04	0.03	0.02	0	0	0	0.02	0.01	0.09	0.01
ADA	1.9	1.62	3.45	1.67	1.36	2.19	1.24	1.47	1.69	1.13	1.83	1.09	1.46
ARID5A	2.53	5.05	2.94	2.85	1.99	2.03	2.57	2.15	2.13	0.8	1.22	1.04	1.98
PATE2	0.21	0.22	0.07	0.09	0.05	0.14	0	0	0	0	0.15	0.22	0
PPTC7	3.06	3.09	2.86	2.64	1.98	1.83	1.82	1.57	2.35	1.9	2.15	1.85	1.91
KRT39	0.05	0.33	0	0.05	0	0	0	0	0.08	0	0.03	0.03	0.04
TOMM20L	0	0	0	0	0	0	0	0	0	0	0	0	0
RGPD4	0.06	0.16	0.11	0.12	0.07	0	0.08	0.03	0.07	0.06	0.04	0.07	0.12
NHLRC2	2.62	2.29	4.34	2.41	1.24	1.43	1.27	1.1	1.26	1.12	1.5	1.08	1.46
HIST1H2AD	45.39	42.82	36.88	34.17	4.89	11.26	5.8	5.85	11.27	1.23	3.94	3.74	3.29
ZFP28	0.53	0.57	0.72	0.47	0.27	0.46	0.34	0.56	0.26	0.46	0.73	0.17	0.48
KIAA1211L	0.09	0.09	0.04	0.01	0.04	0.67	0	0.01	0.01	0	0.01	0.01	0.02
CBWD3	22.42	25.7	31.66	28.94	23.34	25.19	24.51	21.8	25.06	20.5	26.94	24.08	21.54
SCN8A	2.05	2.42	1.01	1.24	0.64	0.9	1.07	0.66	1.63	0.5	1.7	0.88	1.72
LAMB3	28.07	33.44	37.81	30.89	24.36	22.78	26.05	21.37	28.13	22.31	22.36	21.59	26.62
HIST3H2BB	2.27	2.35	0.14	0.24	0.09	0.67	0.01	0	0	0.1	0.07	0.04	0.01
ENSG00000196893	0.02	0.04	0	0	0	0	0	0	0	0.06	0.03	0.03	0
TEX43	0	0	0	0	0	0	0	0	0	0	0	0	0
KPNA5	1.3	2.03	0.76	0.83	0.87	0.91	0.87	0.7	0.56	0.44	0.54	0.79	0.5
ANKRD36B	0.73	1.62	0.69	1.27	0.38	0.37	0.75	0.44	0.81	0.36	0.52	0.62	0.63
ARHGEF12	18.82	26.91	23.85	21.16	14.71	12.22	16.06	14.36	15.89	14.8	17.21	13.77	16.23
HCAR1	0.08	0.08	0.02	0.08	0	0.03	0	0	0	0	0.02	0.01	0.06
ZNF252P_ENSG00000196922	0	0.21	0	0	0.43	0	0	0	0	0	0	0	0
PDLIM7	11.52	13.61	16.98	13.57	17.17	19.48	16.29	13.06	19.1	10.84	11.96	11.83	20.78
FLNA	110.29	132.12	163.3	135.22	98.3	70.49	104.76	85.65	139.87	81.81	110.71	87.24	139.63
TMEM26	0.45	0.36	0.37	0.29	0.05	0.19	0.26	0.02	0.05	0.01	0.11	0.14	0.05
RPS26P11_ENSG00000196933	0	0.18	0.07	0	0	0	0	0	0	0	0	0	0
SRGAP1	3.06	2.57	5.57	3.11	1.62	2.62	1.81	1.61	1.64	1.34	2.4	1.81	2.16
FAM3C	29.11	31.95	39.14	36.03	25.09	33.25	20.91	19.7	23.55	22.16	24.13	24.83	16.33
NOP9	3.79	3.82	4.88	3.62	3.31	3.25	3.17	3.06	3.47	3.31	3.5	3.29	3.62
OR2T4	0.11	0	0	0.03	0.03	0	0	0	0	0	0.07	0.02	0
ZNF705A	0.17	0.08	0	0	0.04	0.03	0	0.04	0.05	0.01	0.01	0	0.03
SLC39A10	1.84	1.23	1.92	1.6	0.21	0.19	0.17	0.35	0.63	0.1	0.37	0.2	0.28
SCOC-AS1	0.77	0.47	0.49	0.86	0.6	0	0.51	0.76	0.08	0.31	0.68	0.78	1.32
CASP4	61.27	74.43	34.16	27.8	36.48	34.11	32.19	27.42	32.04	30.89	32.56	34.23	27.87
AP2A1	18.36	20.76	25.94	17.58	22.87	25.45	26.16	14.81	29.92	11.69	17.1	13.63	25.68
ZNF585A	1.19	1.61	1.16	0.64	0.95	1.31	0.6	0.35	0.57	0.7	0.96	0.62	0.72
FUT11	4.16	5.26	3.39	2.8	1.87	2.15	1.94	1.6	2.27	2.01	2.07	1.18	2.27
NXF4_ENSG00000196970	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM10L2B	0.08	0.08	0.12	0.15	0.07	0.01	0.01	0.12	0.02	0.05	0.14	0.08	0.11
ANXA4	48.17	59.87	42.4	44.11	30.86	33.41	40.76	35.61	41.18	38.45	38.7	33.88	33.38
LAGE3	1.04	1.75	1.89	1.13	2.49	1.74	2.06	1.93	1.94	0.52	1.03	1.19	1.46
GPRACR	0.05	0.02	0.02	0.08	0.04	0	0	0	0.01	0.02	0.03	0.03	0
WDR5B	0.48	0.62	0.58	0.48	0.23	0.27	0.16	0.14	0.21	0.19	0.24	0.23	0.23
FAM163B	0.1	0.14	0.01	0.11	0.09	0.04	0.01	0	0.02	0.01	0	0.06	0
NPIPB9	0	0	0	0	0	0	0	0.1	0.15	0.01	0.03	0	0
WDR45	11.48	11.01	11.52	7.41	7.83	9.91	10.73	9.1	12.5	10.33	10.62	8.27	10.02
METTL9	7.72	11.41	6.83	7.52	5.4	4.56	7.92	4.66	5.61	3.99	6.19	7.11	5.56
ZNF138	1.72	1.83	1.91	1.7	1.03	0.87	1.28	0.68	0.98	1.01	1.12	0.94	0.79
ZNF429	1.27	1.16	1.13	1.32	0.32	1.19	0.58	0.51	0.92	0.49	0.65	0.38	0.67
ZNF470	1.32	2.11	1.49	0.72	1.71	0.62	0.94	0.68	1.06	1.24	1.3	0.95	0.71
SERTAD1	1.6	2.1	1.13	1.1	2.2	2.66	2.09	1.64	1.78	1.85	1.55	1.26	1.51
ZNF100	1.05	1.8	1.99	1.05	0.45	1.04	0.69	0.28	0.73	0.35	0.86	0.47	0.68
CXorf40B	7.1	7.33	6.89	5.44	5.87	6.78	7.22	4.43	7	4.53	5.04	4.27	5.33
OR51A6P_ENSG00000197023	0.14	0.4	0	0	0	0	0	0	0	0.04	0.07	0.11	0
ZNF398	1.25	1.64	1.9	1.85	2.17	1.54	1.59	2.02	1.77	1.54	1.74	1.97	2.15
ZSCAN25	1.06	2.3	0.82	1.43	0.77	0.85	1.67	1.1	1.19	1.14	1	0.75	1.15
RBMY1A3P_ENSG00000197038	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA6	39.51	43.02	58.07	48.49	38.09	44.22	45.47	36.18	43.48	38.81	45.86	41.98	43.49
ZNF441	0.7	0.62	1.04	0.78	0.44	0.52	0.51	0.29	0.64	0.36	0.67	0.58	0.51
GMFB	13.87	14.25	23.15	14.79	9.58	17.44	8.1	6.77	8.23	7.4	7.5	9.41	7.44
SIGLEC15	0.27	0.06	0.09	0.2	0.06	0.03	0.07	0.01	0.17	0.04	0.08	0.19	0.11
ZNF420	1.69	0.77	1.03	0.72	0.66	1.1	1.37	0.74	0.9	0.84	1.12	1.05	0.73
ZNF763	0.14	0.27	0.17	0.13	0.08	0.06	0.06	0.04	0.02	0.08	0.25	0.01	0.26
ZMYM1	1.66	1.75	2.09	1.86	1.08	0.93	1.62	1.33	1.22	1.01	1.33	1.01	0.99
DTHD1	0.18	0.15	0.16	0.04	0.04	0.01	0	0.01	0.06	0.02	0.01	0.06	0.05
HIST1H4C	51.36	51.91	60	51.87	19.65	19.26	13.98	22.29	18.5	20.72	21.22	15.79	15.41
ZSCAN26	1.56	1.29	2.17	1.36	2.63	1.13	1.87	2.66	2.22	1.48	1.72	1.74	2
MAFG	3.55	4.56	4.84	4	6.37	6.46	5.31	4.48	6.38	3.86	4.7	4.47	6.17
OR2T32P_ENSG00000197067	0.28	0.39	0.19	0.1	0	0	0	0.09	0.02	0	0.03	0.11	0.05
ARRDC1	4.04	4.78	7.3	5.93	6.26	4.87	6.01	5	5.68	4.48	5.36	6.31	5.36
KIAA1671	8.84	9.78	12.17	10.44	7.94	7.49	9.23	7.09	9.46	7.49	9.08	7.6	8.54
KRT35	0	0	0	0.03	0	0.07	0	0	0	0	0	0.03	0.03
IGF2R	30.1	38.45	31.98	29.96	29.14	27.46	32.5	26.85	36.06	30.56	32.59	33.33	36.63
ZNF300P1_ENSG00000197083	0	0	0.01	0	0	0	0	0	0	0.02	0.01	0	0
LCE1C	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0
NPSR1-AS1	0.06	0.31	0.03	0.1	0.02	0	0	0	0.01	0.02	0.07	0.08	0.02
GOLGA6L16P_ENSG00000197092	0	0	0	0	0	0	0	0	0	0	0	0.02	0
GAL3ST4	0.35	0.08	0.48	0.04	0.07	0.08	0.05	0.07	0.08	0.04	0.13	0.15	0.06
AC068631.1	2.42	1.2	0.42	0.6	0.33	0.22	0.04	0.09	0.48	0.2	0.09	0.58	0.2
DYNC1H1	98.87	129.61	116.13	98.61	90.35	55.87	119.19	81.45	120.33	92.86	102.68	93.37	115.04
SLC6A17	0.02	0.4	0.04	0.05	0.01	0.01	0	0.01	0.02	0.01	0.01	0.02	0.02
IFNL3	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP2	151.14	185.05	219.16	184.96	125.78	115.75	114.51	98.48	127.96	114.8	137	119.96	112.6
ZGPAT	4.56	5.92	7.15	4.45	5.09	6.8	7.76	5.38	8.64	3.63	3.7	4.58	7.26
SLC25A29	0.91	0.98	2.14	1.04	1.22	2.59	0.86	0.5	0.8	0.66	0.55	1.19	0.62
PGAP1	0.43	0.43	0.28	0.44	0.3	0.83	0.16	0.13	0.33	0.29	0.43	0.27	0.38
SRC	5.44	4.7	6.14	5.55	5.02	5.47	6.46	4.46	6.96	3.82	4.7	6.49	5.31
ZNF679	0	0	0.03	0	0	0	0	0	0	0	0	0	0
ZNF682	0.8	0.65	1.21	0.72	0.16	0.98	0.38	0.4	0.23	1.36	0.41	0.19	0.55
OR8B8	0.21	0.09	0.07	0.04	0.02	0.02	0	0	0.01	0.01	0	0.08	0.11
ZNF772	1.05	0.91	1.13	1.32	0.67	0.45	0.47	0.34	0.73	0.52	0.65	0.91	0.77
ZNF257	0.4	0.1	0.18	0.38	0.03	0	0	0.07	0	0.03	0.27	0	0.03
PCNX3	5.14	5.34	4.57	4.93	3.63	4.63	4.43	3.45	5.72	3.31	4	4.07	3.74
ADAM32	0.13	0.12	0.08	0.32	0.06	0	0	0.08	0.01	0	0.06	0.02	0.04
ACSL5	39.62	37.37	28.26	24.97	35.34	38.6	37.11	35.08	39.3	38.89	38.18	36.7	31
LRRC8B	1.24	1.33	1.81	1.72	0.86	0.91	0.87	1	1.09	1.23	1.4	0.85	1.26
ENSG00000197149	0.04	0.12	0	0	0.14	0	0.03	0	0.12	0	0	0	0
ABCB8	5.68	6.15	7.67	5.43	4.46	3.77	4.88	3.92	4.49	4.36	5.41	3.97	5.14
HIST1H3J	8.11	5.73	4.13	3.93	1.08	0.54	0.81	0.52	2.24	0.19	0.54	0.75	0.14
SND1	38.41	45.99	47.79	41.9	32.24	27.38	37.93	27.93	35.94	29.2	36.78	31.72	32.89
OR4C4P_ENSG00000197161	0.27	0.07	0	0.04	0.19	0	0	0.03	0.02	0	0.02	0	0
ZNF785	0.65	1.19	0.68	0.69	0.18	0.14	0.37	0.38	0.41	0.32	0.22	0.55	0.33
SULT1A2	1.3	0.59	2.03	1.18	0.68	0.22	0.81	0.62	0.68	0.71	0.77	1.36	0.65
NEK5	0.2	0.13	0.1	0.09	0.08	0.02	0.05	0.01	0.03	0.06	0.08	0.03	0.07
PSMD12	55.54	54.94	60	50.62	40.79	38.64	39.55	34.36	39.33	35.93	39.95	32.59	38
OR2B4P_ENSG00000197171	0	0.05	0.38	0	0.01	0	0	0	0	0.12	0	0.09	0.11
MAGEA6	0.08	0.08	0.05	0.07	0.03	0	0	0	0	0	0.08	0.01	0.03
LINC02291	0.05	0.05	0	0.25	0	0.15	0	0	0.03	0	0	0.03	0
ADGRA1	0.01	0.02	0.07	0.04	0	0	0	0	0	0	0.06	0.01	0.02
AC244090.1	1.07	0.42	0.55	1.08	0.42	0	1.5	0.28	0.33	0.46	0.94	0.16	0.28
PIWIL2	0.18	0.08	0.05	0.08	0.07	0.01	0.15	0.12	0.11	0.08	0.11	0.17	0.09
MIRLET7BHG	1.1	2.31	1.02	1.66	0.7	0.29	1.25	0.78	1.08	0.28	0.74	0.39	0.48
NOL4L	1.21	1.53	1.62	1.01	1.21	1.22	1.09	1.18	1.64	1.07	1.15	1.29	1.83
SSX11P_ENSG00000197185	0	0	0	0	0	0	0	0	0	0.09	0	0	0
CYSRT1	0.21	0.29	0.06	0.14	0	0	0.04	0.13	0.09	0.18	0.03	0	0.33
SLC22A4	0.47	0.33	0.49	0.24	0.07	0.06	0.21	0.22	0.28	0.34	0.2	0.24	0.24
ENSG00000197210	0.03	0.02	0	0.03	0.03	0	0	0	0	0	0.02	0	0.07
ZSCAN5B	0.21	0.12	0	0.08	0.11	0	0	0	0.09	0	0	0	0.06
TCEA1P1_ENSG00000197214	0.17	0.16	0	0.16	0.3	0	0	0.02	0.02	0.05	0.03	0.1	0.06
ENTPD4	3.32	4.85	5.12	2.66	3.43	2.57	2.53	2.2	2.79	1.9	1.76	1.98	2.85
C1D	4.35	5.82	9.33	6.84	3.56	5.36	3.44	3.25	3.12	3.61	4.05	3.55	3.87
TBC1D9B	14.3	17.6	19.14	15.67	14.9	18.81	18.16	16.58	18.52	16.77	19.22	16.23	17.7
OR1J2	0.08	0.07	0	0.04	0	0	0	0	0.06	0	0	0	0.19
HIST1H4J	16.9	30.09	17.22	30.58	5.58	5.78	9.37	12.24	11.55	1.32	5.29	3.95	8
SLC2A7	0.02	0	0	0	0	0	0	0	0	0.01	0	0.05	0
FAM110D	0.08	0.12	0.16	0.15	0.03	0.06	0.01	0.02	0.02	0.07	0.01	0.03	0.08
SERPINA1	5288.01	6814.98	4398.91	4473.05	3034.38	3119.28	3551.35	3456.13	3257.95	3515.82	3661.71	3425.36	2322.84
LINC00336	0.13	0.03	0.04	0.12	0.08	0	0	0	0.01	0.08	0.05	0.03	0.01
TPSB2	0.13	0	0	0.03	0	0	0	0	0.01	0	0	0	0.02
ENSG00000197254	0	0	0	0	0	0	0	0	0	0.04	0	0	0
KANK2	5.03	6.99	10.4	9.29	9.4	6.49	6.14	6.88	8.36	6.76	9.26	7.5	5.84
EIF4BP6_ENSG00000197258	0.64	0.63	1.53	1.15	0.59	1.2	0.49	0.52	0.78	0.51	0.95	0.58	0.7
C6orf141	2.06	1.32	3.28	1.36	2.45	0.67	2.21	2.06	3.27	1.86	2.36	2.21	3.43
GTF2E2	13.97	14.57	15.79	14.05	13.57	14.28	11.49	10.48	11.54	12.31	11.53	12.78	10.7
IL27	0.81	0.35	0	0	0	0	0	0	0.11	0.03	0	0	0.1
GUCA2A	0	0	0	0	0.42	0.18	0	0	0	0	0	0.04	0
RAD54B	1.51	0.94	1.46	0.96	0.55	0.85	0.14	0.26	0.48	0.71	0.47	0.51	0.31
ZNF165	1.35	1.41	1.78	2.22	0.76	0.72	0.47	0.67	0.65	0.81	0.7	0.81	1.12
SYNGAP1	0.82	0.37	0.28	0.22	0.15	0.07	0.2	0.16	0.29	0.15	0.3	0.27	0.19
RAMP2-AS1	0.31	0.35	0.28	0.09	0.04	0.24	0.01	0.05	0.01	0.08	0.11	0.13	0.03
FITM2	1.03	1.1	2.25	1.68	1.1	0.81	1.14	0.97	1.37	1.07	1.21	1.03	1.67
BLM	2.03	1.2	1.76	1.26	0.3	0.4	0.47	0.29	0.45	0.17	0.33	0.46	0.21
HMGA2-AS1	0.31	0.23	0.09	0.04	0	0	0.02	0.02	0	0.05	0.05	0.02	0.16
ZNF720	2.21	1.54	2.02	1.25	1.34	1.44	1.24	1.25	1.37	1.19	1.2	1.64	1.42
GATA3-AS1	0.82	0.25	0	0.38	0.04	0	0	0	0	0.01	0.1	0.02	0.02
OR10D3	0.11	0.08	0.04	0.33	0.01	0	0	0	0.02	0	0.11	0.01	0.04
DDI2	4.83	6	6.44	5.54	3.75	4.08	3.97	4.72	4.23	4.07	5.98	4.04	5.22
ENSG00000197320	0.06	0.03	0	0.01	0	0	0	0.02	0	0.05	0	0.06	0.01
SVIL	9.29	12.87	15.68	11.79	9.73	9.2	13.52	7.27	11.87	8.76	10.54	8.36	12.29
C17orf102	0.21	0.05	0	0.09	0.04	0	0	0.01	0	0	0.03	0.03	0.06
TRIM33	6.74	6.94	6.79	6.02	4.12	3.85	6.78	5.23	4.46	3.73	5.94	3.47	6.2
LRP10	22.3	26.91	25.49	21.02	19.21	20.73	27.64	26.58	26.61	28.03	28.12	24.68	27.35
PELI1	3.92	5.67	2.12	2.41	1.18	1.27	1.52	1.62	1.54	1.36	1.71	1.04	1.36
ENSG00000197332	0.44	0.48	0.05	0.13	0.07	0.32	0.1	0.02	0.41	0.51	0.18	0.14	0.16
ENSG00000197334	0	0	0	0	0	0	0	0	0.26	0	0	0	0
ZNF655	7.59	10.12	8.83	8.67	5.07	6.64	5.15	5.81	6.41	5.19	5.26	4.47	6.35
MRPL21	19.95	24.47	29.09	30.57	24.83	23.65	21.09	20.12	23.33	24.68	22.89	24.32	23.98
LYPD2	0	0	0	0	0	0	0	0	0	0	0	0	0
UAP1L1	0.6	0.86	0.89	0.73	0.16	0.17	0.45	0.07	0.43	0.26	0.27	0.18	0.42
BNIP3P1_ENSG00000197358	0.29	0.78	0.65	0.25	0.17	0.49	0.44	0.12	0.3	0.14	0	0.24	0
ZNF98	0	0	0.06	0.07	0	0	0.01	0	0.01	0	0.13	0	0.02
FBXL22	0.04	0.08	0.03	0.02	0.08	0.22	0.11	0.1	0.05	0.02	0.11	0.13	0.06
ZNF786	0.42	0.8	0.88	0.63	0.44	0.69	0.8	0.51	0.57	0.47	0.38	0.5	0.43
ZNF517	0.29	0.26	0.32	0.28	0.55	0.01	0.38	0.09	0.11	0.2	0.31	0.15	0.31
S100A7L2	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF675	1.76	1.74	1.84	1.66	0.61	0.46	0.83	1	0.98	0.85	0.87	1.84	1.17
SLC22A5	2.77	1.82	5.4	4.21	3.5	3.21	2.59	2.81	3.33	3.58	4.96	3.14	5.32
ENSG00000197376	0	0	0	0	0	0	0	0	0	0	0	0	0
DACT3	0.05	0.1	0.04	0.17	0.05	0	0.01	0.04	0.03	0.09	0.17	0.01	0.15
ADARB1	0.81	1.57	0.6	0.77	1	4.03	0.49	0.81	2.37	0.72	0.93	0.67	1.37
ZNF860	0.28	0.14	0.08	0.01	0.04	0.07	0.37	0.05	0.05	0.09	0.03	0.07	0.13
HTT	10.32	10.51	9.66	9.37	7.12	8.51	6.49	5.87	8.29	4.9	8.1	7.5	8.15
OR6N1	0.16	0.04	0.1	0.06	0.03	0	0	0	0.04	0.03	0.11	0.02	0.01
C5AR1	1.61	2.31	1.56	1.92	0.41	0.05	0.38	0.17	0.28	0.26	0.38	0.12	0.36
DIO3	0.16	0.03	0	0	0	0	0	0.03	0.04	0.05	0	0.01	0.04
CYP2B6	0.89	0.93	3.68	3.64	6.05	10.89	5.72	4.43	4.54	4.16	5.95	4.95	3.07
HIST1H3D	23.23	20.11	8.97	9.57	3.29	2.58	2.91	2.32	3.3	0.05	1.31	1.46	1.69
DCHS2	0.13	0.07	0.02	0.11	0.06	0.01	0	0.02	0.02	0.02	0.04	0.04	0.07
