GeneSymbol	D4_ISO1_LP_1	D4_ISO1_LP_2	D4_INT_LP_PI_1	D4_INT_LP_PI_2	D4_INT_LP_LPS_1	D4_INT_LP_LPS_2	D4_INT_LP_5OP_1	D4_INT_LP_5OP_2	D4_INT_LP_C_1	D4_INT_LP_C_2	D4_ISO6_LP_1	D4_ISO6_LP_2
LIG3	26.47	0	0.78	683.06	22.73	0	0	0	0	4.9	0.09	8.56
RPAP3	3.58	0	0	0	14.26	0	0	0	0	0	7.59	7.86
ACSM3	0.01	0	0	0	0	0	0	0	0	5.34	0	0
REXO5	0.06	0	55.75	0	0	0	5.72	0	0	65.99	0	0
CIAPIN1	1.57	0	0	0	0	0	0	0	0	0	5.3	0
SPPL2B	4.05	0	0	0	0	0	0.14	0	19.47	0	0	0
FAM214B	0.03	0	0	0	0	0	2.55	0	0	0	0	0
COPZ2	0	0	0	0	0	0	0	0	0	0	0	0
PRKAR2B	0	0	0	0	17.53	0	0	0	0.1	1.68	0	0
MSL3	0.35	0	18.48	0	10.1	0	0	0	0	10.39	5.04	3.58
CREBBP	2.66	73.18	0	0.13	0	0	228.33	73.26	34.29	0	9.68	15
TSPOAP1	1.83	0	0	0	11.35	0	0	0	2.31	1.11	32.4	1.39
MPO	0	0	0	0	0	0	0	0	0	0	0	0
PON1	0	0	0	0	0	0	0	0	0	0	0	0
GCFC2	2.77	0	0	0	0	0	0	0	0	0	0	0
WDR54	60.85	0	0	0	0	0	0	0	0	0	0	0
CROT	0.01	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0.4	0	0	0	0	0	0	0	0	6.29	35.67	0
KMT2E	18	0	0.43	0	0	2.09	0	4.85	2.66	10.01	45.35	36.92
RHBDD2	0.84	0	0	0	0	0	0	0	0	0	0	0
SOX8	0	0	0	0	0	0	0	0	0	0	0	0
IBTK	20.08	0	0	0	0	0	6.13	0	0	1.6	6.99	0
ZNF195	16.19	0	0	0	0	0	0	0	0	0	27.03	3.19
MYCBP2	20.17	0	0	0.62	48.81	0	0	0.15	5.06	9.33	2.92	10.89
FBXL3	2.52	6.62	0	0	0	0	0	0	0	2.74	8.9	2.84
ITGAL	22.76	102.16	0.5	0.19	0.92	40.78	0	1.01	0.01	6.31	106.08	14.82
PDK2	17.92	0	0	0	0	0	0	0	0	0.51	0	19.76
ITGA3	0.16	0	0	0	0	0	0	0.04	0	13.19	0	15.39
ZFX	2.1	0	0	0	4.17	0	0	0	0	0	3.83	0
LAMP2	0.03	0	0	0	16.07	0	0	0	0.03	0	2.69	9.28
ITGA2B	0	0	0	0	0	0	0	12.08	2.53	0	0	0
ASB4	0	0	0	0	0	0	72.04	7.01	0	3.45	0	0
GDE1	0.11	0	0	0	0	0	0	0	0	0	3.12	2.86
REX1BD	0	0	0	0	0	0	0	0	8.64	4.53	0.23	2.49
CRLF1	24.96	0	0	0	0	0	0	0	0	0.3	0	0
OSBPL7	0.03	0	0	0	0	0	0	0	0	0	20.41	0
TMEM98	0.01	0	0	0	0	0	0	0	0	0	0	0
YBX2	0	0	0	0	0	0	0	0	0	0	0	0
KRT33A	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K14	8.89	0	0	0	0	0	0	0	0	0	14.29	0
ABCC8	0	0	6.15	0	16.85	0.02	0	0.17	0.01	10.96	0	0
CACNG3	0	0	0	0	0	0	0	12.32	0	0	0	0
TMEM132A	0	0	0	0	3.64	0	0	0	0.02	2.87	0	0
AP2B1	10.29	128.24	0	36.18	231.47	0	0	0	0	11.47	10.72	1.39
TAC1	0	0	0	0	0	0	0	0	0	0	0	0
ZNF263	1.69	0	0	0	5.52	0	12.61	0	0	0	0	0
CX3CL1	0.15	0	0	0	27.04	0	0	0	0	2.9	0	0
SPATA20	0.64	0	0	0	0	0	0	0	21.75	5.11	0	0
CACNA1G	0.21	0	0	0	0	0	0	0	0.1	0	0	0
TNFRSF12A	0.05	0	0	0	0	0	0	0	0	0	0	20.96
DLX6	0	0	0	38.83	0	0.97	0	0	0	0	0	0
MAP3K9	0.01	0.01	0.98	0.12	9.92	0	0	2.81	0.37	0.06	0.66	0.16
RALA	19.18	0	2.38	0.73	0	0	0.45	19.56	0	0	35.92	18.79
BAIAP2L1	0.08	0	1.29	0	28.55	0	0	0	0	0	1.27	0
KDM7A	3.23	0	9.84	0	16.27	0	0	0	0	4.12	2.65	0
ETV1	0	0	0	0	0	0	0	0	0	0	0	0
AGK	12.95	0	0	0	0	0	0	37.15	0.03	4.77	0	0
ALDH3B1	0.03	0	0	0	0	0.01	0	0	0	0	0	0
TTC22	0.02	35.45	0	0	101.54	0	0	0	0	0	0	46.63
PHTF2	31.71	0	0	0	0	0	0	0	0.01	0	0.1	0
CCL26	0	0	0	0	0	0	0	0	0	0	0	0
FARP2	0.36	144.36	0.21	0	257.3	0	9.73	0	0	19.86	0.32	0
USH1C	0.22	0	0	0	0	0	0	0	0	6.12	0	0
GGCT	0	0	0	0	0	0	0	0	0	0	12.54	0
DBF4	127.18	0	0	0	0	0	0	0	0	0	0	13.57
TBXA2R	0	0	0	0	0	0	0	0	0	0	0	0
IFRD1	0.02	0	0	0	0	0	0	0	9.02	0	15.09	0
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
COX10	3.34	0	0	0	0	0	0	0	0	31.89	14.96	0
GTF2IRD1	0.04	0	0	0	0	0	0	0	0	5.54	0	0
PAF1	116.57	405.86	0.2	49.69	0.98	0	0	0	0	17.73	35.35	33.95
VPS41	16.15	56.29	0	0	0	0	0	0	0	3.57	3.37	0
ARHGAP44	0	0	0	0	23.82	0	0	0	0	18.35	0	0
ELAC2	18.33	0	0	0	0	0	0	0	0	0	0	0
SCIN	0.16	0	0	0	414.43	0	0.78	0.01	0	17.7	0	0
ARSD	0.01	0	0	0	0	0	0	0	0.04	0.12	2.65	0.84
PNPLA4	0	0	0	0	27.75	0.06	0	0	0	0	0	0
MYH13	0	0	0	0	5.03	0	0	0	0	0	0	0
ADIPOR2	4.51	0	0	0	15.13	12.12	0	9.88	0	103.34	4.97	1.08
CDKL3	0	0	0	0	0	0	0	0	0	0	0	0
UPP2	0	0	0	0	24.45	0	0	0	0	0	0	0
PRSS21	0	0	0	0	0	0	0	0	0	0	0	0
MARK4	3.77	0	0	0	93.79	0	0	0	0	2.47	2.76	0.02
PROM1	0.04	0	0	0	0	0	0	0	0	0	0	0
CCDC124	30.74	0.2	0	0	0	0	0	0	0	0	14.07	0
CEACAM21	0	0	0	0	0	0	0	0	0	0	5.23	0
PAFAH1B1	49.62	67.47	0	0.25	0	0	0	0	0.16	0	21.33	8.75
NOS2	0.13	0	0	0	0	0	0	0	0	0	0	0
DNAH9	0	0	0	0	0	0	0	0	0	32.66	0	0
KIAA0100	21.13	0	1.69	0.06	12.8	0	0	2.78	2.52	0.96	1.02	0.84
SLC13A2	0	0	0	6.07	0	0	0	0	0	0	0	0
GAS7	0	0	0	0.05	0	0	0	40.97	0.01	8.19	0	0
TRAPPC6A	24.67	0	0	0	0	0	0	0	0	0	0	0
MATK	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM7	0.01	0	0	0	0	0	0	0	0	0	0	0
CD79B	0	0	0	0	0	0	0	0	0	0	9.88	1
SCN4A	0	0	82.13	0	282.64	0	0	5.65	0	3.53	0	0
ST7L	10.26	0	0	0	0	0	0	5.34	0	2.33	0	0
TKTL1	0	0	0	0	0	0	0	0	0	0	0	0
PAX6	0	0	0	0	57.82	0	0	30.24	0.31	9.44	0	0
RPUSD1	0	0	0	0	0	0	0	0	0	0	0	0
RHBDF1	0	0	0	0	0	0	0	0	0	0	0	0
LUC7L	36.38	0	0.32	0	14.24	0.11	0	10.38	11.6	41.48	84.7	41.19
CACNA2D2	3.28	0	0	0	150.52	0	0	0	0	0	0	1.06
BAIAP3	0	0	0	0	0	0	0	0	0	0	0.01	4.97
TSR3	7.95	237.8	0	0	0	0	0	0	0	0	83.95	45.31
PIGQ	0.11	0	0	0	0	0	0	0	1.82	0	4.22	0
CRAMP1	0.02	0	0	0	0	0	0	0	0	0	185.67	0
TEAD3	0.01	0	0	0	0	0	0	0	0	0	1.2	0
SELE	0	0	0	0	101.4	0	0	0	0	0	0	0
DNAJC11	16.97	0	0	0	0	0	0	5.49	0.01	6.34	13.65	84.69
FMO3	0	0	0	0	0	0	0	0	0.09	0	0	0
MYLIP	0	0	0	0	0	0	0	7	0.03	0	0	0
NOX1	0.01	0	0	0	0	0	0	0	0	0	0	0
E2F2	0.85	0	0	0	31.12	0	0	0	0	3.49	0	0
PSMB1	107.75	0	0	0	0	0	0	0	17.17	0.36	67.84	30.43
SYN1	0	0	0	0	0	0	110.21	0	0.09	0	0	0
JARID2	2.91	0	0.07	0	3.73	0	0	0	0.01	5.27	2.36	7.32
CDKL5	0.01	0	0	0	0	0	0.55	0.1	0.05	0	0.17	0
CAMK1G	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	47.88	0.7	0.14	0	0	7.3	2.41	0.48	9.8	47.93	35.32	16.66
NADK	0.1	0	0	0	0	0	0	0	0.01	0	0	0
TFAP2B	0	0	0	0	0	0	0	0.04	0	0	0	0
TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0
DLEC1	0.01	0	0	0	0	0	0	0	0.02	1.29	4.45	0
CYTH3	0.11	0	0	0	1.38	0	0	0	0.01	0	0	0
ADAM22	0	0	0.04	0	0	0	0	3.02	0	0.94	0	0
SYPL1	6.41	0	0	0	0	0	0	0	0	3.98	0	0
CYB561	0.01	0	0	0	0	0	0	0	4.72	0	0	0
SPAG9	52.47	0	0	0	48.53	0.96	0	1.59	0.08	109.87	32.36	7.12
CELSR3	3.61	0	0	0	11.58	0	0	0	0	0	0	0
AASS	0	0	0	0	7.6	0	0	0	0	0	0	0.12
PLEKHG6	0.05	0	0	0	0	0	0	0	0	0	0	0
SS18L2	2.14	0	0	0	10.24	0	0	0	0	0	11.97	0
MPND	0.02	0	0	0	0	0	0	3.22	2.24	0	0	0
MGST1	0.07	0	0	0	55.99	0	0	0	45.26	0	0	0
CRY1	0	0	0	0	0	0	0	0	0	0.06	2.72	0
PGLYRP1	0	0	0.8	0	0	6.45	0	0	0	0	0	0
NFIX	0.01	0	0	0	0	0	0	0	0	7.72	0	0
ST3GAL1	2.09	0	0	0	0	1.32	0	0	0	0.99	8.84	190.83
MMP25	0	0	0	0	0	0	0	0	0	0	0	0
IL32	286.49	441.96	1.2	0.68	48.26	29.53	0	0	0	13.77	165.13	0
PKD1	0.02	0	0	0	4.27	0	9.77	0	0.32	0	31.91	18.23
MAPK8IP2	0	0	0	0	0	0	0	1.04	0.01	0	0	0
MED24	59.1	0	74.88	1.14	130.88	0	32.02	0	27.63	0	5.93	19.76
RHOBTB2	0.07	0	0	0	21.96	0	0	0	0.55	0.8	12.74	2
HEATR5B	0.42	0	0	0	0	0	0	0	0	0	2.13	0
SEC62	155.32	472.58	0.33	0.33	0	0	0	0	15.78	0	113.08	173
RPS20	707.49	1.36	2.6	0	170.57	99.92	0	446.35	5.27	34.39	947.58	1094.62
CSDE1	188.85	622.16	0	0	94.25	1.77	0	0.04	3.78	11.28	63.49	45.72
UBE3C	18.21	36.1	0	0	9.84	0	0	0	5.43	0	4.07	0
REV3L	1.99	0	2.09	0	0	0	0	2.34	0.11	2.72	4.38	0
TENM1	1.83	0	0	0	0	0	0.62	0	0	1.26	0	4.24
PAX7	0	0	0	0	0	0.52	0	0	0	0	0	0
MASP2	0	0	0	0	0	0	0	0	0	2.16	0	0
IYD	0.01	0	0	0	0	0.01	0	0.93	0	0	0	0
FAM76A	1.72	0	0	0	0	0	0	0	0	0	14.95	0
TRAF3IP3	52.36	415.14	0	0	0	0	0	0	0	0	7.79	123.42
POMT2	0	0	0	0	5.24	0	0	0.23	0	10.47	0	0
VTA1	6.62	0	0	0	0	0	2.06	0	0.01	0	12.27	8.58
MLXIPL	0	0	0	0	18.05	0	0	0	0	9.37	0	0
BAZ1B	25.19	39.69	0	0	0	0	49.24	0	0	0.04	22.9	19.17
RANBP9	11.89	0	0	0	0	0	0	0	0.26	1.32	3.63	12.5
ETV7	0.03	0	0	0	0	0	0	0	0	0	0	0
SPRTN	0.72	0	0	0	57.62	1	0	0	0	5.42	0.1	4.29
EEF1AKNMT	7.81	0	0	0	67.07	0	0	0	0	0	3.06	0
DYRK4	0	679.7	0	0	65.03	0	0	0	0.81	8.74	25.86	0
ZNF207	19.92	4.3	0.52	0	0	55.98	0	0	20.33	0	22.55	170.89
UQCRC1	74.48	0	0	0	120.19	0	0	0	1.53	0	19.85	15.33
STARD3NL	1.37	0	0	0	0	0	0	0	0	0	0	0
CD9	26.93	0	0	0	145.53	0	0	0	0	0	10.55	0
HHATL	0	0	0	0	0	0	0	0	0	0	0	0
NCAPD2	21.68	0	0	0	0	0	234.33	0	0	0	1.21	0
IFFO1	0.01	0	0	0	10.53	0	0	0	14.24	0.15	0	0
GIPR	0	0	0	0	0	0	0	0	0	39.68	0	0
PHF7	7.43	0	0	0.27	0	38.94	0	0	0	9.42	0	0
SEMA3G	0	0	0	0	0	0.66	0	0	0	0	0	0
NISCH	79.55	0	0	0	0	0.16	0	0	0.12	0.7	34.57	0.01
STAB1	0	0	0	0	0	1.41	0	0	3.57	0	0	0
FUZ	8.51	0	0	0	179.81	0	0	0	0	0	0	0
SLC6A13	0	0	0	0	0	0	0	0	0	0	0	0
