GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
HCCS	4.98	5.25	5.15	4.53	3.9	5.2	5.75	14.48	10.49	6.22
DVL2	2.56	2.29	2.24	1.75	2.45	2.08	2.36	4.38	2.75	2.04
PRSS22	4.34	3.21	3.02	2.46	2.71	3.86	4.12	2.94	2.49	4.88
UPF1	6.44	6.92	7.1	6.36	6.57	6.17	6.68	5.36	4.03	6.91
SKAP2	22.62	22.78	22.59	20.42	23.12	23.5	27.01	54.26	37.82	41.8
SLC25A5	64.07	77.61	79.51	72.55	70.54	82.77	83.77	117.09	86.17	101.11
MCUB	0.24	0.1	0.19	0.04	0.12	0.15	0.35	1.45	1.48	0.38
HOXA11	0.07	0.15	0.12	0.1	0.15	0.06	0.09	0.15	0.07	0.22
POLR2J	12.24	13.22	13.43	12.51	12.76	13.58	17.25	9.4	9.68	12.96
DHX33	0.75	0.55	0.33	0.28	0.42	0.47	0.45	0.55	0.55	0.63
MEOX1	0	0	0	0	0	0	0	0	0	0
THSD7A	0.3	0.34	0.16	0.28	0.19	0.33	0.22	0.3	0.19	0.36
LIG3	0.87	1.08	0.86	1.32	0.92	1.52	1.42	1.17	2.21	1.13
RPAP3	1.31	0.94	1.16	1.42	1.24	1.45	1.18	2.5	2.03	1.61
ACSM3	1.44	0.35	0.71	0.55	1.11	1.29	0.7	1.12	0.93	1.2
REXO5	0.01	0.02	0.07	0.01	0.12	0.07	0.03	0.32	0.3	0.32
CIAPIN1	2.16	1.87	2.13	2.01	2.76	2.36	3.42	3.93	3.52	2.44
SPPL2B	2.54	4.42	4.84	4.75	5.35	3.84	3.26	2.67	2.98	5.13
FAM214B	7.71	7.8	7.79	6.91	7.05	8.63	8.1	6.28	4.61	8.94
COPZ2	0.8	0.47	0.32	0.43	0.22	0.4	0.38	0.55	0.41	0.65
PRKAR2B	0	0	0	0	0	0.01	0	0	0.02	0.08
MSL3	2.36	2.97	1.81	1.61	2.39	1.86	3.7	6.84	5.31	1.43
CREBBP	24.07	18.4	19.43	17.72	20.06	19.45	25.13	30.01	22.08	21.78
TSPOAP1	0	0	0	0	0	0.01	0	0	0	0.07
MPO	0	0	0	0	0	0	0	0	0	0
PON1	0	0.04	0	0	0	0.1	0	0	0.04	0
GCFC2	0.13	0.14	0.14	0.1	0.22	0.05	0.23	0.37	0.16	0.07
WDR54	0.28	0.4	0.37	0.03	0.05	0.37	0.05	0.15	0.34	0.28
CROT	3.73	4.77	4.79	4.64	5.72	7.57	5.35	3.65	3.38	5.8
ABCB4	0.27	0.12	0.21	0.07	0.07	0.1	0.21	0.16	0.18	0.12
KMT2E	7.66	7.32	6.61	6.56	7.46	7.73	9.51	13.57	10.33	10.63
RHBDD2	9.66	10.52	9.16	8.76	9.85	11.06	11.88	7.4	5.71	10.33
SOX8	0	0	0.02	0.01	0.01	0.01	0.03	0	0.01	0.06
IBTK	18.01	16.78	15.4	13.98	15.74	17.43	19.47	26.24	20	24.91
ZNF195	1.08	1.45	1.54	0.73	1.39	0.93	1.28	1.46	0.9	1.39
MYCBP2	2.19	2.2	2.02	1.15	1.01	1.54	1.39	2.9	1.98	1.74
FBXL3	5.12	4.99	5.15	4.61	5.38	5.58	5.45	6.74	6.22	8.25
ITGAL	0.02	0.03	0.1	0.02	0	0.13	0.04	0.13	0.17	0.11
PDK2	2.26	1.18	1.67	2.03	1.56	2.26	2.11	2.99	3.16	2.13
ITGA3	56.62	60.01	60.44	57.43	56.91	60.72	60.98	53.83	50.37	63.43
ZFX	1.83	1.81	2.27	1.45	1.95	1.9	2.15	2.39	2.34	3.16
LAMP2	7.77	6.99	6.58	7.63	7.2	7.81	8.81	9.37	9	9.62
ITGA2B	0	0	0	0	0	0	0	0	0	0
ASB4	0	0	0	0	0	0	0	0	0	0
GDE1	39.03	36.15	36.02	40.14	42.52	33.1	43.52	37.89	30.53	53.61
REX1BD	0.52	0.61	0.45	0.31	0.53	0.63	0.7	0.68	0.13	1.52
CRLF1	0.02	0.07	0	0.15	0.02	0.06	0.08	0.04	0	0.14
OSBPL7	1.65	1.6	1.61	1.42	1.38	2.35	2.25	3.02	1.53	2.27
TMEM98	11.96	12.17	14.51	11.76	13.24	14.2	13.96	10.08	9.13	11.99
YBX2	2.41	2.85	3.26	3.12	2.41	3.38	3	3.59	3.27	4.92
KRT33A	0	0	0	0	0	0	0	0	0	0
MAP3K14	0.33	0.33	0.43	0.4	0.41	0.43	0.55	0.62	0.4	0.37
ABCC8	0	0	0	0.02	0.01	0	0	0	0	0
CACNG3	0	0	0	0	0	0	0	0	0	0
TMEM132A	1.4	2.21	2.09	2.34	2.15	2.1	2.52	1.04	1.69	2.61
AP2B1	8.14	9.67	9.7	8.64	7.66	10.04	12.35	9.64	8.22	9.79
TAC1	0	0	0	0	0	0	0	0	0	0
ZNF263	0.63	1.05	0.71	0.7	0.66	0.65	0.87	0.72	0.6	1.03
CX3CL1	0.81	0.94	1.11	1.09	0.88	0.89	1.2	30.91	34.75	0.77
SPATA20	5.19	5.37	5.94	4.57	6.04	6.82	5.67	5.34	4.3	7.09
CACNA1G	0.01	0	0.01	0.03	0	0.01	0	0	0.01	0.01
TNFRSF12A	3.59	4.85	4.94	6.14	5.03	3.87	5.03	3.37	3.08	7.76
DLX6	0	0	0	0	0	0	0	0	0	0
MAP3K9	1.6	2.05	1.65	2.1	1.79	2.1	2.36	2.11	1.41	1.93
RALA	13.98	13.83	14.66	13.41	13.57	14.33	18.41	18.13	14	20.28
BAIAP2L1	39.55	37.4	38.98	37.1	39.76	38.14	44.93	60.57	51.15	62.54
KDM7A	4.25	3.87	3.38	4.02	4.16	4.96	6.47	7.58	8.02	6.04
ETV1	0.05	0.18	0.06	0.13	0.1	0.02	0.17	0.59	0.1	0.07
AGK	0.37	0.49	0.23	0.37	0.32	0.48	0.76	1.75	1.57	0.35
ALDH3B1	14.19	14.48	13.43	10.73	13.23	14.59	11.98	6.46	4.56	15.98
TTC22	6.66	6.83	7.08	7.28	6.16	7.34	7.97	13.81	15.41	11.16
PHTF2	3.4	2.52	1.95	2.83	2.79	2.17	3.09	2.01	1.24	3.86
CCL26	0.08	0.1	0.1	0.23	0.33	0.04	0.05	0	0.03	0.38
FARP2	11.58	9.87	11.43	9.87	10.55	10.98	13.09	18.85	15.81	13.13
USH1C	55.1	55.32	58.83	51.64	50.38	65	66.34	58.1	38.73	59.82
GGCT	0.55	0.61	0.72	0.64	0.43	0.78	0.82	0.77	0.97	0.87
DBF4	0.26	0.37	0.44	0.1	0.29	0.37	0.27	0.36	0.23	0.34
TBXA2R	0	0	0	0.01	0	0	0.02	0	0	0
IFRD1	5.38	3.67	3.49	4.28	4.45	3.03	4.06	3.99	3.72	7.13
LGALS14	0	0	0	0	0	0	0	0	0	0
COX10	0.55	0.72	0.48	0.76	0.81	0.95	0.42	0.76	0.6	0.49
GTF2IRD1	2.44	2.25	2.44	2.28	2.87	1.99	2.42	4.79	4.36	3.2
PAF1	6.04	6.97	6.44	7.35	6.68	5.81	7.37	7.7	5.98	6.37
VPS41	6.36	5.53	7.7	5.92	6.53	5.68	7.82	13.06	11.62	10.62
ARHGAP44	0.39	0.49	0.53	0.19	0.17	0.46	0.51	1.88	1.57	0.35
ELAC2	1.05	2.13	2.09	1.15	1.44	1.68	2.68	2.31	1.91	1.72
SCIN	43.8	40.4	42.25	36.03	42.58	48.99	52.27	50.29	43.02	54.06
ARSD	3	3.9	4.54	2.86	2.74	3.71	3.54	4.76	2.94	4.64
PNPLA4	0.09	0.91	0.67	0.11	0.65	0.41	0.45	1.1	0.19	0.95
MYH13	0	0	0	0	0	0	0	0	0	0
ADIPOR2	25.02	23.61	23.39	21.54	23.55	26.32	28.62	32.6	23.94	32.62
CDKL3	0.05	0.25	0.01	0.1	0.11	0.06	0.16	0	0	0
UPP2	0.01	0	0	0.03	0	0	0	0	0	0
PRSS21	0.05	0.13	0.13	0.07	0.11	0.14	0.06	0.19	0.19	0
MARK4	7.07	5.26	5.36	6.3	5.75	4.03	5.87	12.63	9.18	5.91
PROM1	9.76	6.15	7.05	9.91	9.21	9.18	8.37	14.57	10.02	7.9
CCDC124	1.63	2.69	2.5	1.79	2.04	2.32	2.73	1.33	1.28	4.22
CEACAM21	0	0	0.03	0	0	0	0	0	0	0
PAFAH1B1	15.69	13.72	14.62	14.71	12.19	15.29	20.7	23.87	20.09	23.37
NOS2	1.17	1.49	1	0.92	0.98	2.18	2.39	73.54	102.08	1.02
