GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
SLC35F2	0.18	0.27	0.36	0.32	0.33	0.37	0.31	0.73	0.54	0.46
C11orf21	0	0	0	0	0	0	0	0	0	0
ELMOD1	0	0	0	0	0	0	0	0	0	0
CALCA	0	0	0	0	0	0.08	0	0	0	0
SOX6	2.67	2.44	3.11	3.58	3.19	4.92	4.13	6.5	5.44	2.98
C11orf58	16.64	15.31	15.85	13.99	14.3	20.7	21.97	28.63	26.24	20.57
PITPNM1	58.69	51.81	58.3	54.25	62.22	55.66	48.34	22.5	19.14	45.33
RPS13	22.88	20.15	18.01	19.28	20.4	25.89	23.97	38.19	35.18	21.98
AIP	4.26	4.25	3.77	4.07	3.22	3.44	3.21	1.93	1.89	4.95
NUP98	4.35	4.53	4.59	5.11	4.45	4.43	4.89	6.22	5.8	5.64
NDUFS8	3.81	4.33	4.85	4.04	4.79	5.17	3.36	1.94	2.2	5.32
TCIRG1	18.8	23.1	22.47	28.27	21.48	19.64	17.11	9.52	13.38	29.62
CHKA	47.68	42.89	33.69	33.6	37.18	35.52	48.52	67.82	47.12	53.51
EXPH5	0.24	0.46	0.35	0.27	0.28	0.41	0.39	0.3	0.38	0.41
HPS5	1.82	1.96	1.91	1.72	2.27	2.15	2.51	6.13	4.52	2.06
GTF2H1	5.46	4.83	5.08	4.58	4.76	5.88	7.13	8.5	6.82	6.59
POU2AF1	0	0	0	0.01	0	0.06	0.01	0.01	0	0
PTPN5	0	0	0	0	0	0	0	0	0	0
VWF	0.01	0.04	0.02	0.24	0.09	0	0.01	0.15	0.06	0.15
PSMD9	3.07	3.96	3.95	3.37	3.65	4.99	4.34	3.5	3.69	6.89
P3H3	0.14	0.04	0.07	0.18	0.1	0.13	0.07	0.04	0.08	0.18
PPFIBP1	2.75	2.57	3.07	2.64	3.41	3.4	4.69	2.07	2.37	3.47
PRPF40B	0.19	0.12	0.1	0.13	0.06	0.04	0.23	0.08	0.1	0.13
CD69	0	0	0	0	0	0	0	0	0	0
PRDM4	3.7	3.31	3.52	3.12	3.66	3.48	3.92	5.3	3.65	4.73
CLEC2B	0.03	0	0	0	0	0.06	0	0.03	0.11	0
COQ5	6.58	5.07	6.1	6.71	5.92	6.11	8.59	4.97	4.67	7.62
SELPLG	0.01	0	0.03	0.01	0.02	0	0	0.01	0	0.02
CORO1C	37.68	38.13	38.11	38.83	37.91	41.75	51.65	52.51	35.14	50.82
ASIC1	0.01	0	0	0.03	0.02	0	0.02	0.02	0.02	0.02
DAO	0	0	0.03	0	0.07	0.02	0.03	1.87	2.33	0
CAPRIN2	1.75	2	1.41	1.57	1.68	2.83	2.22	4.29	2.61	2.34
TSPAN11	0	0.01	0	0.06	0	0.01	0.02	0.01	0	0.02
KCTD10	8.42	10.84	7.8	9.22	9.06	8.86	10.19	11.08	10.22	9.32
SLC11A2	99.45	106.58	101.28	99.55	88.13	130.25	154.44	123.36	113.35	148.38
MLEC	16.41	19.46	17.2	14.98	14.94	21.01	19.13	13.32	9.28	17.26
MVK	4.4	5.12	4.68	4.51	4.86	5.19	4.93	4.01	3.44	4.74
CSRNP2	3.31	2.69	3.08	3.46	3.08	3.36	4.09	5.84	3.8	4.29
CAMKK2	4.48	5.52	4.96	4.84	4.65	5.25	5.2	7.59	5.53	5.86
BIN2	0.05	0.07	0.04	0.03	0.07	0.12	0.15	0.03	0.06	0.07
IL23A	0.34	0.21	0.76	0.8	0.96	0.66	0.93	1.12	0.55	0.56
ATP5F1B	68.11	64.5	72.21	57.8	66.51	77.96	67.69	77.06	64.2	79.68
PTGES3	16.01	23.18	20.4	20.65	19.99	20.19	22.64	19.3	16.09	27.28
SYT10	0	0	0.01	0	0	0	0	0	0	0
BCL7A	0.22	0.22	0.1	0.17	0.24	0.17	0.21	0.16	0.08	0.29
RSRC2	31.32	27.02	30.21	23.93	20.27	30.9	36.19	27.1	21.74	28.56
CYP27B1	0.21	0.04	0	0.01	0.05	0.01	0.04	0.04	0.07	0.02
MYF6	0	0	0	0	0	0	0	0	0	0
MYF5	0	0	0	0	0	0	0	0	0	0
LIN7A	0	0	0	0	0	0.04	0	0	0	0.06
KRT18	206.37	226.3	224.08	212.6	217.55	255.95	284.27	342.11	220.38	247.76
ACSS3	0	0	0	0	0	0	0	0	0	0
TNS2	0.26	0.51	0.39	0.59	0.27	0.88	1.32	0.16	0.19	0.79
GLI1	0	0	0	0	0	0	0	0	0	0
PPM1H	0.13	0.2	0.26	0.22	0.26	0.19	0.39	0.46	0.26	0.28
METAP2	5.29	5.25	4.35	5.96	5.75	5.64	7.4	6.2	4.3	7.1
LTA4H	2.43	3.1	2.41	2.08	2.46	3.12	3.53	3.38	3.47	2.82
ELK3	0.47	0.41	0.47	0.44	0.42	0.44	0.5	0.5	0.52	0.74
SLC6A12	0.84	0.68	1.35	0.63	1.23	0.81	0.31	1.66	0.68	0.44
WNT5B	0.29	0.44	0.39	0.7	0.27	0.37	0.3	0.53	0.48	0.24
MAGOHB	0.21	0.32	0.72	0.31	0.44	0.67	0.97	0.98	0.71	1.14
TRPV4	0.01	0.04	0.02	0.04	0.01	0.03	0.03	0.08	0.02	0.09
ITFG2	1.12	0.4	0.55	0.74	0.53	0.56	0.73	0.94	0.59	0.49
FOXM1	0.11	0.25	0.11	0.1	0.02	0.02	0.16	0.54	0.16	0.31
PRR4	0.27	0.05	0.29	0.37	0.66	0.29	0.77	0.39	0.48	0.76
PRMT8	0	0	0	0	0	0	0	0	0	0
PARP11	0.42	0.23	0.21	0.48	0.45	0.31	0.26	2.03	1.08	0.26
ARPC3	168.48	172.29	163.3	160.89	175.56	194.55	216.32	252.35	216.81	194.71
GPN3	0.06	0.27	0.11	0.08	0	0.11	0.2	0.19	0.08	0.62
VPS29	8.95	10.53	7.95	7.09	9.17	8.74	9.07	13.01	12.1	15.01
FGF6	0	0	0	0	0	0	0	0	0	0
MYL2	0.03	0.1	0.02	0.24	0	0.09	0.03	0.22	0.28	0.46
RAD51AP1	0.04	0.12	0	0.06	0.14	0.23	0.07	0.26	0.09	0.04
CUX2	0	0	0	0	0	0	0	0	0	0
SH2B3	2.4	2.13	2.24	2.56	2.26	1.99	2.46	2.32	1.92	2.75
AKAP3	0.03	0.15	0.01	0.08	0.23	0.03	0.03	0.07	0.02	0.06
MANSC1	3.23	3.23	2.89	2.69	3.31	3.43	4.55	3.78	3.93	6.82
KCNA1	0	0	0	0	0	0	0	0	0	0
DUSP16	8.6	8.68	6.16	7.28	5.86	5.55	8.69	10.37	7.74	8.88
CREBL2	1.39	1.31	1.42	1.49	1.38	1.51	1.51	1.28	1.02	1.86
ACAD10	1.98	1.62	1.76	1.41	1.37	1.53	1.8	3.54	1.69	1.94
ALDH2	59.24	55.93	60.02	58.02	59.57	59.47	66.39	75.39	52.03	69.31
CDKN1B	2.73	2.79	2.43	2.59	2.37	2.07	2.31	1.99	2.6	4.19
GPRC5D	1.77	1	1.01	1.22	1.13	1.57	1.4	3.21	2.1	1.05
NAA25	0.93	2.07	0.83	0.74	0.91	1.08	1.03	2.22	1.76	1.13
GSG1	0.38	0.12	0.03	0.14	0.24	0.26	0.38	0.52	0.34	0.08
SCNN1A	155.29	156.82	139.61	149.65	149.51	167.97	190.28	148.04	139.49	167.49
LTBR	16.93	14.56	16.59	14.17	17.04	18.73	23.99	20.95	19.29	19.8
OGFOD2	0.49	0.9	0.47	0.79	1	1.23	0.74	0.56	0.16	1.44
CDK2AP1	12.59	14.01	12.18	12.28	12.91	13.28	20.44	17.19	12.24	17.8
OAS3	3.88	3.7	1.83	2.16	1.84	3.33	3.12	24.74	23.16	2
OAS2	0.98	1.71	0.23	0.19	0.22	0.49	0.52	8.62	7.66	0.25
ART4	0	0	0	0	0	0	0	0	0	0
MGP	0.95	0.26	0.19	0.22	0.51	0.85	0.97	0.14	0.25	0.51
RASAL1	0.44	0.11	0.23	0.27	0.08	0.12	0.17	0.08	0.2	0.37
ARHGDIB	1.8	1.19	1.94	1.35	2.12	2.02	2.29	3.43	2.62	2.14
GTF2H3	0.29	0.98	0.49	0.43	0.44	0.57	0.45	1.02	0.51	0.85
EIF2B1	2.29	2.2	2.62	2.03	2.21	3.3	3.27	4.35	4.51	2.56
DDX55	0.29	0.29	0.21	0.13	0.15	0.24	0.14	0.36	0.2	0.28
SLC38A1	1.69	2.13	2.04	1.73	1.78	2.88	2.87	3.56	2.51	3.62
RERGL	0	0	0	0	0	0	0	0	0	0
ENDOU	0	0	0.01	0	0	0	0	0.01	0	0
C12orf49	3.66	4.58	4.51	3.86	3.81	4.24	5.02	4.31	5.15	5.36
VDR	11.58	13.9	14.17	12.77	13.57	16.72	15.2	18.03	13.18	14.24
FZD10	0	0	0	0	0	0.01	0	0	0	0
RFC5	0.41	0.45	0.58	0.58	0.54	0.65	0.76	1.08	0.55	1.19
STX2	0.06	0.09	0.1	0.09	0.16	0.1	0.3	0.09	0.04	0.19
ADGRD1	0	0	0	0	0	0	0	0	0	0
COPZ1	8.43	12.27	9.25	10.62	10.03	11.49	14.61	16.17	14.41	14.15
TBC1D30	0.01	0.03	0	0.01	0.01	0.01	0.04	0.02	0.02	0.04
CAND1	4.99	5.6	4.91	5.91	5.1	4.57	6.82	9.25	7.72	18.4
IL26	0	0	0	0	0	0	0	0	0	0
IFNG	0	0	0.01	0	0	0.25	0	0	0	0
RAB5B	31.06	30.58	32.18	31.2	31.49	31.48	37.07	51.76	39.73	35.97
MDM1	0.05	0.14	0.04	0.12	0.16	0.24	0.21	0.13	0.12	0.05
NUP107	1.28	0.93	0.56	0.61	0.85	1.03	1.02	2.2	1.54	1.62
CNOT2	8.67	8.99	8.31	8.69	5.9	9.18	9.94	14.94	11.08	8.35
TIMELESS	0.1	0.11	0.14	0.12	0.06	0.2	0.17	0.23	0.28	0.14
CPSF6	5.04	5.6	4.16	4.46	4.99	4.2	5.99	8.26	5.9	7.36
KRR1	3.85	5.8	4.87	4.59	4.85	6.34	7.29	5.85	5.01	4.68
MRPL51	4.37	4.74	5.86	3.91	4.01	4.7	6.5	8.27	5.15	6.57
GAPDH	567.88	632.48	649.97	552.85	632.13	692.88	728.68	886.8	662.25	671.95
NOP2	0.47	0.52	0.46	0.12	0.33	0.63	0.58	1.05	0.23	0.28
CHD4	23.51	20	24.85	20.84	20.46	24.08	27.14	41.15	23.52	23.19
ACRBP	0.05	0.03	0.09	0.02	0.03	0.04	0.04	0.15	0.05	0.04
UHRF1BP1L	2.47	1.76	1.98	1.49	2.31	2.38	2.23	1.95	1.84	2.62
COPS7A	3.55	2.97	2.89	3.34	3.34	4.72	4.02	2.63	2.47	4.6
ING4	3.35	2.38	2.78	4.76	2.55	2.78	3.25	4.23	3.92	2.27
GNB3	0	0	0	0	0	0	0	0	0.04	0
CDCA3	0.52	1.38	1.07	0.83	0.69	1.39	0.92	1.03	0.59	1.16
CHPT1	7.98	8.64	7.77	8.21	7.63	9.18	9.5	16.98	13.42	14.96
USP5	6.49	5.6	8.37	8.2	3.86	7.87	7.19	12.47	8.04	9.65
TPI1	192.45	196.56	204.04	195.71	212.18	202.3	229.88	227.87	193.48	213.42
GNPTAB	3.39	3.21	3.74	3.88	3.24	4.83	4.93	6.1	4.72	5.1
SPSB2	0.3	0.46	0.15	0.22	0.47	0.31	0.34	0.05	0.2	0.37
ENO2	1.03	0.93	0.86	0.93	0.91	0.76	1.31	0.74	0.66	1.29
ATN1	12.39	12.25	11.77	12.65	13.26	11.8	12.69	14.34	10.74	15.98
C12orf57	2.83	2.72	3.46	4.71	3.27	3.32	3.14	1.29	1.46	4.36
PTPN6	4.89	6.53	5	6.71	5.42	7.36	8	17.51	15.52	5.56
LPCAT3	12.57	13.03	11.47	11.64	12.84	13.02	14.09	7.12	7.31	13.71
NT5DC3	0.29	0.49	0.34	0.31	0.26	0.35	0.35	0.23	0.23	0.54
SLCO1B3	3.38	3.36	2.34	2.12	2.26	3.23	3.85	8.26	6.03	5.46
APOBEC1	16.37	15.77	16.76	17.07	16.73	15.53	17.93	40.71	39.14	19.14
NANOG	0	0	0	0	0	0	0	0	0	0
SUDS3	3.24	3.16	3.3	3.08	2.81	3.55	3.74	5.26	4	5.3
GOLT1B	2.14	4.96	2.52	2.28	2.33	2.22	2.69	7.99	4.62	4.52
GYS2	0	0	0	0	0	0	0	0	0	0
LDHB	9.05	7.77	6.39	5.37	7.59	10.77	8.25	12.26	8.76	10.09
PRKAB1	5.53	6.41	6.03	5.27	6.61	9.14	8.24	8.79	6.01	8.86
CMAS	70.31	74.51	70.38	62.54	72.12	68.7	79.64	86.78	76.56	121.27
HCFC2	1.28	1.06	1.04	1.04	0.97	1.3	1.32	1.94	1.63	1.48
ST8SIA1	0	0.07	0	0	0	0.06	0	0	0	0
CLEC4A	0	0	0	0	0.02	0	0	0	0	0
C2CD5	2.46	1.92	1.82	2.05	1.72	1.53	2.13	2.94	3.41	2.9
AICDA	0	0	0	0	0	0	0.01	0	0	0
RAB35	3.62	3.99	3.93	4.03	3.62	4.27	4.57	4.99	3.39	5.49
PHC1	0.34	0.32	0.38	0.39	0.56	0.61	0.13	1.27	0.31	0.28
COX6A1	86.23	79.77	81.33	82.81	88.47	83.82	88.71	76.28	61.97	92.06
ENSG00000111780	0	0	0.28	0	0	0	0	0	0	0
RFX4	0	0	0	0	0	0	0	0	0	0
RIC8B	1.01	1.33	1.58	1.48	1.19	1.21	1.37	0.95	0.57	1.62
SRSF9	20.47	20.29	20.58	18.38	18.78	19.65	21.25	28.3	23.61	28.3
DDX12B_ENSG00000111788	0.01	0.02	0.01	0.04	0	0.04	0.01	0.06	0.01	0.05
FGFR1OP2	3.3	3.38	3.23	2.79	2.5	4.37	4.44	5.16	3.94	5.66
KLRB1	0.01	0	0	0	0	0	0	0	0	0
COL12A1	0.02	0.25	0.38	0.15	0.17	0.12	0.17	0.29	0.16	0.16
BTN3A3	3.96	3.43	1.75	2.96	1.74	2.51	2.68	16.36	10.4	2.75
TDP2	56.08	60.11	56.62	54.86	53.58	66.19	73.75	73.56	60.53	91.64
FRK	6.7	6.38	6.38	6.68	6.09	6.13	7.86	9.05	7.68	9.08
DSE	1.65	1.33	1.75	1.78	1.2	1.65	1.7	0.95	1.1	2.14
RWDD1	2.23	4.94	4.74	2.51	3.11	4.97	3.33	6.27	3.28	5.86
RSPH4A	0.03	0	0	0	0.01	0.04	0.01	0.02	0.06	0
MAK	0.02	0	0	0.01	0	0.05	0.01	0.03	0.01	0
TMEM14C	7.21	8.53	7.8	7.1	7.32	8.76	8.81	9.97	7.72	12.09
PAK1IP1	0.19	0.49	0.28	0.39	0.26	0.4	0.43	0.32	0.75	0.47
GCNT2	0.31	0.75	0.6	0.21	0.43	0.68	0.58	0.3	0.2	0.95
SMIM8	0.1	0.19	0.12	0.11	0.27	0.25	0.28	0.31	0.29	0.3
NEDD9	34.37	30.74	33.8	33.16	33.21	29.8	41.85	29.28	21.02	45.15
CEP85L	0.01	0	0.02	0	0.03	0	0.01	0	0	0.01
ADTRP	0.21	0.39	0.2	0.46	0.43	0.18	0.25	0.26	0.22	0.32
ASF1A	0.3	0.47	0.35	0.27	0.39	0.48	0.49	0.44	0.36	0.57
MCM9	0.56	0.56	0.81	0.43	0.53	0.55	0.84	0.61	0.61	1.42
FAM184A	0	0.05	0	0	0	0	0	0	0	0
RNGTT	0.77	0.77	0.6	0.43	0.83	0.81	1.05	1.54	1.13	1
MAN1A1	0.03	0.03	0.05	0.02	0.03	0.03	0.04	0.09	0.02	0.03
GABRR2	0.01	0.01	0	0	0.04	0.02	0.04	0	0	0.04
SERINC1	22.64	20.74	20.79	20.08	19.81	19.88	25.09	33.36	28.74	34.31
HDDC2	2.37	3.62	1.83	1.59	2.56	2.19	2.62	2.03	2.6	2.34
TPD52L1	3.22	2.77	1.78	1.68	2.78	1.54	1.1	1.7	2.92	2.1
HINT3	2.83	2.89	2.52	2.87	3.2	2.59	3.37	4.73	3.78	4.15
NCOA7	5.57	4.8	4.94	5.14	5.15	5.65	7.61	8.98	9.46	6.63
RIPOR2	0.06	0.08	0.02	0	0.03	0.08	0.05	0.42	0.63	0.01
SASH1	0.68	0.62	0.55	0.53	0.61	0.73	0.64	0.72	0.92	0.74
UST	0	0	0	0	0	0	0	0	0	0
ULBP1	0	0	0	0.02	0	0	0	0	0	0
FBXO5	0.02	0.14	0	0.05	0.05	0.1	0.05	0.07	0.05	0.05
MTRF1L	1	1.3	1.11	1.23	1.21	1.08	1.49	2	0.95	1.63
PPARD	36.78	31.54	34.42	40.78	34.01	31.28	41.12	22.18	20.76	36.89
OPRM1	0	0	0	0	0	0	0	0	0	0
FANCE	0.09	0.08	0.17	0.19	0.08	0.11	0.19	0.25	0.07	0.11
TULP1	0	0	0	0	0	0	0	0	0	0
SLC26A8	0.04	0	0.03	0	0.03	0.03	0.01	0.1	0.02	0
MAPK14	7.49	6.62	6.15	6.21	5.81	6.49	8.26	10.2	7.87	10.19
RHAG	0	0	0	0	0	0	0	0	0.01	0
KCTD20	2.43	2.74	2.8	2.89	2.29	3.36	3.5	4.55	3.94	3.33
STK38	8.64	8.47	7.41	8.07	8.03	6.85	9.38	10.31	8.61	11.31
SRSF3	6.41	6.06	6.71	5.78	5.83	8.57	9.13	14.62	9.43	8.91
MRPL18	3.79	3.02	3.21	1.99	2.99	4.1	3.68	6.18	5	6.34
IL17A	0	0	0	0	0	0	0	0	0	0.01
IL17F	0	0	0	0	0	0	0	0	0	0
MCM3	0.42	0.67	0.77	0.4	0.58	1.08	0.88	0.65	0.89	0.61
RNF8	6.16	7.27	5.4	5.21	6.26	5.46	6.83	5.73	3.55	7.92
PHACTR1	0.02	0.04	0.17	0.09	0.07	0.04	0.07	0.01	0.26	0.04
MDGA1	0.18	0.57	0.37	0.34	0.13	0.44	0.58	0.88	0.6	0.48
ICK	2.18	2.31	2.15	1.97	2.31	2.32	2.66	3.41	2.57	3.39
FBXO9	2.03	2.14	2.71	2.84	2.4	2.11	2.04	2.49	2.93	3.65
CD83	0.02	0.03	0.03	0.02	0.05	0.01	0.05	0.04	0.08	0
MDN1	1.01	1.05	1	0.9	0.95	1.16	1.39	1.72	1.1	1.14
GLP1R	0	0.01	0	0	0	0	0	0.01	0	0
SAYSD1	1.42	1.34	1.26	1.18	1.23	1.36	1.26	1.97	1.27	1.5
BMP5	0	0	0	0	0	0	0	0	0	0
BACH2	0.03	0.03	0.06	0.05	0.04	0.05	0.08	0.09	0.03	0.09
RBM24	0.39	0.48	0.4	0.51	0.56	0.5	0.5	0.74	0.49	0.62
CAP2	0.23	0.28	0.21	0.2	0.34	0.49	0.31	0.69	0.69	0.62
TREML2	0	0	0	0	0.02	0.01	0.01	0	0.04	0.01
ZNF451	4.93	3.18	3.97	3.21	5.39	2.94	4.82	6.41	4.54	3.98
BAG2	0.03	0.04	0.03	0.01	0.01	0.01	0.03	0	0.03	0.06
RAB23	0.25	0.17	0.13	0.07	0.23	0.22	0.3	0.66	1.11	0.25
TSPO2	0	0	0	0	0	0	0	0	0	0
FHL5	0	0	0	0	0	0	0	0	0	0
GPR63	0	0	0	0	0	0	0	0.01	0	0
KHDRBS2	0	0	0	0	0	0	0	0	0	0
FBXL4	0.46	0.51	0.57	0.41	0.42	0.56	0.88	0.73	0.6	0.81
CCNC	10.78	10.89	10.9	9.66	10.67	12.94	12.24	15.96	9.75	14.61
PRDM13	0	0	0	0	0	0	0	0	0	0
E2F3	0.32	0.4	0.47	0.43	0.4	0.52	0.55	2.71	2.16	0.7
PTP4A1	18.68	21.06	19.14	20.34	20.61	19.08	22.38	34.56	28.52	31.73
SIM1	0	0	0	0	0	0	0	0	0	0
ASCC3	4.45	4.33	4.38	4.08	4.27	4.88	4.73	8.59	7.65	5.86
HDGFL1	0	0	0	0	0	0	0	0	0	0
BVES	0.04	0.01	0	0.01	0.01	0.01	0.03	0	0.01	0.02
COL9A1	0	0.01	0.01	0.01	0	0.02	0.02	0	0.02	0.01
MED23	1.98	2.37	2.43	2.26	1.96	2.45	3.36	3.62	3.07	3.33
WASF1	0.44	0.42	0.45	0.42	0.28	0.31	0.44	0.42	0.28	0.45
GPLD1	0.01	0.03	0	0.02	0	0.07	0.01	0.02	0	0.02
ALDH5A1	0.27	0.3	0.37	0.28	0.21	0.27	0.33	0.34	0.45	0.45
CRYBG1	6.5	7.28	6.52	5.77	6.3	8.09	8.07	18.63	13.5	9.66
VNN1	39.3	37.23	40.98	40.95	39.3	38.73	44.7	41.6	47.54	53.69
VNN2	0.83	0.92	0.69	0.32	0.57	0.84	0.89	2.73	2.19	0.82
ACOT13	7.25	8.18	6.29	6.85	7.47	8.43	9.72	12.44	10.06	10.51
SMAP1	11.89	10.49	10.14	10.41	10.79	11.73	12.37	15.16	13.52	15.37
RPS12	35.38	34.67	23.92	25.79	33.1	32.49	32.47	72.37	54.93	40
C6orf62	13.09	11.89	11.71	10.79	10.9	13.44	15.9	23.44	19.24	17.89
B3GAT2	0.04	0.01	0.01	0.03	0.02	0.03	0.06	0.09	0.03	0.02
GMNN	1.32	1.38	1.1	1.26	1.44	1.05	1.1	1.48	1.21	1.3
EYA4	0	0	0	0	0	0	0	0	0	0
SOBP	0.08	0.04	0.05	0.1	0.04	0.04	0.11	0	0	0.07
NR2E1	0	0.01	0	0	0	0	0	0	0	0
SNX3	48.83	51.32	49.61	50.58	51.8	51.9	58.68	72.79	61.38	76.41
SLC17A2	0	0	0	0	0	0	0	0	0	0
HBS1L	9.14	9.59	9.46	8.18	10.26	9.62	9.83	14.68	9.7	15.73
TRIM38	2.66	2.24	2.23	2.46	2.23	2.28	2.83	6.5	5.17	3.02
PEX7	0.47	0.54	0.4	0.42	0.64	0.78	1	0.96	0.64	0.65
ZBTB24	0.12	0.14	0.17	0.12	0.09	0.21	0.28	0.47	0.46	0.16
FIG4	1.71	1.57	1.79	1.39	1.16	2.02	2.57	3.03	1.87	3.25
PERP	38.05	39.01	38.22	36.38	36.64	38.64	48.14	57.3	48.75	55.15
ARFGEF3	0.15	0.24	0.19	0.14	0.17	0.23	0.24	0.26	0.2	0.22
SLC16A10	0	0	0	0	0	0	0	0	0	0
HECA	6.55	5.99	5.57	6.31	6	5.38	6.54	8.35	7.66	9.08
ADGRG6	17.57	17.79	17.81	16.9	15.32	17.61	18.98	32.16	24.97	25.67
PHACTR2	5.36	5.82	5.19	5.96	4.68	6.79	6.59	8.41	5.37	7.4
EPM2A	0.04	0.04	0.18	0.03	0.08	0.03	0.01	0.03	0.02	0.02
OR12D3	0	0	0	0	0	0	0	0	0	0
SLC39A7	13.59	12.17	13	12.09	12.04	13.1	15.16	13.76	11.79	15.26
CCR6	0	0	0	0	0	0	0	0	0	0
UNC93A	0.01	0.17	0.06	0.02	0	0.14	0.02	0.02	0.09	0.1
SLC22A2	0	0	0.03	0.02	0.01	0	0.01	0.01	0.18	0
PHF1	6.5	5.16	5.1	6.49	5.58	5.01	6.46	7.35	6.87	5.56
CUTA	5.83	8.42	6.93	7.85	6.75	8.69	7.73	3.61	4.49	8.55
PACRG	0.79	0.75	1.4	0.44	1.48	0.18	0.55	0.13	0.38	0.97
QKI	4.73	4.64	3	4.24	3.93	3.86	5.46	3.55	3.3	5.23
C6orf118	0	0	0	0	0	0	0	0	0	0
PDE10A	0.5	0.29	0.25	0.22	0.31	0.56	0.4	0.15	0.1	0.44
MDFI	1.24	1.78	1.23	1.25	2.05	1.08	1.22	0.69	0.33	1.14
TFEB	0.88	1.18	1.17	1.35	1.43	1.23	1.36	0.52	0.53	1.87
SMOC2	0.02	0.06	0.02	0.01	0	0.03	0.02	0.01	0.03	0.03
CCND3	3.94	3.41	3.67	3.55	3.44	4.38	4.02	2.3	2.77	4.49
BYSL	0.14	0.19	0.13	0.23	0.17	0.16	0.18	0.1	0.16	0.24
FAM120B	2.51	2.5	2.36	2.37	2.34	2.75	3.04	5.43	3.61	2.67
TBP	2.85	2.44	2.58	1.73	2.59	2.24	2.81	3.78	2.75	2.53
GUCA1B	0.04	0.09	0.03	0.08	0.12	0.1	0.13	0.14	0.11	0.15
PRPH2	0	0	0	0	0	0	0.02	0.02	0.02	0.02
BICRAL	1.06	1.05	0.9	1.08	0.93	1.11	1.14	2.25	1.29	1.39
PPP2R5D	4.44	6.01	5.26	4.44	4.48	6.42	5.9	10	6.7	5.69
MRPL2	1.02	1.88	0.85	1.03	1.32	0.78	1.2	1.1	0.66	0.94
PTK7	0.46	0.49	0.47	0.41	0.53	0.24	0.81	0.8	0.29	0.39
SRF	1.87	1.9	2.14	1.84	1.86	2.08	2.55	1.99	1.63	2.78
CUL9	2.19	1.89	1.98	2.14	1.59	1.86	2.59	1.81	2.31	2.34
DNPH1	1.34	2.11	1.48	3.04	2.63	1.68	2.03	1.52	1.09	2.71
DUSP22	2.3	2.39	2.58	1.93	1.86	1.83	2.81	3.93	1.68	2.84
EXOC2	2.04	2.41	1.96	2.01	2.1	2.31	2.72	5.59	3.37	2.92
COX7A2	43.73	46.2	46.74	44.2	51.12	49.71	60.62	66.49	56.22	57.37
TMEM30A	25.82	24.4	25.27	23.99	23.53	24.75	30.3	39.77	35.66	40.6
GMDS	24.95	25.58	30.6	28.84	33.83	35.72	31.81	21.53	23.94	24.45
SENP6	6.73	5.98	5.42	5.46	6.68	5.6	7.84	11.04	10.11	10.2
IMPG1	0.03	0.01	0.02	0	0	0.02	0.05	0.15	0	0
VEGFA	184.2	173.25	173.34	173.36	171.08	198.88	189.54	311.4	200.1	216.81
PRPF4B	2.56	2.67	2.66	2.17	2.18	3.01	3.07	5.37	3.51	3.84
TTK	0.01	0	0	0	0	0.09	0.02	0	0.02	0.01
SLC29A1	0.18	0.49	0.19	0.65	0.36	0.34	0.45	0.07	0.12	0.49
CCN6	0.18	0	0.07	0	0.01	0.02	0	0.09	0.02	0
BTN2A1	4.91	4.6	4.7	4.87	4.39	5.21	5.97	8.28	6.41	5.26
LAMA4	18.96	17.1	18.45	17.32	20.4	17.1	23.36	37.02	30.13	25.51
TENT5A	11.05	11.18	11.63	11.33	10.52	11.09	14.05	19.61	20.11	15.44
CLIC5	22.67	21.78	23.71	26.84	21.75	21.98	27.36	95.77	87.87	31.73
FBRSL1	2.15	4.38	2.32	2.37	2.12	3.02	2.54	0.65	0.95	4.14
ENPP5	0.89	0.64	0.69	0.69	0.51	0.53	0.76	1.38	1.62	1.31
LY86	0	0	0	0	0	0	0	0	0	0
PRSS16	0.9	1.58	1.41	1.11	1.16	2	1.4	2.16	0.95	1.77
MEP1A	44.84	48.73	56.78	55	49.93	56.42	61.74	56.16	49.65	64.43
TBX18	0	0	0	0	0	0	0	0	0	0
ERBIN	50.81	45.19	45.55	44.59	48.49	47.7	57.81	90.7	76.97	64.04
PCDHB2	0.04	0.05	0.04	0	0.09	0.01	0.03	0	0.02	0.03
HARS2	3.55	2.91	3.49	2.91	2.94	3.26	3.76	3.73	3.7	4.02
NUDT12	0.63	0.22	0.31	0.26	0.14	0.57	0.32	1.59	0.79	0.87
CEP72	0.35	0.36	0.41	0.29	0.28	0.33	0.51	0.17	0.25	0.31
MAN2A1	11.53	11.88	12.33	12.24	11.4	12.45	16.97	19.51	16.72	20.76
SEMA5A	2.39	2.64	2.29	2.83	2.79	2.31	3.08	1.23	1.45	3.27
C7	0.26	0.07	0.1	0.17	0.07	0.08	0.22	0.25	0.09	0.19
TENT4A	1.54	1.21	1.3	1.09	1.67	1.76	1.63	2.38	1.67	1.75
GHR	0	0	0	0	0	0	0	0	0.01	0
