GeneSymbol	D3_ISO6_LTL_1	D3_ISO6_LTL_2	D3_ISO1_LTL_1	D3_ISO1_LTL_2	D3_INT_LTL_PI_1	D3_INT_LTL_PI_2	D3_INT_LTL_LPS_1	D3_INT_LTL_LPS_2	D3_INT_LTL_5OP_1	D3_INT_LTL_5OP_2	D3_INT_LTL_C_1	D3_INT_LTL_C_2
ZMYND10	17.1	32.85	10.08	13.61	0	25.05	0	0	9.64	0	0	0
ABCB5	6.93	5.46	2.88	0	0	0	5.59	0	0.49	0	6.25	1.52
ARX	2.79	0.35	0.07	0.09	0	0	8.22	0.25	9.6	2.72	0.64	1.78
SLC25A13	39.13	20.3	11.9	2.79	0	0	0	0	0	0	0	3.15
ST7	10.06	6.92	3.15	22.23	0	0	16.61	36.08	8.02	0	11.41	14.62
CDC27	10	1.57	3.29	1.56	0	0	2.74	0	0	13.93	0	0
SLC4A1	1.15	0.51	0.91	0	0.21	0.04	3.66	0	11.63	0	3.27	6.64
CALCR	1.97	1.41	0	1.69	3.69	0	2.26	0	2.35	0.06	0	3.04
HCCS	2.78	3.33	3.86	1.1	0	0	1.47	0	0	0	0.82	5.71
DVL2	34.74	7.97	4.16	8.77	0	72.2	94.2	0	3.97	33.86	13.59	10.07
PRSS22	0	7.5	0.92	0	0	0.09	5.69	0	29.65	0	0	1.86
UPF1	9.98	28.52	11.11	3.99	0	0	15.07	2.24	24.2	34.23	1.57	0
SKAP2	7.19	7.29	15.44	1.75	2.39	0	2.25	0	1.09	26	4.46	1.78
SLC25A5	15.49	30.18	6.06	31.18	0	18.28	0	0	0	0	0	15.36
MCUB	1.24	1.87	3.52	0	0	0	1.29	28.94	3.02	0	0	0
HOXA11	4.78	0	0.93	0	5.44	0	6.6	4.59	15.74	0	2.08	0
POLR2J	57.13	24.16	131.78	132.9	0	0	0	0	0	8.86	0	46.61
DHX33	1.24	3.83	3.19	0.34	6.72	0	2.58	0	6.26	0	2.34	1.88
MEOX1	2.37	3.54	2.19	15.86	0	0.15	0	29.52	2.82	7.46	1.39	0
THSD7A	1.85	1.02	1.34	1.55	1.08	0	14.25	0.45	3.37	0	1.13	0
LIG3	27.91	13.61	5.53	12.77	6.74	20.37	12.24	16	3.65	3.29	9.67	0.24
RPAP3	2.61	3.04	4.99	6.67	0	0	0	0	3.63	0	0	0
ACSM3	19.07	21.6	6.96	1.14	0	0	43.95	8.62	36.3	1.04	5.5	19.03
REXO5	0	0.83	0	0	0	0	45.4	0	0.85	0	0	0
CIAPIN1	4.19	1.04	8.59	0	0	0	33.16	0	40.67	0	56.62	0
SPPL2B	34.71	39.52	69.96	25.1	0	0	15.84	0	12.31	0	7.58	74.65
FAM214B	17.51	9.88	5.09	0.16	0	0	5.62	0	2.47	3.64	4.47	1.65
COPZ2	3.18	2.86	0	0	0	0	1.75	0	3.87	0	0	0
PRKAR2B	11.89	6.53	0.5	5.46	0	0	6.68	0	4.09	4.27	3.19	1.62
MSL3	34	11.58	2.19	4.53	16.49	6.78	37.68	0	27.18	1.75	1.79	4.54
CREBBP	27.83	17.96	6.05	7.11	10.64	6.49	36.12	1.72	60.52	2.35	53.54	50.12
TSPOAP1	10.53	43.97	21.46	8.71	39.18	52.95	57.44	1.11	28.11	5.77	8.8	43.13
MPO	0.86	4.32	0	11.42	0	0	4.07	3.47	20.51	10.22	19.72	3.72
PON1	0.38	6.41	4.8	0	0	0	2.79	0	0	0	0	0
GCFC2	8.98	7.3	0.36	0	0	0	5.22	0	4.83	0	0	0
WDR54	9.28	11.3	1.87	15.19	0	0	48.89	0	17.88	10.21	3.49	8.18
CROT	2.22	2.82	3.71	3.2	0	0	0.72	0	0	0	0	0
ABCB4	14.01	8.58	14.58	0.39	0	0	30.37	20.09	14.47	0	0	0
KMT2E	63.22	32.91	27.39	13.87	33	45.97	90.85	103.36	22.49	12	82.95	58.78
RHBDD2	45.53	13.6	8.69	0.58	122.01	0	45.29	0	38.82	0	20.99	0
SOX8	2.75	3.14	0.97	1.04	0	0	8.32	0	1.54	0	0.4	0
IBTK	4.21	5.91	6.02	2.63	3.81	0	1.69	0	35.14	0	0	0
ZNF195	2.3	6.33	30.63	0.63	0.44	0.01	6.27	0.48	11.55	2.54	0	1.04
MYCBP2	46.38	40.23	21.44	28.56	17.4	16.74	62.69	0	56.43	19.21	44.61	18.71
FBXL3	12.6	33.53	0.85	12.72	89.72	0	0.39	0	2.69	0	0	0
ITGAL	42.73	66.33	14	35.28	9.22	100.2	26.58	4.31	29.22	4.66	44.18	34.63
PDK2	12.48	23.62	3.91	5.84	38.38	0	13.33	0	0.92	0	0	0
ITGA3	20.68	8.92	2.41	9.65	3.54	5.11	22.31	0	14.7	30.23	15.31	15.38
ZFX	4.46	16.66	7.35	5.53	0.61	0	0.16	0.82	4.02	1.34	1.11	0.7
LAMP2	8.69	15.66	1.85	2.29	5.22	2.38	14.25	2.54	12.9	1.71	12.42	2.56
ITGA2B	37.71	9.99	8.7	0	6.82	0	6.96	0	10.95	0	47.67	0
ASB4	11.17	3.98	8.93	0.89	0	2.29	5.3	10.75	1.38	0	0	0
GDE1	16.88	0.52	1.56	9.39	0	0	14.2	33.31	0.98	2.48	2.05	2.79
REX1BD	54.76	15.85	3.26	3.15	8	16.98	4.43	32.68	19.02	0	25.97	74.1
CRLF1	15.78	5.85	0.24	22.12	0	0	10.64	0	11.53	0	0	0
OSBPL7	12.12	4.83	4.48	21.07	3.81	0	11.12	0.16	2.52	0	8.04	2.16
TMEM98	14.05	6.26	3.24	0.32	0	2.66	7.51	0	14.98	0	0	1.69
YBX2	5.01	5.19	2.1	12.12	0	0	4.84	0	8.32	3.29	0	0
KRT33A	3.11	2.58	0	0	0	0	0	0	0	0	0	0
MAP3K14	7.85	1.48	1.85	8.44	2.39	0	2	0	6.27	0	6.22	2.57
ABCC8	61.85	38.09	5.69	5.97	17.8	14.7	52.99	16.35	39.55	4.94	38.63	58.6
CACNG3	8.85	9.31	0	1.51	5.56	0	10.25	2.4	12.91	0	0	0
TMEM132A	13.81	14.28	21.59	7.09	4.65	1.88	19.55	22.15	24.44	0	3.64	0
AP2B1	26.53	14.38	9.89	19.49	3.58	13.81	11.47	0	2.14	15.91	0.31	17.43
TAC1	2.26	3.65	10.54	0	0	0	0	0	0	0	0	0
ZNF263	13.59	6.04	3.88	25.37	8.92	5.94	22.31	0	12.8	2.05	6.01	27.65
CX3CL1	9.02	3.16	2.17	0	0	0.02	6.74	0	5.79	1.21	2.23	1.64
SPATA20	27.91	24.08	5.41	1.48	264.52	82.95	24.92	80.49	37.75	9.23	0	3.38
CACNA1G	0.85	0.4	0.25	0	0	0	3.13	0	4.17	0	0	0.04
TNFRSF12A	9.75	15.79	3.23	0	0	0	24.68	0	3.14	0	0	0
DLX6	7.91	14.93	5.55	0.11	9.97	4.45	5.2	0	0	0	29.75	0.82
MAP3K9	9.03	5.62	0.85	1.79	2.82	0.15	86.25	9.94	42.86	1.57	12.05	7.57
RALA	9.15	10.66	48.3	24.78	0	0	0.17	0	0	1.73	1.99	4.91
BAIAP2L1	4.19	4.82	1.75	1.52	0	0	5.26	0	34.05	0	0	3.08
KDM7A	20.92	10.71	12.47	1.01	3.31	0	8.61	4.5	6.45	24.47	4.38	0.04
ETV1	4.23	15.59	0.94	0	0	0	1.5	0	3.44	0	45.17	0.8
AGK	25	14.16	9.43	64.63	18.17	0	45.71	0	50.25	6.33	33.72	9.92
ALDH3B1	8.66	1.23	5.01	5.37	6.92	3.26	3.85	0	8.81	4.93	30.6	5.91
TTC22	11.38	11.09	1.92	8.58	0	0	22.82	0	5.27	3.14	18.72	1.71
PHTF2	8.36	5.7	6.07	3.05	4.27	6.7	8.46	0	3.97	0.88	0	4.82
CCL26	0	0	0	0	0	0	0	0	0	0	0	0
FARP2	62.55	46.48	12.82	21.42	8.52	0	4.41	58.47	40.1	3.09	13.51	13.1
USH1C	12.14	7.67	1.37	2.24	0	0	18.21	0.96	1.37	0	0	0
GGCT	6.28	0.86	13.02	13.66	0	0	6.65	0	1.69	0	43.22	7.38
DBF4	2.35	15.73	20.06	94.03	0	0	0.97	7.01	2.8	0	0	17.18
TBXA2R	1.57	6.12	13.52	0	0	4.96	1.03	0	15.64	0	4.36	0
IFRD1	12.92	13.17	3.52	2.93	11.09	7.33	99.39	0	11.82	6.02	0.88	0
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
COX10	8.17	9.71	4.46	16.56	15.19	0	31.92	2.94	57.22	3.84	5.37	0
GTF2IRD1	3.63	8.58	3.45	0.95	0	0	0.76	0	4.51	0.5	0	0
PAF1	33.78	100.49	16.19	33.11	24.82	6.39	24.09	10.93	11.69	3.71	26.53	2.24
VPS41	5.12	12.04	14.92	8.66	3.07	0	2.12	0	33.19	0	2.49	3.37
ARHGAP44	15.74	22.17	2.25	0.17	0.08	0	11.69	30.68	46.87	0	18.46	2.82
ELAC2	31.86	19.39	6.97	11.81	7.24	0	23.33	0	47.96	0.71	3.77	14.32
SCIN	18.18	12.95	10.68	6.26	73.52	0	14.69	53.68	3.98	2.82	0	3.48
ARSD	19.37	10.21	8.21	1.86	2.25	0	18.52	6.67	8.34	0	2.75	0
PNPLA4	3.65	3.15	1.02	0.39	6.59	0.23	8.32	2.31	7.61	0.69	0.35	0
MYH13	3	0.24	0.36	0	0	0	3.6	7.53	2.75	0.77	1.49	0
ADIPOR2	7.27	10.52	2.94	103	2.84	1.65	0.69	2.15	41.55	2.14	5.89	5.53
CDKL3	0	0	0	0.8	0	0.07	45.65	0	0	0	0	0
UPP2	1.05	13.61	0.08	2.63	0	0	0	7.36	7.19	0	0	5.55
PRSS21	0	0	6.96	0	0	0	9.36	0	0	0	0	0
MARK4	13.28	13.25	0.21	6.27	1.96	5.71	4.83	29.67	18.04	9.77	0	0.83
PROM1	22.4	5.03	1.89	0.1	0	0	4.86	0	28.26	0	0	4.5
CCDC124	13.32	24.16	42.89	33.88	21.35	0	0	11.07	64.06	9.76	0	18.64
CEACAM21	15.46	2.43	0	9.05	0	0	0	0	3.31	0	4.74	0
PAFAH1B1	63.45	12.06	6.69	14.28	4.98	1.31	68.23	0	16.13	6.8	38.71	1.58
NOS2	4.48	2.2	3.84	1.11	0	0	3.26	0	6.14	1.14	0	0
DNAH9	24.82	5.87	1.68	0.86	10.58	0	172.14	7.36	227.63	1.11	0.51	26.13
KIAA0100	12.02	4.84	40.89	8.2	22.35	1.68	70.04	2.04	91.83	27.41	30.28	15.81
SLC13A2	11.2	0	0.53	5.94	6.22	8.83	10.96	7.67	2.25	7.82	0	1.55
GAS7	5.6	3.45	8.74	1.12	5.11	0.18	16.06	0	5.94	1.3	5.64	4.18
TRAPPC6A	0	0	0.34	0.45	0	0	0	0	0	0	44.55	0
MATK	34.58	52.56	34.91	119.33	14.26	0	4.72	24.37	0	10.83	0	12.12
CEACAM7	3.08	19.92	27.79	0.56	0	0	0.6	0	34.28	0	30.56	0
CD79B	31.58	14.48	40.47	1.74	24.4	0	42.7	55.75	41.76	0	62.37	6.63
SCN4A	11.06	28.49	3.62	1.38	4.24	0.03	5.34	4.06	9.79	0	3.72	1.65
ST7L	6.7	14.07	3.66	1.17	0	0	0	2.02	0.42	0	20.28	4.49
TKTL1	31.47	11.23	0	1.17	0	0	23.52	0	3.41	0	0	0
PAX6	30.55	32.82	16.76	10.85	17.33	0.05	84.4	9.49	87.84	0	51.04	5.94
RPUSD1	4.13	4.32	0.26	0	0	0	12.88	0	29.64	29.38	0	0.21
RHBDF1	17.49	13.95	4.69	20.86	7.95	0	15.07	14.49	33.37	16.29	8.09	10.58
LUC7L	28.57	51.05	41.08	38.9	26.37	11.74	15.7	0	16.94	14.7	28.11	87.79
CACNA2D2	3.33	3.19	3.87	1.89	0	0	0	0	9.01	0	0	0
BAIAP3	9	1.28	0.15	9.31	0	0	8.47	0	0.41	0	4.69	0
TSR3	5.97	7.54	11.19	0.8	0	0	0	0	0	0	0	1.65
PIGQ	14.05	9.79	7.17	1.22	0	0	5.62	0	30.1	0	8.42	0
CRAMP1	13.8	31.11	2.29	1.08	0.04	0	5.9	8.44	130.28	2.68	76.86	0.82
TEAD3	2.64	1.11	0.54	0	0	0	4.47	0	0	0	0	0
SELE	19.48	3.94	1.8	0	62	0	0	0	0	1.91	0	0
DNAJC11	18.48	20.63	64.85	28.89	2.1	5.64	35.29	0	39.77	17.19	23.36	3.58
FMO3	0.45	4.38	0	0	2.93	0	15.29	0	25.68	0	0	18.17
MYLIP	8.69	2.16	0.79	0.62	0	0	1.84	0	0.77	8	0	0.26
NOX1	5.29	0	0.64	0	0	0	2.75	0	0	0	0	0
E2F2	3.98	8	3.1	3.43	0.33	0	5.33	0	10.04	0	1.82	0
PSMB1	18.86	2.96	26.23	53.51	0	0	10.63	35.29	3.09	0.63	0	0
SYN1	1.68	1.71	2.96	5.41	0	0	8.24	0.23	1	0.82	0	7.49
JARID2	36.3	6.04	3.87	2.75	4.71	0	3.77	2.08	1.18	1.99	2.44	3.79
CDKL5	5.04	5.52	0.9	0.31	0	0	6.18	18.77	8.8	4.53	3.21	5.05
CAMK1G	8.28	0.97	1.65	7.51	0	0	1.5	67.53	17.52	5.34	0	0
CDK11A	48.36	50.47	18.31	72.35	18.73	105.24	14.56	123.97	24.49	17.81	55.15	11.09
NADK	18.47	17.17	8.41	8.97	0	1.61	20.46	0	48.62	0	21.62	11.96
TFAP2B	7.01	4.45	7	0.46	1.78	2.44	2.13	2.48	6.88	0.7	4.59	0.94
TFAP2D	0	1.77	0.96	2.91	0	0	0	5.16	0	8.52	4.66	0
DLEC1	5.51	2.23	7.92	10.32	0	0	0.5	0	10.5	4.98	3.69	0
CYTH3	26.09	8.5	3.59	0.16	0	0	2.01	5.67	36.36	0	16.94	2.07
ADAM22	20.03	8.36	4.12	0.4	1.89	0	8.33	0	4.05	2.2	3.9	1.17
SYPL1	12.78	0	4.34	0.55	0	0	13.49	0	0	16.8	0	0
CYB561	5.23	2.74	17.26	4.74	11.87	0.05	12.12	8.21	4.37	2.38	29.63	0
SPAG9	26.97	11.92	13.7	34.75	26.1	110.46	8.78	0.64	18.93	0	40.63	4.13
CELSR3	7.51	15.46	1.99	1.92	9.61	6.56	18.31	26.47	15.23	3.91	7.9	0
AASS	15.24	4.65	8.48	2.05	9.5	0	6.78	5.03	4.27	3.34	1.23	0
PLEKHG6	0.57	0	5	0.48	0	0	139.13	0	1.67	0	0	0
SS18L2	7.05	22.6	0.23	9.71	3.79	0	25.77	0	5.98	0	6.43	5.92
MPND	2.67	11.78	47.97	1.8	0	4.2	6.81	12.54	0.82	3.36	0	54.03
MGST1	33.14	10.3	43.9	2.91	29.64	1.52	29.4	14.01	11.31	3.58	37.5	47.63
CRY1	19.29	4.51	1.88	0.99	0	0	2.17	0	3.42	0	1.45	0.49
PGLYRP1	0	2.89	1.26	0	0	0	0	0	0	0	0	0
NFIX	6.36	10.51	2.63	1.16	3.54	0	0.33	19.47	1.35	0.11	0	0.12
ST3GAL1	21.47	42.64	4.57	9.56	22.5	0	9.31	3.71	11.44	0.55	12.94	49
MMP25	5.61	6.56	12.37	0.79	52.85	0	8.36	0	5.98	0	2.95	0
IL32	166.21	125.06	129.02	120.07	0	0	37.63	32.45	30.32	0	59.13	22.4
PKD1	21.36	8.66	1.89	5.17	0.12	0.02	52.53	2.92	8.63	6.9	30.71	15.93
MAPK8IP2	12.27	6.11	1.91	0.96	1.24	2.53	10.34	2.74	4.74	0	3.57	2.97
MED24	31.51	36.12	6.18	24.5	115.61	0	4.32	0	54.94	9.54	108.85	6.87
RHOBTB2	23.21	13.67	0.76	6.08	4.69	0	18.24	0	22.68	0	17.16	7
HEATR5B	11.98	22.51	0.69	5.02	0	0	0	0	12.27	0	0	0.35
SEC62	130.68	114.65	139.13	46	0	6.96	9.88	41.76	12.9	2.22	6.71	22.48
RPS20	142.92	122.39	233.01	269.17	81.81	109.08	103.15	2.47	0.25	41.07	121.43	109.04
CSDE1	35.69	51.22	89.73	77.49	8	0.05	35.91	2.83	12.3	0	13.18	18.19
UBE3C	1.16	27.59	3.3	7.69	2.86	0	2.72	0	6.3	0	2.38	1.36
REV3L	7.7	3.4	1.91	0.82	0.03	0.01	2.49	0.29	30.89	3.88	8.22	1.23
TENM1	12.08	36.78	1.55	8.27	3.09	0.97	4.77	129.38	2.93	0	1.33	0.62
PAX7	9.21	7.4	2.82	3.52	2.99	2.73	29.68	8.94	20.44	6.14	8.33	2.24
MASP2	9.83	40.8	1.28	0	2.22	0	5.72	0.34	1.71	0	0	2.95
IYD	6.17	6.3	10.48	4.16	0	0.18	7.14	6.96	11.19	1.97	26.64	10.44
FAM76A	1.21	0.14	4.21	0	0	0	0	0	0.59	0	0	0
TRAF3IP3	58.46	66.96	78.03	83.92	13.6	0.07	130.96	4.98	20.84	10.1	0	35.44
POMT2	69.06	10.4	18.13	49.03	4.81	0	30.35	0	3572.43	0	11.37	0
VTA1	7.16	7.24	9.7	3.17	12.32	0.04	2.21	0	5.05	1.59	0.17	2.44
MLXIPL	5.29	15.92	1.28	0	0	0	1.67	13.55	18.07	3.88	19.47	0
