GeneSymbol	D3_ISO6_LTL_1	D3_ISO6_LTL_2	D3_ISO1_LTL_1	D3_ISO1_LTL_2	D3_INT_LTL_PI_1	D3_INT_LTL_PI_2	D3_INT_LTL_LPS_1	D3_INT_LTL_LPS_2	D3_INT_LTL_5OP_1	D3_INT_LTL_5OP_2	D3_INT_LTL_C_1	D3_INT_LTL_C_2
UBE2Q2	0	5.45	4.09	0	0	0	10.14	0	0	0	25.89	0
PSTPIP1	19.54	28.56	28.56	8.2	33.51	20.25	12.27	0	2.29	10.5	6.23	20.18
ETFA	41.26	19.84	41.52	24.94	17.1	0	37.64	0	6.95	3.89	3.06	1.69
BCL2A1	2.01	12.97	18.19	16.86	68.99	0	0	0	3.75	0	0	51.24
HMG20A	15.36	22.53	0.93	0	0	1.54	11.37	0	14.46	0	5.75	0
SCAPER	23.32	33.11	7.85	17.52	2.23	9.28	17.31	4.88	13.42	2.58	56.94	0
TSPAN3	16.27	7.55	9.57	3.83	6.99	0	37.72	15.85	85.85	11.94	2.67	1.94
WDR61	16.99	9.46	3.38	0	0.68	0	6.95	0	30.55	24.69	26.63	0
NCOA2	7.07	46.15	28.35	3.59	79.01	7.63	8.34	5.14	24.19	0.32	38.91	4.68
NEIL1	5.57	24.55	34.87	27.64	0.99	4.28	5	0	8.88	13.49	19.99	0
MAN2C1	31.4	47.55	48.12	141.44	0	13.13	18.15	0	42.56	3.66	2.21	14.16
DNAJA4	24.22	23.54	22.15	1.28	0.54	7.54	30.45	31.1	26.63	9.5	3.73	4.33
TLNRD1	1.78	1.89	1.85	0.48	0	0	3.96	2.74	0	2.93	2.68	0.58
TPM1	27.98	41.64	9.27	11.65	0	0.65	43.71	11.6	20.78	0	7.99	14.18
IGF1R	13.53	6.21	30.86	0.63	1.65	0	4.75	0	97.78	0.61	4.69	7.11
ARRDC4	1.72	0.24	1.03	0.47	0	0	0	1.92	3.83	0	4.12	0
PIF1	44.43	0.99	0	15.33	10.72	7.95	355.16	0	2.53	0.89	0	0.83
USP3	29.41	6.99	19.67	70.87	0	0	7.49	10.11	7.61	0.98	25.53	0.65
CYP11A1	10.79	4.45	0	0	60.83	0	6.47	0	0	0	30.65	0
BBS4	19.52	18.54	1.18	2.07	0	0	1.42	44.52	14.96	0	0	0
PML	11.56	9.57	10.8	8.95	21.95	0.96	3.53	0.28	24.07	3.83	15.75	1.62
CYP1A1	9.49	3.69	0	0.85	0	0	12.48	0.29	5.16	0	0	0
ADAMTS17	12.54	16.48	0.73	17.55	20.35	0	16.22	0	9.06	22.77	14.01	4.21
LINS1	28.03	25.04	9.33	6.75	4.92	0	55.45	11.67	13.26	2.21	7.85	6.28
ULK3	4.57	0.35	2.35	2.24	12.98	0	1.1	0	7.87	3.44	0	0
GOLGA6D	5.14	0	0	0	0.24	0	0	0.32	1.13	0	0.27	0.05
PCSK6	41.28	17.29	33.18	64.08	23	0	70.99	31.81	73.48	13.82	6.22	18.21
CCDC33	0.68	12.42	0	0	0	0	30.1	0	1.92	3.93	2.9	0
CELF6	1.04	1.02	0	0.65	0	0	0	1.87	1.74	0	1.44	5.39
SCAMP2	20.58	13.51	19.19	79.88	0	4.45	23.68	12.13	32.33	0	24.2	3.02
CYP1A2	2.84	0.16	0	0	0	0	0.59	9.94	2.03	0	7.21	0
LMAN1L	3.64	27.23	0	0	0	0	1.2	0	0.38	16.02	0	7.14
HAPLN3	12.15	9.44	0.46	0.24	4.69	0	15.1	0	5.32	0	0	1.23
RHCG	2.88	0.4	0.65	0	0	0	1.88	0	0	0	2.47	26.64
POLG	26.69	19.15	41.16	17.31	0.74	14.82	51.89	0.17	9.6	2.06	23.17	115.11
RLBP1	0	0	3.82	0	0	0	7.32	0	15.79	3.47	0	0
FANCI	15.3	19.25	10.6	14.76	38.13	3.09	12.21	1.17	30.52	3.25	23.51	21.73
ABHD2	11.15	27.53	40.96	20.54	1.29	0.89	4.68	0	105.01	0.34	3.09	9.11
WDR93	3	3.91	3.63	0	8.3	0	35.61	0	10.76	0	0	3.29
TICRR	5.64	3.74	5.49	8.55	5.83	0	7.36	12.9	9.22	6.89	0.61	1.21
NTRK3	14.01	11.51	3.91	4.27	5.46	11.17	27.79	3.65	13.87	5.05	19.92	36.08
DET1	14.77	3.09	2.76	0.82	9.75	0.62	11.15	0	11.12	0	4.43	3.61
MFGE8	86.49	26.26	7.68	51.03	0	1.9	15.76	110.7	56.34	1.06	36.29	5.19
ZNF710	8.43	4.06	42.43	0.91	0	0.03	4.76	1.81	10.06	0.73	0	2.06
UNC45A	48.65	47.14	22.05	19	0	0	34.04	6.75	2.04	1.68	24.86	7.94
ST8SIA2	6.37	5.54	1.32	0	0.49	5.97	9.83	1.48	14.23	4.27	6.96	2
MCTP2	11.03	11.71	13.22	24.14	1.68	3.29	44.1	0	5.58	32.58	41.26	16.56
FURIN	7.63	2.48	43.13	2.59	1.68	0	12.55	0	19.39	2.85	0	1.59
IQGAP1	106.06	34.83	58.1	130.24	0	57.03	7.5	0	12.69	48.32	77.09	27.89
CRTC3	35.1	11.2	10.76	14.01	12.06	0.77	56.73	5.93	26.81	12.53	51.65	26.81
EFL1	22.43	3.4	6.64	13.22	0	0	13.92	8.59	11.36	4.69	4.86	14.5
SH3GL3	0	1.3	0	0	0	0	0	0	0	0	0	0
SEC11A	33.53	10.94	26.57	29.59	1.96	0	18.84	8.49	10.87	4.25	10.81	3.19
SEPTIN12	0	9.87	0	6.53	0	0	0	0	0	0	0	2.5
GLYR1	37.32	9.21	15.49	64.83	0	8.71	9.98	0	23.59	4.89	3.05	18.76
PMM2	24.89	63.83	17.05	21.09	29.89	41.92	68.49	2.85	52.43	6.91	18.13	17.36
SLC5A2	10.76	3.02	5.3	12.17	0	0	13.32	0	19.71	12.78	0	0
ITGAX	23.84	25.55	25.73	59.28	1.12	3.43	8.58	0	16.72	0	27.05	19.56
TGFB1I1	17.52	23.59	32.36	0	0.07	0	21.88	17.8	131.65	1.54	81.42	4.07
C16orf58	33.89	21.56	12.73	25.59	0.3	0	5.3	65.58	79.21	19	38.58	6.51
ARMC5	15.57	15.72	3.77	1.25	0.5	2.02	9.29	0	0	0.61	25.23	0
PARN	11.41	22.08	14.62	28.15	25.56	0	34.34	8.58	20.36	11.86	11.1	20.86
FTO	37.37	21.25	11.57	11.81	28.39	0	54.25	27.73	30.63	5.91	36.45	3.66
UQCRC2	69.41	34.37	30.47	31.87	49.53	0	35.46	13.82	20.84	0	3.04	21.61
CDR2	6.01	8.89	1.9	5.72	40.33	17.53	10.42	0	15.91	13.64	0	24.15
IGSF6	2.32	0	11.17	4.95	0	0	2.07	0	2.9	0	0	0.14
ARHGAP17	42.11	15.92	17.74	10.57	48.37	5.64	10.22	9.86	20.67	3.46	4.29	1.97
MYLK3	18.57	8.34	5.22	39.22	10.95	0	25.52	1.54	9.07	2.18	5.1	11.56
ABCC12	24.81	1.89	4.99	4.35	6.32	1.89	16.11	0	20.86	2.47	3.45	0
NKD1	7.18	7.12	2.05	2.66	1.89	0.01	8.01	4.13	13.78	2.31	5.78	3.86
DHX38	64.54	26.8	82.04	50.27	36.98	7.43	25.09	0	38.61	42.05	41.35	16.41
TXNL4B	26.17	6.86	4.18	33.12	0	0.98	8.92	42.24	15.05	0	6.52	0
MARVELD3	12.87	2.41	3.8	0.36	0	0	14.16	19.33	39.82	1.55	12.27	12.21
CHST4	7.97	13.42	1.15	0.84	0	0	3.8	0	11.26	0	2.94	0
ZFHX3	28.79	8.13	3.98	25.88	15.76	9.29	18.48	8.49	20.11	7.73	3.79	0.62
CLEC18B	2.94	0	11.35	0	4.25	0	0	0	0	0	0	0
CPNE2	18.83	9.18	9.64	24.49	0	8.57	25.63	0	62.79	1.53	12.74	24.34
NLRC5	58.5	76.32	43.48	17.17	8.03	46.5	60.71	0	122.38	19.76	90.2	29.6
KATNB1	6.92	13.98	9.48	13.14	5.03	0.04	7.12	0	4.06	0	0.47	4.12
KIFC3	49.62	6.42	40.8	4.68	74.53	0	40.81	0	143.55	4.78	24.44	8.95
ADAMTS18	9.15	5.61	11.86	8.02	0	0	0	0	61.25	0	0	1.27
NUDT7	0	0	0	0	0	0.28	0	0	0	0	0	0
GCSH	14.3	10.72	3.7	3.19	0	0	11.01	0	3.74	4.29	56.66	0
CMTM3	11.28	6.18	2.26	3.91	0.38	9.01	5.89	0	4.79	0	0	28.23
CMTM2	0	0	0	0	0	0	0	0	0	0	0	0
CDH11	41.17	13.61	4.89	1.54	5.36	0	39.67	71.04	79.44	0	54.66	1.69
NOL3	40.58	22.74	0.56	1.65	48.56	0.12	20.77	56.15	33.46	0	30.41	0
MAP1LC3B	31.6	9.27	6.29	9.61	0	7.37	0	0	6.82	0	10.03	23.72
MBTPS1	33.15	12.32	9.19	2.11	6.07	0	55.48	0	20.22	16.13	9.1	2.5
CDH13	20.36	15.86	1.58	0.47	0	0	11.05	2.8	4.72	0	5.28	16.4
ZCCHC14	6.08	2.99	0.77	3.59	4.9	0	40.91	8.51	14.83	1.06	87.13	4.15
MEAK7	24.53	8.1	1.46	2.81	2.78	5.88	31.55	0	36.57	3.11	68.29	34.71
ADAD2	6.6	0.24	2.02	0	0	0	0	0	8.45	0	31.59	8.04
OSGIN1	5.59	14.2	6.52	0	0	1.85	38.38	0	33.6	26.7	3.02	0.57
IRF8	28.58	30.35	45.68	33.5	57.99	1.72	84.46	4.45	34.14	56.05	57.95	27.38
RHOT2	24.06	78.8	23.08	25.94	0	10.68	9.2	0	11.59	11.38	14.96	3.13
RPL3L	7.35	7.48	4.12	0	120.17	0	19.82	0	8.25	0	2.96	3.37
ZSCAN32	6.53	8.85	14.7	14.44	34.93	0	50.35	0	2.62	1.66	40.06	38.17
RPS2	56.12	87.58	64.43	41.36	50.08	46.83	12.68	14.88	28.56	26.71	12.26	47.81
NDUFB10	42.95	27.44	124.27	136.56	0	0	8.95	0	0	0.7	0	0
PDPK1	49.52	20.03	52.41	26.45	42.21	7.77	34.7	0	31.82	0	11.79	13.45
TIGD7	15.2	13.98	1.31	0.89	7.09	0	8.32	0	33.1	1.13	0	0
DEF8	43.76	86.58	93.51	67.27	32.59	0	3.81	3.48	14.03	0	0	0
TCF25	40.44	77.28	32.83	25.25	91.9	94.8	179.02	145.42	111.24	112.73	25.9	58.56
GALNS	9.78	23.59	6.57	0.78	0	0	23.53	5.28	64.79	1.54	51.9	3.17
GAS8	7.77	2.52	8.85	28.92	0	0	135.7	17.57	24.15	23.57	115.38	19.2
MED9	29.2	12.35	13.44	3.3	2.77	3.1	20.19	10.74	75.45	6.69	28.5	0
NCOR1	37.32	62.53	21.16	42.15	18.64	0	45.98	12.61	9.92	1.64	31.66	3.25
CDRT15P1_ENSG00000141028	0	5.48	0	0	0	0	0	0	0	0	0	0
COPS3	9.05	30.34	8.99	28.21	0	0	24.31	34.34	12.84	0	31.99	0
GID4	3.6	22.36	3.18	2.54	5.89	0.03	65.56	0	11.96	0	23	1.12
ZNF287	5.35	3.15	32.2	0.72	0	0	5.46	0	3.56	1.25	2.96	2.24
MYOCD	5.13	5.04	3.21	1.12	2.46	0	6.46	3.04	10.96	0.96	1.33	0.57
KSR1	67.93	32.1	8.4	11.77	69.65	135.27	25.15	0	86.11	3.09	3.15	15.42
UTP4	10.25	1.75	5.44	3.68	0	0	11.95	0	8.92	0	0	0
RANBP10	7.63	16.13	6.3	8.91	0	0.86	10.6	0	6.09	0	0	3.04
CTRL	6.19	0.88	1.39	0	0	0	1.14	0	0.03	0	0	0
DPEP3	0	0	0	0	0	0	0	0	0	0	0	0
GFOD2	13.53	25.46	18.96	7.17	1.51	0	12.86	30.41	28.17	0	12.2	19.3
NOB1	18.71	6.82	25.32	1.57	0	9.48	54.42	16.81	0	0	6.9	37.38
PRPSAP2	29.59	13.93	12.07	0.3	0	0	9.01	11.81	37.71	0	23.09	15.57
UNC45B	5.9	2.21	0.38	1.23	0	0	4.55	0	4.85	0	1.24	3.11
PCTP	11.76	3.84	4.63	0.97	8.26	1.8	8.72	13.09	7.98	11.85	0	2.56
OR4D1	2.84	3.44	0.73	1.24	2.97	3.93	8.19	3.42	4.79	0.21	3.24	3.46
TOM1L1	32.22	28.89	5.54	1.13	53.7	0	6.18	1.57	84.79	0.67	3.5	0
KIF2B	23.56	7.94	0.86	3.27	0	0	13.54	6.28	4.36	3.47	0	4
C17orf80	21.45	10.76	9.73	13.47	16.78	2.59	39.96	19.79	1.22	70.78	5.97	0
TOB1	10.77	6.9	0.87	1.35	4.9	0	1.76	0	13.27	5.63	0	0
VPS53	111.98	50.33	36.93	37.24	61.2	0.04	113.93	110.87	116.38	11.26	135.76	34.26
SPATA22	0	5.45	5.74	17.21	0	0	1.53	45.55	3.49	0	17.53	0
SGSM2	37.73	21.28	28.17	3.7	17.14	0.37	86.64	14.56	91.44	2.81	45.87	105.18
NPEPPS	40.18	41.37	11.51	47.08	33.61	6.29	37.63	5.6	80.05	10.59	7.71	2.94
SKAP1	5.01	19.7	18.02	20.56	0	34.51	47.64	0	8.73	4.09	0	10.6
LRRC46	10.52	24.93	2.59	0	9.72	0	9.67	41.51	23.94	0	3.09	0
SCRN2	34.64	32	24.63	48.64	32.13	0	16.02	32.23	18.92	5.51	5.6	6.11
SSH2	11.82	15.02	5.23	11.45	8.99	0	32.46	3.38	15.61	6.01	28.03	17.03
RHBDL3	12.18	3.81	10.22	0.11	11.59	0	15.74	0	3.95	0.19	34.38	1.68
SPACA3	0	0	81.33	0	0	0	0	0	0	0	0	0
ARSG	5.11	9.24	0.25	60.8	0	0.06	14.41	0	8.65	0.77	0	3.99
ABCA8	15.07	7.34	2.56	0	0	13.66	21.6	0	24.26	1.41	18.55	12.12
G6PC3	12.3	30.32	1.31	6.87	11.91	0.24	54.87	8.16	23.48	6.02	0.81	1.33
CLTC	21.49	7.42	13.33	18.34	0	5.87	15.97	0.25	8.18	8.9	0	1.87
C17orf64	0	0	0	0	0	0	0	0	0	0	0	0
BCAS3	25.45	36	17.77	0.83	1.19	10.73	42.21	0	19.37	3.33	26.87	12.14
PTRH2	26.59	6.25	6.57	4.79	12.77	0	4.95	0	15.01	0	9.88	0
SS18	11.9	33.43	21.26	9.56	0	0	5.96	34.07	19.33	67.1	1.96	2.46
TAF4B	8.04	1.65	10.29	0.96	3.16	3.9	9.46	5.1	10.95	0.67	4.03	0.97
AFG3L2	9.46	14.81	10.32	7.37	0	16.37	9.13	0	18.77	1.94	0	0.54
PRELID3A	0.57	0.95	0	0	0	0	1.22	0	0	0	0	0
IMPA2	3.8	11.2	11.34	7.34	17.4	0	0.97	9.95	9.62	0	0	0
GNAL	24.67	4.69	0.76	0	0	0	5.94	0.46	1.67	4.09	5.33	0
SLC39A6	2.97	4.83	0.54	0.41	0	0	16.4	4.6	5.67	0	0.2	0
RPRD1A	30.19	16.58	26.58	32.84	0	0	14.03	0	3.12	10.41	7.96	20.15
C18orf21	4.82	11.9	6.65	14.24	0	0	13.85	0	0	0	0	0
GALNT1	8.71	7.63	8.37	2.73	0	0	11.11	0	0	0	0	0.63
ASXL3	9.46	0.74	0.58	34.22	0.14	0	39.97	0.76	12.92	3.5	3.99	1.75
ADCYAP1	8.94	2.59	0.94	0	8.57	0.08	9.6	0.22	9.03	0.07	0	0
MEP1B	0	0	0	0	0	0	1.67	0	0	4.2	0	0
SLC25A52	0	1.45	1.15	0	0	0	0	24.21	6.31	6.47	0	0
GAREM1	5.56	2.7	1.61	0.03	4.6	1.42	5.64	0	4.73	0	16.15	5.44
ESCO1	2.32	2.71	2.38	0.47	0	0	124.06	0	12.25	0.61	1.73	11.09
OSBPL1A	9.45	18.11	13.35	3.82	0	0	16.71	0	2.62	4.59	0	0
GATA6	4.62	0.27	0.71	0.2	0	0	0.76	0	0.35	0	0	0
GREB1L	20.28	0.77	1.15	0.09	0	0.36	14.92	0.44	2.31	1.9	14.1	1.47
RMC1	52.62	12.25	7.32	12.67	0	0	132.17	0	0	0	0	0
PELP1	63.47	16.75	12.89	17.22	5.55	3.04	41.38	10.3	13.9	2.98	99	0
NPC1	99.5	26.81	6.24	20.31	53.79	0	51.74	69.87	111.47	21.17	40.31	21.72
SLC14A1	8.98	1.72	2.06	4.91	0	0	7.03	0	44.5	0	2.49	14.54
ARRB2	7.84	24.95	42.32	16.73	11.92	0	5.26	24.11	0	0	0	5.8
SLC13A5	14.14	10.03	1.66	0	11.07	2.35	13.38	0.3	13.84	109.28	12.75	10.29
ZMYND15	5.8	9.19	5.55	0	5.38	0	9.18	0	14.48	5.14	32.73	0
WRAP53	20.55	9.66	12.45	19.3	0.4	3.6	21.94	12.19	10.09	0	19.02	9.5
MINK1	17.95	5.8	8.9	5.48	3.21	0	58.35	0	63.31	2.58	1.3	8.26
SAT2	30.43	13.15	16.99	15.31	11.61	0	40.33	0	16.42	3.11	38.4	0
ASGR1	12.11	12.5	2.84	0	6.04	0	29.55	0	22.11	0	6.74	17.01
PIK3R5	33.59	20.78	16.28	15.37	6.4	0	88.49	53.64	23.83	2.22	0	80.62
TP53	20.12	12.7	1.28	1.7	1.39	0	17.78	0	0.31	0.06	0	3.34
CCDC40	33.85	8.12	1.94	0	9.08	0.04	3.44	0	69.52	0.75	1.66	4
ARHGDIA	77.49	94.06	88.4	38.37	14.53	57.58	29.17	46.93	34.56	31.36	174.45	430.75
TMC6	32.17	14.42	51.26	7.34	114.67	0	29.65	22.45	18.19	10.13	21.52	62.82
SLC16A3	16.58	6.67	14.02	3.15	3.25	8.69	25.94	33.59	34.79	1.67	4.05	5.5
CARD14	14.17	7.93	0.88	3.22	47.5	0	11.1	7.61	37.52	11.26	51.75	2.35
TTYH2	10.92	2.42	0.65	4.8	0.35	8.57	30.46	0	5.75	6.28	0	0
RAB40B	38.56	21.11	1.98	0.13	5.32	0	22.94	16.33	105.33	11.36	6.53	38.46
EIF4A3	14.25	42.38	20.02	3.32	46.98	14.89	61.68	36.73	48.36	8.7	36.18	32.34
CSNK1D	32.03	34.88	14.39	30.59	2.99	0	36.73	13.71	17.97	0.03	12.37	1.54
ANAPC11	5.12	14.14	12.22	2.54	0	0	30.94	4.24	23.68	0	5.35	8.38
TBCD	28.64	27.48	11.08	14.14	41.21	2.89	56.73	0.11	60.9	1.7	9.45	18.21
FN3KRP	25.65	14.52	16.22	23.36	0	14.88	1.9	0	12.45	0	0	33.21
NARF	19.96	27.49	20.73	6.12	0	0	3.84	22.64	16.66	63.74	13.05	20.03
RPTOR	17.49	5.8	11.91	22.11	0.63	48.93	14.4	21.26	19.09	0.38	4.76	12.77
FOXK2	38.64	22.08	7.14	36.48	52.03	0	28.01	0	105.22	3.64	42.33	2.57
TRIM65	6.95	5.57	0.19	0.51	0	0.67	2.37	0	0	0	0	0
CBX8	14.59	2.89	2.25	35.93	0	4.73	10.57	0	8.91	0.85	11.23	4.33
SECTM1	1.4	4.69	8.64	31.51	38.47	0	1.95	0	0	2.4	1.05	0
RNF157	24.41	11.82	14.6	13.6	7.22	0	5.04	11.79	10.2	2.09	24.55	0
CEP131	6.64	5.59	3.04	0.15	0	0	4.79	0	19.46	0	0	5.32
ZNF750	5.64	3	0	0	11.49	0	5.76	0	4.36	5.49	3.28	0
WDR45B	3.95	9.98	10.93	10.52	3.78	0	0	117.5	1.41	4.54	0	9.09
CBX4	15.98	25.46	9.03	0.93	9.14	2.53	78.34	71.88	14.49	6.59	8.34	7.5
RNF165	18.87	7.63	4.88	4.8	2.41	20.84	11.48	0	8.52	0	71.7	30.99
DYM	13.5	5.76	17.19	6.37	1.1	0.01	17.96	5.03	7.77	1.35	3.63	2.46
MAPK4	8.73	2.64	2.85	2.19	0.41	1.44	38.3	13.72	19.46	0.49	3.58	0
ELAC1	15.69	10.55	7.56	0	29.35	0	10.58	0	16.59	0	13.88	1.89
MBD1	30.04	22.53	13.59	41.08	0	8.56	10.4	18.92	22.17	1.94	18.97	3.75
SMAD4	17.76	23.42	4.27	2.91	6.59	15.19	15.25	32.24	19.42	5.29	9.46	17.03
TNFRSF11A	4.88	1.81	1.52	1.26	5.73	0	11.99	0	8.5	1.56	4.79	0.68
ZCCHC2	22.89	12.45	16.43	3.95	11.6	0	23.71	0	32.53	6	3.8	0.62
FBXO15	18.22	7.04	0.61	0	12.47	0	30.51	6.12	9.09	1.02	12.15	7.69
CBLN2	0.53	2.12	0	0.21	3.32	0	4.62	0	7.9	0	10.66	0
PMAIP1	8.61	10.52	0.53	8.9	0	1.22	23.97	0	29.45	0	15.24	19.53
P3H4	8.38	4.43	0	0	0	0	0	9.89	0	0	4.87	0
NT5C3B	13.04	7.55	0.71	26.01	0	0	8.5	0	13.22	0	0	0
RETREG3	4.22	5.87	5.38	37.35	7.82	1.16	21.82	0	28.48	6.75	14.64	1.16
ERBB2	13.38	8.98	11.97	2.54	4.66	0	13.04	0	49.94	27.09	2.64	6.85
GRB7	10.84	6.4	9.56	7.41	0	0	51.17	6.16	45.82	0.22	27.95	0
MIEN1	9.56	5.86	0.15	11.75	0	0	16.45	0	13.05	2.28	7.71	0
PNMT	1.91	2.06	0	0	0	0	9.76	0	0	0	0	0
ARL5C	9.24	3.18	2.77	0.74	13.62	6.24	2.56	0	11.25	0	4.16	2.8
STAC2	8.82	0.23	0	1.7	0	0	17.7	5.03	1.46	0	1.06	0
IGFBP4	2.1	6.78	0.09	0.35	0	0	3.49	15.67	0	6.24	0	0
FKBP10	29.58	17.45	0.82	0	0	0	16.21	0	16.91	0	0	2.22
TXNL4A	10.95	2.57	11.8	1.67	0	0	11.36	0	3.33	1.11	1.57	0
CACNA1A	98.71	107.77	23.51	31.43	94.93	1.52	216.59	68.38	104.86	49.55	88.47	73.64
MISP3	8.04	7.94	0	0	0	0	0.44	0	1.01	0	5.74	0
SAMD1	10.85	5.64	4.01	0.59	0	0	0	13.01	2.01	2.26	0	0
BRD4	28.68	12.08	65.68	13.62	66.65	55.4	82.44	96.2	65.47	80.56	50.82	75.89
SLC39A3	15.68	5.98	1.41	3.52	0	0	19.26	80.73	22.07	1.86	2.71	0
NFIC	11.39	13.38	1.85	12.35	7.32	0	4.59	0	55.05	3.18	2.02	7.15
TPGS1	11.27	12.76	1.25	2.33	25.47	0	19.17	1.78	21.21	5.86	10.49	2.05
PLPP2	7.89	4.68	9.37	0	0	4.53	51.31	0	134.56	0	25.22	4.62
ZIM3	1.38	4.43	1.6	0	1.67	0	10.94	0	2.87	2.18	0	1.98
PRDM15	6.92	6.16	3.91	6.11	0	0	21.22	0	10.02	35.06	2.22	0
PFKL	7.73	7.38	18.95	19.59	7.02	0	11.69	0	16.83	29.73	10.31	35.85
FEM1A	7.77	6.25	3.5	0	10.74	0.53	8.57	3.59	10.58	0	6.06	0.35
VAV1	29.25	11.26	20.15	16.63	136.99	9.12	14.97	0	28.36	7.75	0	4.67
MVB12A	39.01	16.99	1.68	2.18	0	0	22.55	69.33	37.44	0	6.02	26.46
CIB3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141979	0	0	0	2.54	0	0	0	0	0	0	0	0
SH3GL1	42.43	20.92	8.37	21.83	20.94	1.7	12.03	2.31	123.35	37.73	0	0
DUS3L	32.22	46.94	18.61	139.27	0	94.31	25.93	0	67.84	0	10.81	18.27
DPP9	36.53	54.75	12.31	21.59	0	23.16	5.74	29.97	7.91	47.54	7.41	34.53
DMRTC2	3.77	1.62	2.92	0.64	17.44	0	7.86	0	37.08	3.87	0	6.48
CCDC97	12.24	15.36	8.52	5.99	9.67	6.02	23.79	2.81	11.72	0	0	0.11
TMEM91	3.01	3.23	1.87	0	0	0	0	20.08	0	0	0	0
ZFP14	4.08	0.25	0.96	1.23	1.32	0	1.17	0	3.63	0.05	1.09	0
SIRT3	73.91	66.92	31.6	10.44	0	0	28.37	29.87	7.32	1.52	1.28	4.41
IFITM3	99.79	290.76	31.29	55.15	0	0	0	0.84	6.21	634.97	35.1	763.47
PGGHG	12.5	8.33	9.85	10.5	9.06	8.49	1.22	0.25	0.74	1.9	21.54	5.04
HUNK	50.84	12.09	17	0.48	74.72	0	10.88	0	46.68	11.4	17.7	2.82
COL6A1	0.41	36.56	2.78	0.06	0	0	13.56	0	17.76	0	0	6.18
OR1E3_ENSG00000142163	2.34	5.14	7.35	0	0	0	5.57	0	16.98	0	4.03	0
IFNAR1	22.35	16.09	12.9	4.25	3.44	6.17	29.48	6.31	42	4.68	21.16	2.93
SOD1	24.61	38.25	19.18	5.63	0	0	0.7	0	0	0.33	0	21.19
COL6A2	3.77	1.91	3.08	4.29	2.28	2.45	2.2	0	26.97	1	0	0.21
SIK1	0	0	0	1.03	0.37	1.51	0.66	0	2.38	0	1.12	0.64
DNMT3L	2.81	0	0	2.7	0	0	0	0	0	0	0	0
TRPM2	0.82	0.46	3.21	4.39	0	0.78	4.53	0	1.76	0	28.17	11.32
SCYL1	24.47	28.81	6.91	20.8	0	0	0	0	39.64	47.36	31.57	0
TMEM50B	9.84	8.5	5.84	0.98	0	0	28.73	0	9.37	0	0.27	0.89
APP	21.52	6.55	13.59	8.82	12.84	57.78	17.96	31.88	1.24	0	0	6.74
DOP1B	6.04	15.11	1.15	1.67	3.91	0.14	7.1	0	7.23	0	4.73	0.54
URB1	16.32	2.03	0.86	0.06	0.44	0	3.66	6.29	2.12	0.53	1.7	22.77
AKT1	35.17	29.42	34.41	29.07	53.38	1.96	5.89	176.09	26.56	13.35	8.78	13.3
IL19	9.89	8.49	9.33	0	1	0	13.73	19.03	0	2.68	1.88	5.63
EMP3	12.79	28.28	24.62	3.48	0	48.23	8.5	0	7.78	0	0	29.46
SAE1	23.39	22.58	10.6	18.12	6.7	106.36	2.22	0	14.86	0	0	0
NTN5	4.62	2	0	0	0	1.62	0.39	0	8.98	0	0.7	0
LMTK3	2.19	2.11	2.66	1.62	0	7.3	9.58	2.37	1.74	0	3.09	0.85
GEMIN7	2.18	0.32	0.61	0	0	0	36.89	0	0	0	0	0
CBLC	0	0	0	6.83	2.51	0	0	0	0	0	0	0
WTIP	7.4	3.02	0.93	1.38	5.44	0	6.23	4.86	5.92	0.94	1.77	1.98
ADAMTS10	13.82	0.75	10.92	14.74	22.59	0	25.36	1.51	11.84	24.67	22.83	21.57
SLC6A3	18.79	0.33	0.08	0	4.96	0	21.17	46.2	9.74	0	14.64	0
RNPEPL1	7.86	4.39	6.59	7.04	3.5	0	13.01	0	9.8	3.97	62.36	3.55
CAPN10	4.27	9.47	2.21	0	1.09	0	55.04	4.49	20.13	0	1.62	0.08
MYO1F	75.69	25.01	85.8	18.21	401.05	32.69	82.24	54.93	213.37	69.88	60.34	51.24
ERVK3-1	16.06	20.38	9.79	20.44	0	36.75	42.95	8.72	4.3	0	19.96	8.99
NLRP12	9.74	4.6	0.29	0.69	0	0	7.07	13.53	5.59	1.01	11.02	1.48
CACNG8	8.39	8.15	1.69	0.72	0.5	2.4	13.24	9.53	15.38	2.34	8.03	4.91
ZNF787	5.24	2.7	20.06	0	0	0	8.71	256.07	6.14	0	0	4.3
TIMM29	1.66	2.12	0.49	0.64	0	0	3.55	0	0	0	0	26.9
FBN3	0.73	2.33	0.21	0.08	0	0	17.21	0	22.64	0	0.32	0
CARM1	2.05	6.06	8.28	1.51	0	0	4.85	0	26.33	0	4.32	0
EVI5L	14.14	1.09	7.28	0.06	0	0	16.02	3.51	25.26	0	4.3	1.73
TM4SF5	12.31	0	0	0	0	0	0	0	0	0	2.47	0
SLC47A1	7.89	2.32	0.17	0	0.17	0	9.08	16.2	12.38	0	0	5.79
PSMB6	88.62	48.3	74.21	148.23	214.84	0.33	55.62	0	66.02	0	20.28	0.58
GPR32	32.13	0.89	4.2	0	0	0	8.01	0	21.21	0	0	17.09
SIGLEC10	24.69	26.3	0	38.87	3.92	0	0.19	0.3	147.23	0	5.38	0.16
