GeneSymbol	D4_ISO2_HEP_1	D4_ISO1_HEP_L_1	D4_ISO1_HEP_L_2	D4_ISO2_HEP_2	D4_INT_HEP_PI_1	D4_INT_HEP_PI_2	D4_INT_HEP_LPS_1	D4_INT_HEP_LPS_2	D4_INT_HEP_5OP_1	D4_INT_HEP_5OP_2	D4_INT_HEP_C_1	D4_INT_HEP_C_2	D4_INT_HEP_GL_C
TSPAN6	3.48	5.61	4.65	5.59	6.86	14.73	6.82	5.88	7.18	10.95	10	3.8	2.21
TNMD	0	0	0.52	1.3	0	0	0	0.45	0	0	0	0.16	0
DPM1	13.35	16.81	22.85	17.59	18.29	38.68	32.32	15.79	40.53	48.07	39.9	11.31	60.82
SCYL3	1.92	3.03	3.17	2.11	3.25	0.16	1.6	2.14	0.98	1.85	1.46	3.35	0
C1orf112	1.27	2.67	2.93	2.35	4.82	0.18	0.25	1.15	0.67	3.51	0	1.85	0
FGR	5.44	4.17	13.6	8.8	1.55	0	1.24	3.23	1.18	0.85	10.37	5.48	0
CFH	37.67	88.92	64.66	34.71	80.98	81.74	55.53	41.06	79.87	90.52	66.13	43.98	12.48
FUCA2	9.62	11.19	15.42	7.96	6.76	7.07	12.52	11.34	10.75	11.16	12.92	16	18.5
GCLC	16.68	30.42	17.97	19.59	25.33	9.16	8.22	33.31	6.08	10.86	10.14	43.02	0
NFYA	5.76	6.67	10.6	5.55	3.73	2.03	2.43	6.39	2.43	5.78	4.6	6.39	2.42
STPG1	28.81	8.2	34.27	26.46	0.54	2.83	3.48	26.21	0.91	5.13	1.12	10.9	0
NIPAL3	8.76	5.49	18.23	17.29	1.65	0.91	0.86	12.69	2.33	0.35	2.17	7.69	0
LAS1L	8.36	7.21	9.96	9.94	25.92	13.11	20.43	12.67	25.06	14.96	19.17	10.45	13.88
ENPP4	0.82	2.8	2.1	1.48	0.69	0.17	0.39	2.13	0.25	2.05	1.17	0.63	0
SEMA3F	0.7	0.76	1.4	2.19	0	0	0.29	0.54	0.04	0.19	0	2.52	0
CFTR	18.53	5.66	34.69	18.87	0	3.52	1.16	12.86	0.21	0.3	1.26	10.16	0
ANKIB1	7.62	8.94	8.49	10.15	6.31	1.52	8.26	9.72	2.78	4.49	8.04	7.96	5.75
CYP51A1	20.13	43.11	29.33	35.82	58.22	62.59	46.78	44.96	55.55	60.53	59.25	52.74	45.76
KRIT1	11.92	7.14	20.56	11.44	4.56	6.53	5.32	15.62	5.85	5.72	7.28	10.11	0
RAD52	4.71	2.72	15.68	10.59	0	0	0.24	3.05	0	0	0.02	6.39	0
MYH16_ENSG00000002079	0.2	0.13	0.29	0.3	0.23	0	0.08	0.11	0.31	0	0.43	0.18	0
BAD	4.01	6.89	11.92	4.39	8.21	6.19	4.85	4.23	3.71	17.37	5.82	8.7	0
LAP3	20.71	176.18	121.14	18.63	84.74	41.55	57.79	23.58	64.43	80.63	67.96	53.37	42.55
CD99	18.65	26.1	22.66	22.41	19.79	25.3	22.6	26.11	13.8	39.25	37.89	43.32	7.07
HS3ST1	4.39	2.54	7.58	4	0	0.06	0.11	4.07	0.17	0	0.1	3.38	0
AOC1	1.84	0.64	1.33	1.2	0	0	0.05	2.53	0	0	0.22	1.1	2.35
WNT16	2.03	0.74	3.7	2.68	0.45	0	0	0.92	0.12	0	0.06	1.74	0
HECW1	12.74	4.66	11.49	14.53	0.07	0.33	0.42	6.45	0.03	0.63	0.5	7.69	0
MAD1L1	12.03	12.72	19.76	22.59	32.41	13.65	6.5	17.27	0.92	3.76	9.09	32.52	0
LASP1	31.77	18.95	46.28	36.09	32.35	20.81	31.83	63.65	16.21	12.62	33.19	105.02	48.04
SNX11	5.74	2.96	6.77	3.62	2.29	6.47	1.23	5.09	3.83	1.42	0	6.5	24.86
TMEM176A	23.01	23.6	19.5	26.91	38.26	5.99	12.81	19.46	11.68	15.5	16.51	23.94	27.91
M6PR	15.63	43.54	34.51	36.1	50.01	61.91	26.77	32.55	24.66	39.6	53.14	63.08	130.35
KLHL13	1.25	1.1	2.84	2.12	0	1.02	0.54	1.87	0	0.32	0.77	1.04	0
CYP26B1	2.12	1.96	2.89	3.38	0	0.2	0.16	3.67	0	0	0.04	1.26	0
ICA1	5.01	14.28	35.79	9.04	0.58	0.34	1.34	9.87	1.27	0.16	2.63	21.7	0
DBNDD1	2.22	2.3	3.86	2.57	4.85	1.43	0.53	3.77	0.05	0.01	1.27	3.55	0
ALS2	19.34	11.33	27.48	19.35	7.93	18.04	5.9	16.4	14.23	9.18	10	21.63	1.12
CASP10	11.36	12.65	22.12	19.14	0.87	2.55	2.99	10.42	0.83	0.68	2.98	8.28	0
CFLAR	27.24	38.4	39.84	29.59	16.99	25.22	8.6	25.65	14.8	22.31	20.96	24.07	3.39
TFPI	85.57	222.41	114.02	101.24	406.25	345.45	307.84	129.56	366.85	381.91	403.84	164.79	152.59
NDUFAF7	4.72	2.52	7.43	7.44	9.53	5.1	9.99	6.74	8.49	7.94	2.71	6.68	0
RBM5	21.62	18.36	20.74	33	131.46	80.62	69.21	34.29	60.74	57.49	57.36	95.1	30.19
MTMR7	4.58	2.11	3.27	4.13	0.44	0.13	0.5	3.09	0.11	0	1.41	2.48	0
SLC7A2	4.69	10.92	7.88	6.62	3.44	4.31	2.57	5.5	5.26	2.52	4.62	5.94	0.87
ARF5	6.65	6.92	10.32	11.13	3.97	6.16	6.49	17.8	2.71	6.53	10.58	9.31	23.1
SARM1	3.17	3.45	7.87	4.02	0.3	0	0.55	3.14	0.12	0.1	0.17	3.63	0
POLDIP2	6.43	6.08	11.91	7.07	3.7	5.24	3.43	7.46	3.19	5.06	5.25	9.35	14.66
PLXND1	11.18	6.24	18.8	12.11	25.07	3.59	3.46	9.33	8.26	2.16	0.22	13.11	0
AK2	38.04	39.05	54.59	34.93	20.39	38.52	27.05	30.16	33.81	32.31	26.07	38.21	28.21
CD38	12.15	20.64	17.52	9.02	0.03	11.7	0.12	9.03	0.79	0.01	0.31	6.5	0.65
FKBP4	27.52	30.11	24.94	24.6	43.97	29.98	37.6	46.66	24.93	37.28	48.72	60.3	44.82
KDM1A	15.12	9.31	21.96	15.86	7.01	6.2	6.63	13.84	4.78	4.95	6.97	13.57	14.08
RBM6	35.2	22.18	41.14	21.76	15.08	16.76	12.55	48.83	9.52	12.05	20.33	27.37	0
CAMKK1	3.53	2.92	4.68	6.01	0.07	0.66	0.33	5.2	0.17	0	0.52	4.52	5.78
RECQL	6.5	19.72	7.72	8.72	40.17	11.25	17.26	10.6	21.42	18.49	19.01	7.4	23.67
VPS50	15.84	5.8	8.02	5.55	11.89	11.85	7.35	11.7	19.97	12.62	2.01	14.7	0
HSPB6	1.86	0.37	2.49	2.32	0	0	0.48	1.71	0	0	0.85	0.34	0
ARHGAP33	0.97	0.58	0.57	1.06	0	0	0	1.19	0	0.59	0.1	1.75	0
NDUFAB1	23.15	37.37	28.89	29.7	150.37	79.58	135.47	44.17	120.53	155.1	102.92	37.61	127.31
PDK4	12.25	8.29	27.7	9.77	5.68	10.69	7.11	15.86	4.7	7.4	6.14	11.6	4.6
SLC22A16	8.36	5.35	14.27	14.5	0	0	0.19	5.02	0	0	0	5.34	0
ZMYND10	3.49	2.57	4.87	5.08	0	0	0	3.42	0.31	0	0	4.08	0
ABCB5	4.15	2.73	6.52	4.76	0	0	0.24	4.1	0.18	0	0	1.08	0
ARX	1.73	0.43	1.74	2.3	0	0	0.13	2.35	0	0.04	0	0.98	0
SLC25A13	10.33	7.75	6.58	7.55	10.69	24.43	18.05	7.38	16.45	13.75	11.41	6.46	0
ST7	11.32	6.28	13.22	12.31	12.38	4.16	5.54	10.37	5.26	4.22	5.41	12.55	4.1
CDC27	3.52	19.44	13.01	17.08	23.87	29.95	13.03	11.8	9.93	19.71	15.42	16	38.58
SLC4A1	2.06	1.83	6.1	1.39	0	0	0.12	4.51	0	0.24	0	3.27	0
CALCR	2.56	0.96	4.23	3.1	0	0.13	0.25	1.2	0.39	0	0	0.85	0
HCCS	2.91	7.56	6.8	9.06	4.48	3.74	8.79	7.33	11.51	17.78	16.09	9.79	0.1
DVL2	9.54	6.91	10.74	13.26	12.54	3.44	2.34	15.14	0.21	0.07	5.93	12.94	0
PRSS22	0.98	1.34	4.25	2.99	0	0.32	0.89	2.23	0	0	0	2.28	0
UPF1	3.67	8.17	7.7	4.41	2.67	2.21	1.21	5.76	0.84	0.88	1.49	6.3	2.96
SKAP2	3.84	5.23	5.46	5.25	2.77	22.3	2.68	4.35	2.09	1.47	1.27	11.35	0
SLC25A5	12.11	42.08	24.18	22.24	59.83	57.08	43.99	42.3	34.53	61.65	42.69	38.97	42.74
MCUB	2.07	6.29	9.19	2.71	0.22	0.37	2.59	3.76	0.95	1.54	3.13	1	15.64
HOXA11	1.72	2.25	2.9	2.84	0	0	0.53	2.01	0	0	0	1.83	0
POLR2J	10.93	21.83	7.54	11.77	108.51	76.55	76.97	21.29	58.98	112.7	60.15	26.04	40.1
DHX33	1.84	1.51	1.55	2.29	3.3	1.28	1.94	2.45	0.6	0.45	3.18	2.94	0
MEOX1	2.8	2.81	5.46	3.07	0	0	0	1.83	0	0	0.84	1.7	0
THSD7A	5.44	1.07	4.19	2.19	0	0.38	1.34	4.61	0.07	0.04	0.12	0.45	0
LIG3	13.15	14	16.22	11.95	7.89	1.87	3.87	15.96	4.02	12.14	3.88	14.18	42.24
RPAP3	1.66	9.42	4.11	5.63	10.55	8.68	9.37	4.39	8.79	7.91	13.38	12.47	0
ACSM3	17.37	10.49	15.2	19.38	8.8	3.88	7.94	18.4	9.69	4.24	10.84	13.48	0
REXO5	3.9	6.89	4.92	10.74	0.72	0	1.52	4.76	0.25	4.01	0	7.94	0
CIAPIN1	7.65	12.14	14.81	19.06	15.71	14.93	4.03	9.02	3.88	7.21	1.8	10.02	0
SPPL2B	13.72	3.7	14.45	8.37	0.04	0	0.75	9.68	0.64	1.01	0.21	9.47	0
FAM214B	6.36	5.18	9.16	4.53	1.07	0.8	0.4	3.58	0.13	0.86	1.58	3.61	0
COPZ2	3.01	2.45	0.98	3.41	0.14	8.45	3.36	5.65	11.85	1.44	0	1.92	0
PRKAR2B	5.45	3.86	7.66	5.79	0	0.31	0.48	6.34	0.71	0.57	0.09	2.7	0
MSL3	6.42	12.82	12.74	15.65	9.01	7.16	3.18	6.47	5	7.91	20.36	17.43	58.16
CREBBP	12.33	6.05	24.09	19.85	7.51	10.21	4.52	21.47	5.05	2.71	12.09	16.49	0
TSPOAP1	1.92	10.39	5.37	3.02	0	0.09	0.31	10.46	0.01	0.12	0.28	11.22	0
MPO	6.38	3.46	9.12	3.69	0	0	0	1.96	0.02	0.08	0	5.84	0
PON1	4.9	2.03	15.73	9.54	3.07	3.61	1.79	4.13	1.92	1.88	2.94	5.98	0
GCFC2	2.35	3.05	5.51	2.99	8.52	9.95	6.35	7.71	3.14	8.44	5.65	5.37	1.21
WDR54	3.82	3.7	3.21	2.57	3.7	10.44	2.75	4.76	0.54	0.71	2.35	6.68	0
CROT	7.41	1.82	7.4	5.08	3.37	2.67	1.95	2.15	1.8	3.15	1.44	2.59	0
ABCB4	15.06	4.76	17.34	8.06	2.13	8.3	1.26	11.18	7.37	4.72	0.49	8.24	0
KMT2E	12.15	12.03	39.17	17.51	3.35	9.52	2.72	17.29	3.31	5.86	10.24	11.64	3.35
RHBDD2	9.98	4.36	8.43	8.21	9.6	4.24	2.03	8.04	1.5	0.32	2.1	13.23	0
SOX8	0.97	2.39	2.68	1.39	0	0.16	0.14	1.92	0	0	0.15	1.26	0
IBTK	11.05	14.93	15.18	10.27	20.49	11.43	10.9	16.12	14.08	18.93	18.01	16.7	8.4
ZNF195	4.51	7.4	7.84	4.61	2	1.75	0.53	8.07	7.38	4.39	1.51	7.5	0
MYCBP2	27.6	16.8	31.6	34.99	7.77	4.69	8.77	27.91	7.61	4.43	24.88	22.79	9.49
FBXL3	5	3.42	6.57	4.12	4.6	5.24	3.2	3.14	3.67	4.89	5.17	3.85	1.88
ITGAL	11.3	7.63	20.13	10.38	0.03	1.21	4.74	10.31	0.6	0.02	2.72	11.36	0
PDK2	8.38	3.91	15.39	5.45	6.18	0.55	2.09	11.26	0.91	0.87	11.77	14.15	0
ITGA3	15.09	12.02	40.07	17.75	31.49	19.16	22.01	38.86	22.79	3.76	25.37	55.85	6.67
ZFX	3.54	5.55	6.82	1.64	2.8	5.03	2.08	6.78	0.69	1.98	1.76	1.62	0
LAMP2	8.6	8.88	10.69	7.91	22.93	18.2	15.19	9.77	10.94	12.71	9.62	10.63	11.45
ITGA2B	5.12	4.53	3.98	3.9	0	0	0.08	7	1.83	0.04	0	4.01	4.71
ASB4	4.09	2.95	11.32	5.12	0	0	0.06	3.45	0.1	0	1.71	7.09	0
GDE1	13.29	6.42	28.4	12.56	6.57	4.02	6.08	7.02	7.14	10.37	8.55	8.5	0
REX1BD	10.95	6	7.35	5.78	0.48	0	1.52	2.7	0.24	0	4.35	10.9	0
CRLF1	5.55	10.24	12.19	13.56	0	0.13	1.19	7.61	0.16	0	0.71	5.08	14.82
OSBPL7	1.26	1.94	4.99	3.61	0.05	0.01	0.12	3.22	0	0.04	0.15	3.92	0
TMEM98	6.29	4.41	5.31	8.37	0.29	0.09	0.91	5.61	3.96	0.78	3.13	8.48	2.52
YBX2	1.6	2.04	3.03	1.79	0	0	0	1.29	0.37	0	1.77	2.83	1.61
KRT33A	0.91	0.21	0.95	0.76	0	0	0	1.24	0	0	0	1.56	0
MAP3K14	2.39	1.67	4.25	2.2	1.32	0	1.97	3.42	0.3	0.83	2.14	4.38	3.68
ABCC8	22.11	26.58	36.75	38.8	0	2.07	0.51	23.37	0	0.06	0.22	31.82	7.65
CACNG3	4.47	4.07	8.51	5.8	0.4	0	0.22	4.22	0	0	0	2.64	0
TMEM132A	13.84	16.5	19.97	9.92	2.19	0.06	2.04	12	1.13	0.05	0.23	10.19	0
AP2B1	10.58	20.2	17.84	14.6	13.03	5.27	11.43	21.01	9.68	8.1	19.41	40.06	7.82
TAC1	0	0.79	1.7	0	0	0	0	1.46	0	0	0	11.99	0
ZNF263	5.67	4.73	8.23	6.09	1.16	2.06	0.95	6.4	1.2	0.14	0.18	5.96	5.68
CX3CL1	3.75	6.45	15.22	3.94	0.16	0.08	0.3	3.3	0.07	0.03	1.01	4.09	0
SPATA20	8.35	3.23	17.8	9.54	4.47	0.59	1	8.32	0.04	0.03	0.38	10.17	0
CACNA1G	2.34	1.44	5.32	2.64	0	0	0.03	2.03	0.05	0	0	1.66	0
TNFRSF12A	5.43	6.37	4.08	5.99	152.37	77.9	97.34	12.38	50.73	64.72	78.83	12.79	23.36
DLX6	5.2	3.97	9.07	8.83	0	0	1.69	4.67	0.55	0.05	0.21	2.36	0
MAP3K9	11	6.75	27.04	17.98	1.13	0.75	0.86	12.82	0.4	8.26	1.52	11.19	0
RALA	15.95	39.55	29.7	13.3	66.25	80.08	75.19	17.92	73.38	72.95	64.24	65.57	44.82
BAIAP2L1	8.25	17.77	16.15	14.79	10.02	6	6.91	14.15	4.98	5.66	5.22	29.59	14.62
KDM7A	7.34	4.24	6.9	14.39	1.61	9.31	0.91	6.54	3.29	1.5	1.38	4.67	0.59
ETV1	7.1	5.66	16.25	5.65	0.03	0.9	0.64	5.82	0.25	0.46	0	5.43	0
AGK	23.08	15.88	31.65	19.75	6.45	26.56	3.82	18.35	3.69	15.63	5.7	8.05	119.34
ALDH3B1	2.31	2.55	4.73	5.24	0.35	0	0.87	6.31	1.75	0.16	0.08	7.46	0
TTC22	6.71	3.52	8.09	6.29	0.29	0.01	1.24	3.65	1.02	0.03	2.08	3.08	0
PHTF2	5.38	2.86	4.82	5.66	3.16	1.11	1.68	2.34	2.45	3.38	5.42	4.47	0
CCL26	2.52	0	2.01	0	1.57	0.15	1.47	0	0.8	2.11	0	0.31	0
FARP2	17.04	15.61	16.4	12.98	0.82	1.05	2.39	17.11	7.35	2.27	1.33	23.86	0
USH1C	2.81	3	4.47	5.01	0	0	0.4	5.75	0	2.82	1.19	7.57	0
GGCT	8.44	6.71	3.3	10.18	10.24	13.17	9.79	8.92	13.99	14.69	11.59	7.65	0.05
DBF4	2.38	4.16	2.81	1.92	2.1	2.66	8.81	6.08	3.78	10.19	2.02	8.58	4.06
TBXA2R	1.86	0.43	2.26	2.06	0	0.15	0	1.4	0	0	0	3.58	0
IFRD1	12.7	7.54	12.06	7.58	9.29	3.22	2.83	12.2	4.27	7.47	6.5	13.78	6.23
LGALS14	1.29	0	0.93	0	0	0	0	3.52	0	2.64	0	1.19	0
COX10	14.57	9.61	23.49	10.72	2.59	8.94	6.95	6.44	4.86	7.51	16.48	6.58	0.94
GTF2IRD1	1.11	0.97	1.66	4.36	1.87	0.08	1.19	3.51	0.28	0.24	0.39	4.48	0
PAF1	29.84	12.54	13.77	22.2	15.55	14.53	13.34	10.78	15.25	25.49	21.98	29.51	0
VPS41	11.04	7.12	12.22	7.32	25.61	27.87	6.79	18.46	6.81	10.09	11.97	14.35	6.54
ARHGAP44	8.24	6.53	11.57	8.08	0.01	0.31	0.38	6.34	0.08	0.02	1.57	7.67	16.22
ELAC2	10.44	8.69	17.52	21.06	10.09	13.05	6.13	20.01	4.42	7.07	11.86	21.8	0
SCIN	12.17	6.6	28.26	14.21	0.01	0.16	0.54	11.88	1.79	0.38	0	6.2	0
ARSD	10.05	2.39	3.93	4.29	0.75	3.8	0.85	11.5	0.68	0.86	4.84	7.89	0
PNPLA4	1.69	1.72	2.83	1.59	0.4	0.93	2.56	1.44	0.15	5.33	0.73	2.03	0
MYH13	0.72	0.68	1.09	0.57	0	0	0.11	0.47	0	0	0.01	1.23	5.23
ADIPOR2	26.56	10.74	11.15	34.67	3.23	3.69	3.82	35.1	5.61	2.62	5.05	11.7	66.9
CDKL3	6	0.17	0	2.28	0.08	0.73	0.08	3.63	1.11	0.02	0	0	0
UPP2	5.92	4.93	22.6	1.29	0	0	0.9	2.32	6.1	0.2	0	3.92	0
PRSS21	2.2	0.73	10.42	4.21	0	0	0	9.81	0	0	0	4.35	0
MARK4	6.94	4.27	5.04	5.24	6.8	1.69	3.25	13.18	1.3	0.04	6.95	5.11	0
PROM1	4.94	2.82	2.76	7.37	0.02	1.16	0	8.31	0.08	0	1.64	2.46	0
CCDC124	8.28	7.22	10.55	7.24	10.78	9.12	23.97	14.09	7.01	4.3	16.45	25.35	18.68
CEACAM21	2.76	5.5	5.79	3.04	0	0	0	3.03	0	0	0	2.28	0
PAFAH1B1	19.48	16.88	20.65	18.56	13.75	25.91	18.51	19.32	22.31	17.43	19.24	23.05	2.17
NOS2	2.23	3.69	3.58	1.93	0	0	0.04	1.65	0.71	0	0	0.77	0
DNAH9	31.51	28.03	39.11	33.14	0.12	0	0.56	29.46	0	0	0.43	35.05	10.73
KIAA0100	30.34	35.34	33.58	33.3	11.45	11.01	12.34	31.88	6.99	4.99	14.01	37.97	14.5
SLC13A2	2.63	1.54	3.72	4.78	0.11	0	0.49	2.65	0.06	0.06	1.47	2.7	0
GAS7	5.99	4.61	11.58	5.17	0.13	0.23	0.22	6.04	0.28	2.39	0.04	5.93	0
TRAPPC6A	0	0	5.88	1.96	0	0	1.06	0	4.75	0	0	1.59	0
MATK	3.44	2.2	4.4	4.13	0	0	0.3	6.64	0.35	0	0	2.16	8.97
CEACAM7	3.28	1.6	4.46	2.59	0	0	0.6	1.04	0.29	0	0	2.88	0
CD79B	12.12	4.12	15.25	1.31	0	0	1.36	7.09	0	0	0.29	4.83	0
SCN4A	1.57	3.69	9.82	3.1	0.15	0	0.12	4.35	0.09	0	0.51	4.24	0
ST7L	6.25	6.54	8.83	7.6	9.03	2.8	3.47	11.2	5.09	5.19	6.77	5.15	0
TKTL1	3.24	2.15	2.83	4.5	0	0	0	0	0	0	0.43	0.86	0
PAX6	20.02	19.43	21.7	30.4	0.43	2.64	0.33	11.58	1.65	0	1.31	14.42	6.17
RPUSD1	2.87	1.5	4.15	1.27	0.41	0.02	0.14	4.26	0	2.39	2.86	4.31	0
RHBDF1	7.54	5.58	9.82	11.65	5.5	0	0.95	10.22	0.14	6.48	4.95	9.09	0
LUC7L	12	12.25	15.67	9.03	2.3	6.35	9.74	10.35	12.55	9.52	21.75	11.85	19.96
CACNA2D2	1.29	1.77	4.54	1.83	0	0	0.1	2.33	0.03	0	0.04	2.33	1.75
BAIAP3	1.05	0.77	1.21	1.58	0	0	0.3	1.71	0	0	0.05	0.96	0
TSR3	4.65	3.5	7.16	5.4	13.04	5.72	14.08	12.18	4.2	8.15	31.44	15.62	0
PIGQ	5.24	2.65	9.1	3.63	0.24	0	0.76	5.85	0.5	1.15	0.06	8.5	0
CRAMP1	2.53	6.74	17.5	5.42	16.19	0.03	0.68	7.27	0.11	0.14	5.22	5.99	0
TEAD3	0.79	0.92	3.29	1.85	1.73	0.78	1.27	2.82	0.37	0.01	0.24	1.9	0
SELE	5.74	4.04	10.73	4.15	0	0.24	0.53	6.58	0.05	0.76	0	2.52	0
DNAJC11	19.94	17.17	21.84	21.57	22.21	23.26	22.14	15.37	22.59	17.26	23.34	40.07	20.13
FMO3	11.22	9.87	18.52	8.19	9.64	6.38	7.1	9.68	7.58	9.7	10.34	7.97	0
MYLIP	2.05	0.89	1.2	1.59	0	0	0	1.39	0.09	0.01	0	0.36	0
NOX1	0	0	0.23	0.19	0	0	0	0.2	0	0	0	0.1	0
E2F2	1.6	2.24	5.6	5.47	0	0	0.08	1.17	0	0.05	0	4.27	0
PSMB1	19.98	54.69	29.26	23.28	75.98	80.74	70.59	30.91	81.65	88.78	84.89	48.04	45.23
SYN1	0.69	2.32	4.18	1.67	0	0	0	3.52	0	0	0	4.05	0
JARID2	3.15	1.47	3.03	2.26	2.11	0.84	0.42	2.33	0.53	0.32	0.75	4.03	0
CDKL5	1.26	1.52	3.14	4.08	1.35	1.13	0.12	1.94	0.18	0	0.03	1.74	0
CAMK1G	2.23	1.52	3.33	2.57	0	0.27	0	1.56	0	0	0	0.92	9.64
CDK11A	8.26	8.88	13.58	11.87	12.91	5.91	8.92	13.88	7.45	6.67	16.44	14.4	7.18
NADK	12.1	11.65	15.19	12.93	6.61	16.2	7.12	21.72	2.78	3.03	8.38	19.74	0
TFAP2B	2.87	1.86	2	2.49	0.4	0.2	0.09	2.57	0.16	0.07	0.52	1.51	0
TFAP2D	1.26	1.38	3.65	2.23	0	0.07	0	1.95	0	0	1.05	1.76	0
DLEC1	1.16	1.69	2.32	4.13	0	0	0.19	2.9	0.11	0	0.01	1.92	0
CYTH3	2.02	2.42	9.2	6.43	1.37	0.83	1.85	6	3.42	0.36	0.9	4.2	0
ADAM22	9.93	5.16	16.85	7.29	0	0.01	0.02	8	0.15	0.01	0.33	6.7	0
SYPL1	3.33	6.65	4.21	6.01	9.43	6.26	8.05	4.51	5.16	4.45	14.03	3.91	0
CYB561	7.38	6.18	11.41	9.73	8.18	14.27	1.82	10.04	1.49	1.09	0.51	5.53	10.39
SPAG9	42.3	27.02	27.16	30.35	65.82	58.2	37.76	47.07	34.84	37.14	69.86	70.78	5.63
CELSR3	1.72	2.07	5.5	3.54	0	0.06	0.24	2.71	0.01	0.02	0.25	3.65	0.48
AASS	5.63	1.73	8.73	3.95	0.48	1.59	0.7	4.71	1.33	0.36	1.11	1.86	0
PLEKHG6	4.58	0.67	3.11	2.25	0.02	0	0	3.63	0.03	0	0.03	6.31	0
SS18L2	2.53	3.01	10.23	5.75	9.66	5.99	8.09	3.62	7.68	11.43	2.59	2.78	0.75
MPND	4.35	0.19	2.88	0.34	0.85	12.32	0.6	4.78	0.69	0.44	0	3.44	0
MGST1	230.99	379.64	225.49	262.8	611.35	634.09	414.21	436.18	556.94	589.08	454.51	429.64	659.36
CRY1	3.27	1.74	3.81	4.47	3.21	1.29	1.48	4.44	2.15	3.82	3.75	4.01	0
PGLYRP1	1.34	0.48	0	0	0	0	0	0	0	0	0	2.48	0
NFIX	5.6	1.2	2.76	2.33	0.31	0.28	0.49	6.65	0.37	1.16	0.54	7.18	124.86
ST3GAL1	12.92	12.9	16.94	22.59	5.09	17.76	8.5	13.01	7.44	3.94	18.3	15.76	3.84
MMP25	1.15	1.23	0.6	0.71	0.22	0	0	1.3	0.06	0	0.23	1.38	0
IL32	143.72	914.27	736.77	165.42	420.61	309.92	364.13	339.41	230.38	351.64	370.45	544.6	59.58
PKD1	9.42	5.54	15.1	10.78	1.01	0	0.23	11.33	1.38	0.02	3.11	16.14	5.08
MAPK8IP2	1.79	1.66	2.29	2.13	0.39	0.04	0.25	1.92	0.06	0.02	0.13	3.09	2.17
MED24	19.98	17.32	28.35	19.28	7.49	5.24	7.63	16.32	7.22	5.21	10.22	30.65	27.82
RHOBTB2	4.49	2.65	4.94	2.61	1.65	1.19	1.15	3.79	0.84	0.21	0.17	8.79	2.32
HEATR5B	20.13	1.36	22.22	9.7	1.64	4.76	1.57	3.84	1.51	0.82	1.73	4.66	0
SEC62	35.64	51.55	49.51	39.54	188.94	204.49	127.84	89.19	177.77	210.65	157.28	174.65	108.96
RPS20	144.19	416.59	252.14	250.71	607.35	654.32	549.75	235.38	455.1	543.21	446.76	303.04	132.24
CSDE1	38.81	72.87	54.08	49.09	117.81	123.72	92.56	62.98	120.28	155.7	110.55	125.47	25.12
UBE3C	13.66	12.14	13.43	16.9	16.58	17.12	10.66	10.77	18.47	5.1	4.89	23.33	4.61
REV3L	10.55	2.92	23.22	3.71	0.87	1.49	1.95	11.96	2.96	1.76	0.75	4.72	0
TENM1	2.91	1.02	7.58	1.06	0	0.1	0.07	2.25	0.04	0	0.05	1.11	0
PAX7	5.29	3.9	7.27	5.88	0	0.01	0.04	6.11	0.13	0	0.87	9.87	0
MASP2	10.25	6.48	12.06	13.54	1.89	2.28	0.54	12.1	1.29	1.24	0.67	6.5	0
IYD	6.48	3.45	6.58	9.48	8.51	1.65	0.68	5.59	0.39	3.19	13.52	6.5	0
FAM76A	2.32	2.07	1.45	0.83	1.36	2.35	1.82	1.2	1.48	1.88	0.8	2.48	0
TRAF3IP3	13.25	6.88	17	10.52	0.1	0.21	0.07	7.51	0.63	1.25	0.62	5.13	0
POMT2	23.94	19.74	22.63	16.95	1.28	0.5	0.31	19.48	0.16	0.68	37.02	19.26	0
VTA1	3.94	13.38	8.78	7.85	27.3	11.7	9.53	5.12	12.04	22.31	8.27	6.93	1.32
MLXIPL	5.11	2.22	3.97	2.24	0.96	1.14	1.22	3.75	0.94	0.17	1.92	8.46	0
BAZ1B	7.53	10.11	8.85	10.31	10.72	7.05	7.25	10.75	6.96	8.28	11.96	15.51	1.36
RANBP9	1.04	1.16	3.78	2.2	4.31	1.76	4.05	3.12	1.57	2.95	2.96	3.08	2.52
ETV7	0.48	7.88	7.85	0.68	3.09	0.33	1.3	2.89	0.19	0.83	0	2.23	0
SPRTN	6.18	10.61	11.62	5.35	4.21	4.31	5.45	4.01	3.69	2.02	5.11	6.25	0
EEF1AKNMT	12.18	4.87	8.14	8.17	4.13	2.26	3.03	6.57	3.6	3.5	4.48	7.12	74.98
DYRK4	19.76	18.73	22.63	20.19	11.92	12.27	6.11	26.15	3.81	17.94	18.32	22.15	0
ZNF207	13.28	24.66	25.33	24.46	20.99	9.02	14.58	17.71	17.6	20.16	21.66	24.85	15.98
UQCRC1	24.75	18.96	36.78	29.85	28.38	15.61	31.29	33.72	17.75	29.51	18.19	35.98	7.41
STARD3NL	2.74	3.76	6.12	6.52	11.28	7.88	4.72	2.01	3.36	6.96	8.55	4.48	13.99
CD9	27.06	23.99	17.63	37.24	41.46	69.21	41.47	36.03	39.21	61.34	67.16	32.77	125.36
HHATL	9.77	4.89	11.72	6.88	0	0.18	0.18	7.42	0	0.43	1.47	1.77	0
