GeneSymbol	D4_ISO2_HEP_1	D4_ISO1_HEP_L_1	D4_ISO1_HEP_L_2	D4_ISO2_HEP_2	D4_INT_HEP_PI_1	D4_INT_HEP_PI_2	D4_INT_HEP_LPS_1	D4_INT_HEP_LPS_2	D4_INT_HEP_5OP_1	D4_INT_HEP_5OP_2	D4_INT_HEP_C_1	D4_INT_HEP_C_2	D4_INT_HEP_GL_C
ENSG00000288565	5.02	2.32	6.64	4.22	0	0.65	0.07	4.92	0.1	0	0.22	2.42	0.1
ENSG00000288566	0	0.4	0	0.71	0	0	0	0	0	0	0	0	0
ENSG00000288567	0	0	0	0	0	0	0	0	0	0	0	0	0
ZCCHC14-DT_ENSG00000288568	4.48	5.53	8.73	3.09	0.44	0	0.02	1.3	0	0	0	3.58	0
LINC01949_ENSG00000288569	5.8	2.94	8.58	5.33	0	0	0.09	5.92	0.52	0	0	1.9	0
ENSG00000288570	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288571	5.21	3.87	9.14	9.9	0	0	0.11	7.06	0.21	0.08	1.13	6.42	0
ENSG00000288573	10.32	12.51	14.85	20.76	0	0.53	0	8.17	0.22	0.03	0	7.45	0
ENSG00000288574	5.99	3.79	8.79	8.78	0.1	0	0.06	6.4	0.24	0	1.16	2.21	0
ENSG00000288575	2.83	1.47	3.1	0.99	0	0	0.03	1.61	0.11	0	0	1.3	0
ENSG00000288576	0.47	0.66	5.86	2.35	0	0	0.5	1.27	0	0	0	1.52	0
ENSG00000288577	3.81	2.1	6.27	3.49	0.16	0	0	4.35	0.41	0.09	0	1.5	0
ENSG00000288578	0.4	0.28	3.16	1.01	0	0	0	2.19	0	0	0	1.13	0
ENSG00000288579	4.54	1	8.22	3.27	0	0	0	3.24	0	0	0	1.79	0
ENSG00000288580	4.12	1.43	4.22	2.87	0	0	0.03	3.67	0.14	0.01	0	0.91	0
ENSG00000288581	7.28	0.66	4.32	5.84	0	0	0	1.24	0	0	0	2.1	0
ENSG00000288582	3.78	1.59	7.61	4.73	0.03	0	0.03	3.73	0.11	0.01	0	2.05	0
ENSG00000288583	1.1	0	0	1.42	0	0	0	0	0	0	0	2.02	0
ENSG00000288584	4.45	2.51	8.03	2.58	0	0.6	0.09	4.34	0	0	0	0.78	0
ENSG00000288585	5.1	2.63	5.83	5.2	0.14	0.07	0.08	3.22	0.08	0.07	0.1	2.81	0.95
ENSG00000288586	7.12	5.59	9.73	6.08	0.79	0.04	0.67	7.84	0	0	0.35	6.76	9.75
ENSG00000288587	0	0	0	0	0	0	0	0	0	0	0	0	0
