GeneSymbol	D3_INT_EPIi_PI_1	D3_INT_EPIi_PI_2	D3_INT_EPIi_LPS_1	D3_INT_EPIi_LPS_2	D3_INT_EPIi_5OP_1	D3_INT_EPIi_5OP_2	D3_INT_EPIi_C_1	D3_INT_EPIi_C_2	D3_ISO1_EPIi_1	D3_ISO1_EPIi_2
DGKE	0.74	0.73	0.6	1	1.12	1.81	0.69	0.4	1.61	0.81
HS2ST1	2.73	2.37	2.76	2.97	2.5	2.91	3.4	3.58	2.41	3.02
MSI2	18.03	16.33	14.11	18.31	17.36	15.49	22.05	22.27	11.09	15.95
CACNA2D1	0.05	0	0	0.03	0	0	0	0	0.01	0
ZUP1	1.74	1	1.23	1.39	1.73	1.29	2.16	1.98	4.05	4.58
HS3ST3A1	0	0	0	0	0	0	0	0	0	0
GDPD1	0.54	0.13	0.33	0.38	0.53	0.12	0.14	0.34	0.32	0.38
NUS1	1.63	1.67	1.78	1.56	2.19	2.07	3.02	3.01	3.91	4.24
SEMA3D	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	1.05	0.88
PPP2R5E	3.13	3.18	3.41	2.73	3.91	3.76	5.2	6.22	4.41	6.38
ASB17	0	0	0	0	0	0	0	0	0	0
GRAP	0.05	0	0	0	0.02	0	0	0	0	0
SLC5A10	0.01	0.04	0	0.01	0	0	0	0	0	0.03
AK5	0	0	0	0	0	0	0	0	0	0
CABYR	0.01	0.02	0.07	0.03	0	0.08	0.55	0.4	0.06	0.16
IMPACT	1.41	1.47	1.15	1.97	2.42	2.21	5.66	5.23	1.45	3.27
ANKRD29	1.39	2.95	1.93	2.38	1.51	2.08	3.19	3.32	1.11	1.3
SDHAF4	0.53	0.43	0.71	0.52	0.96	0.92	2.42	1.86	0.26	0.52
CHST9	0	0	0	0	0	0	0	0	0	0
THY1	0	0.09	0	0	0	0	0.01	0	0	0
DNAAF1	0	0.04	0	0.09	0.07	0	0	0.1	0.25	0.2
C16orf74	0.2	0.9	1.01	1.06	0.43	0.17	0.37	0.56	1.89	3.43
TBCEL	0.34	0.38	0.32	0.46	0.74	0.85	0.45	0.49	1.19	1.39
JPH3	0	0	0	0	0	0	0	0.01	0	0
ANKH	8.83	9.87	8.92	9.87	10.85	7.98	6.01	12.2	2.09	3.7
OTULIN	2	1.2	0.86	0.97	1.66	1.58	1.28	1.3	2.16	2.19
UBASH3B	0.22	0.23	0.43	0.27	0.83	0.65	1.82	0.57	1.15	0.36
ROBO4	0	0	0	0	0	0	0	0	0	0
ROBO3	0.03	0	0	0	0	0	0	0.11	0	0.04
PANX3	0	0	0	0	0	0	0	0	0	0
TBRG1	2.08	2.39	2.56	2.37	3.22	3.47	3.91	4.23	2.43	2.48
NRGN	0	0.19	0	0	0	0.04	0.06	0.02	0.02	0
RETREG1	4.31	4.82	5.51	4.3	6.74	7.08	3.99	4.05	5.14	7.92
CDH12	0	0	0	0	0	0	0	0	0	0
GPR15	0	0	0	0	0	0	0	0	0	0
TOMM70	6.21	5.32	6.01	5.97	6.55	9.27	8.17	8.06	11.77	15.04
ABI3BP	1.24	0.85	1.11	0.88	0.33	0.46	0.59	0.24	2.77	2.92
ANGPT1	0	0	0	0	0	0	0	0	0	0
CYP4Z2P_ENSG00000154198	0	0	0	0	0	0	0	0	0	0
PITPNC1	5.6	4.56	4.03	4.66	3.76	5.48	4.96	3.95	5.57	7.76
CC2D1B	2.34	2.29	5.22	6.29	3.37	6.98	2.75	3.92	2.75	3.34
CERS3	0	0	0	0	0	0	0	0	0	0
PRKCA	2.47	2.21	2.38	2.41	3.25	2.96	2.27	2.98	2.05	3.3
LRRK1	0.49	0.6	0.61	0.64	0.7	0.63	1.32	1.33	0.84	1.17
CEP112	0.11	0.12	0.2	0.44	0.15	0.1	0.62	0.45	0.28	0.23
GAL3ST2	0	0.04	0.1	0.02	0	0	0.17	0.09	0.01	0.12
ABCA9	0.06	0.01	0.03	0	0	0.08	0.02	0.06	0.02	0
ABCA6	0.09	0.36	0.04	0.01	0.05	0	0.02	0.01	0.04	0.01
ABCA10	0.17	0.18	0.15	0.18	0.22	0.33	0.06	0.5	0.08	0.08
ABCA5	2.92	2.68	3.31	3.45	4.25	4.18	3.19	3.25	3.18	2.53
ENPP3	5.18	4.91	4.8	5.85	6.08	6.76	2.83	4.72	3.66	4.46
C4orf19	7.35	7.5	7.42	7.12	8.61	8.82	8.88	10.46	9.37	9.73
UCHL1	0	0.04	0.04	0.06	0.05	0.11	0.06	0	0	0
MIA3	8.05	9.74	7.83	9.52	15.24	12.4	14.84	11.66	18.65	24.41
DISP1	3.51	3.36	2.94	2.59	2.68	3.76	3.51	3.02	2.81	3.38
TNIK	9.38	11	10.75	9.48	11.71	12.61	15.12	15.87	10.99	14.25
TDH_ENSG00000154316	0	0	0	0	0	0	0	0	0	0
FAM167A	0.02	0	0.02	0	0	0	0	0	0	0
NEIL2	0.41	0.26	0.4	0.31	0.32	0.5	0.42	0.35	0.21	0.18
PGM5	0	0	0	0	0	0	0	0	0	0
WNT3A	0	0	0	0	0	0	0	0	0	0.03
OBSCN	0.14	0.3	0.39	0.27	0.1	0.05	0.07	0.06	0.48	0.86
LONRF1	0.79	1.24	1	1.1	0.94	2.08	0.56	0.63	0.84	1.1
TRIM11	2.72	2.49	2.64	2.9	2.56	2.47	2.83	2.92	2.39	3.38
ENAH	5.72	4.16	4.13	6.05	3.78	5.86	6.14	7.19	4.06	4.95
PPP1R3A	0	0	0	0	0	0	0	0	0	0
CCSAP	0.25	0.19	0.3	0.12	0.22	0.26	0.28	0.2	0.45	0.43
ASZ1	0	0	0	0	0	0	0	0	0	0
SH3RF1	11.44	9.64	12.86	11.26	11.68	12.56	11.79	11.94	9.6	14.74
GBP5	0.01	0.01	0	0.02	0	0	0	0	30.33	14.8
BUB3	2.24	2.39	1.11	1.57	2.16	2.29	3.66	3.23	1.83	2.37
GPR26	0	0	0	0	0	0	0	0	0	0
CCDC173	0.16	0	0	0	0	0	0	0	0	0
MMP21	0	0.02	0	0	0	0	0.04	0	0	0
C10orf90	0	0	0	0	0	0	0	0	0	0
DIPK1A	2.34	2.02	3.08	2.83	3.81	3.85	4.47	3.14	1.93	3.47
ATP5MC3	24.95	25.49	25.76	21.38	24.03	27.14	44.86	41.42	11.51	12.36
CNTNAP3B	0	0	0	0	0.01	0	0	0	0	0
MAGED4	0	0	0	0	0	0	0	0	0	0
SRSF12	0	0	0	0	0	0.01	0	0	0.01	0
PDLIM3	0	0	0	0	0	0.09	0	0.18	0	0
SORBS2	1.06	1.17	1.38	2.34	2.13	1.03	2.57	1.53	15.15	14.2
ELOC	2.49	2.24	2.42	2.14	3.49	3.44	4.63	4.57	3.87	5.26
LY96	0	0	0	0	0	0	0	0	0	0
CEP170P1_ENSG00000154608	0.02	0	0.05	0.01	0	0	0	0.06	0.03	0
PSMA8	0	0	0	0.01	0	0	0	0	0	0
TMSB4Y	0	0	0	0	0.01	0.05	0.02	0.05	0	0.02
CXADR	32.27	23.02	25.99	29.54	34.82	40.6	24.32	28.44	34.92	46.95
BTG3	0.83	0.9	0.66	1.31	1.17	1.74	0.78	0.62	2.08	2.28
C21orf91	0.18	0.25	0.2	0.1	0.05	0.17	0.05	0.33	0.57	0.25
CHODL	0	0	0	0.02	0	0	0	0	0.02	0
TMPRSS15	0	0	0	0	0	0	0	0	0	0
NCAM2	0	0	0	0	0	0	0	0	0	0
L3MBTL4	0	0	0	0.01	0.04	0	0	0	0.09	0.07
PDE1C	0	0	0.09	0	0	0.01	0.03	0.01	0	0
RABGEF1	4.6	3.91	5.05	4.75	4.61	4.86	7.13	5.86	6.48	7.01
MRPL39	2.04	1.65	1.67	1.92	1.6	1.89	5.94	4.36	2.46	2.34
JAM2	0.02	0	0	0	0	0	0	0.05	0	0
ATP5PF	91.53	106.7	106.88	83.83	107.79	123.97	154.6	134.35	49.8	56.76
GABPA	2.72	2.49	2.45	2.8	2.79	3.52	2.92	2.92	3.37	3.65
ADAMTS1	0	0	0	0	0	0	0	0	0	0
ADAMTS5	0	0	0	0	0	0	0	0	0	0
TSEN2	3.91	2.97	4.09	2.68	3.12	3.68	2.33	3.43	0.49	0.88
SLFN13	0	0	0	0	0	0	0	0.02	0	0
WNT7A	0.47	0.69	0.75	1.09	0.42	0.64	0.42	0.84	0.45	1.09
XPC	2.3	3.21	2.17	2.74	2.08	4	2.87	3.62	2.97	2.76
CCDC174	2.11	2.7	2.3	3.7	1.74	5.7	3.24	4.39	3.01	2.53
FGD5	0.01	0	0	0	0	0	0	0	0	0
FLCN	3.98	4.07	4.86	4.17	3.99	3.56	2.65	3.61	4.06	6.75
DPH3	6.24	5.35	4.88	4.78	6.1	6.76	7.98	8.72	5.86	8.73
OXNAD1	10.68	7.24	8.17	8.43	10.21	13	8	10.74	8.92	14.12
PLCL2	1.69	1.2	1.42	1.3	1.78	1.95	3	2.76	0.98	1.62
CXXC1	5.6	4.24	3.9	4.41	4.8	7.04	4.48	8.01	5.43	9.12
SKA1	0	0	0	0	0	0	0.01	0.01	0.06	0
PPP4R1	22.64	15.68	16.55	16.53	23.59	23.65	30.9	27.25	22.42	29.65
APCDD1	0	0	0	0	0	0	0	0	0	0
PIEZO2	0	0	0	0	0	0	0	0	0	0
CCDC144BP_ENSG00000154874	0.03	0	0	0	0.1	0	0.12	0.17	0.06	0.05
MPPE1	18.08	10.63	14.48	18.43	16.37	20.14	20.7	20.24	51.51	63.52
CCDC144CP_ENSG00000154898	0.04	0.04	0.05	0.01	0.03	0.02	0.03	0.06	0.02	0.01
USP43	0.96	0.74	0.8	0.78	1.08	0.54	1.64	1.28	5.11	4.35
RAB6B	13.62	11.13	10.18	9.92	9.57	15.37	10.77	11.97	4.15	4.58
EME1	0.02	0	0.01	0.03	0.06	0.07	0.07	0.03	0.07	0.12
EPHB1	0	0.02	0.04	0	0	0	0.02	0.06	0	0
ACSS1	3.69	4.31	3.43	3.49	4.62	4.32	3.27	3.84	2.84	3.14
ANKRD40	2.09	2.06	2.52	2.35	2.71	2.45	4.35	3.02	2.52	4.47
ZNF18	0.6	0.7	0.51	0.67	1.47	1.38	0.79	1.27	0.68	1.17
CA10	0	0	0	0	0	0	0	0	0	0
VOPP1	7.01	7.83	7.82	7.33	8.13	7.05	8.37	9.14	3.68	6.61
SEPTIN14	0	0	0	0	0	0	0	0	0	0
APOOL	0.86	0.68	0.88	0.71	0.93	1.08	1.79	1.33	0.66	0.86
DKK2	0	0	0	0.04	0	0	0	0	0	0
CYP2U1	0.12	0.18	0.23	0.17	0.18	0.27	0.3	0.3	0.05	0.1
RSPH10B	0.01	0.01	0	0.01	0.02	0.03	0.01	0.01	0.01	0.02
FBXL18	0.17	0.29	0.3	0.45	0.2	0.24	0.49	0.41	0.32	0.46
CNTNAP5	0.01	0	0	0	0	0	0	0	0	0
PROM2	9.23	11.43	12.31	8.53	6.01	6.96	11.85	12.66	7.66	7.28
UNC93B2_ENSG00000155070	0	0	0	0	0	0	0	0	0	0
AK9	0.7	1.25	0.82	1.26	1.74	1.68	1.72	0.79	1.51	1.12
ODF1	0	0	0	0	0	0	0	0	0	0
KLF10	7.86	7.53	7.09	7.3	8.4	10.09	6.93	8.22	14.94	14.01
PTPRN2	0.69	1.37	1.02	0.98	0.65	0.7	0.94	1.01	0.41	0.71
AZIN1	24.7	24.62	23.62	22.43	25.21	36.01	27.29	28.8	14.81	20.66
ATP6V1C1	9.27	5.84	7.68	6.77	9.72	10.72	11.69	11.44	7.89	7.53
PIP4P2	0.68	0.73	0.52	0.63	0.51	0.7	0.56	0.15	0.06	0.71
OTUD6B	0.17	0.19	0.17	0.1	0.21	0.26	0.36	0.24	0.42	0.36
CDK19	5.75	4.26	3.64	4.21	7.2	5.18	4.4	4.6	4.03	4.76
GTF3C6	20.13	18.12	18.19	14.1	22.22	22.16	28.18	27.07	10.99	15.54
TTC39B	3.9	3.15	2.77	3.37	4.02	5.39	2.99	3.61	13.52	15.99
AGPAT5	0.24	0.26	0.07	0.19	0.12	0.27	0.7	0.39	0.25	0.25
MMS19	3.68	3.32	2.94	3.41	2.2	3.1	3.96	4.02	1.43	1.9
OR4K1	0	0	0	0	0	0	0	0	0	0
PI4K2A	1.84	1.64	1.89	2.05	2.24	2.5	2.23	2.07	3.5	3.64
MARVELD1	0.09	0.13	0.06	0.06	0.19	0.25	0.23	0.63	0.25	0.25
ZFYVE27	3.34	4.41	3.97	4.94	4.18	5.17	3.9	4.08	7.71	7.45
GOLGA7B	0.72	0.64	0.72	0.72	0.64	1.01	1.5	1.36	1.64	1.6
GPR78	0.05	0.09	0.04	0.14	0.08	0.23	0.32	0.15	0.17	0.9
TRMT44	0.19	0.12	0.25	0.25	0.24	0.18	0.26	0.34	0.74	0.67
SLC25A28	0.54	0.7	0.84	0.65	0.66	0.87	1.99	1.59	6.5	5.41
HSPA13	0.99	0.87	1.1	0.85	1.06	1.35	0.94	1.38	1.35	1.88
SAMSN1	0.01	0.01	0.02	0.02	0	0.02	0	0	0.01	0
USP25	6.7	5.3	4.98	6.01	7.92	5.11	11.47	9.13	5.75	7.94
GRAMD2B	35.05	27.92	31.78	29.11	30.16	40.15	27.14	31.96	29.91	39.52
ZCCHC10	3.51	2.38	3.44	4.47	5.06	2.35	3.6	3.44	2.98	2.02
C16orf87	0.58	0.35	0.2	0.52	0.7	0.28	0.47	0.79	1.07	1.63
MOV10	9.06	13.23	10.44	11.62	9.84	12.93	13.23	16.95	21.56	19.73
RHOC	146.14	137.95	137.81	138.87	168.03	173.24	209.38	202.03	171.53	217.19
PPM1J	0.03	0.01	0.01	0.02	0	0.11	0.02	0.06	0.4	0.29
DBI	214.64	219.33	228.39	204.69	237.7	300.36	256.79	266.75	219.47	273.28
SLC16A1	18.27	17.91	17.32	15.6	19.49	26.38	20.66	21.64	2.98	4.58
HEATR3	0.35	0.46	0.57	0.22	0.51	0.35	1.49	1.02	0.27	0.38
TRIM74	0	0	0	0	0	0.01	0	0	0	0
NIFK	0.88	1.11	1.3	1.11	2.85	1.58	7.1	5.22	3.7	4.09
OXA1L	15.46	13.69	16.02	13.25	13.73	19.63	31.39	24.04	7.82	8.43
SLC7A7	13.9	10.47	8.57	10.26	13.3	14	10.26	11.87	24.23	26.8
MAGEC1	0	0	0	0	0	0	0	0	0	0
LARP1	19.5	17.98	16.06	18.48	18.29	23.33	34.43	20.75	30.98	43.48
CNOT8	8.31	4.96	6	6.9	5.85	8.78	6.94	6.78	4.89	6.68
GRIA1	0	0	0	0	0	0	0	0	0	0
LRGUK	0.01	0.01	0	0	0.03	0.01	0.01	0.03	0	0.02
SETD9	0.94	0.98	1.83	1.48	1.21	1.88	0.74	1.24	0.61	0.71
MIER3	16.62	13.12	15.87	11.72	16.21	21.55	15.58	18.37	14.32	16.79
NUP205	1.47	1.39	1.8	2.53	1.52	2.52	4.08	4.03	2.48	4.19
ZKSCAN2	0.46	0.35	0.33	0.24	0.38	0.44	0.54	0.61	0.37	0.44
C9orf85	5.42	3.33	4.27	4.95	6	7.09	6.9	3.66	3.49	4.34
XAGE2	0	0	0	0	0	0	0	0	0	0
PIK3AP1	4.27	3.88	3.91	3.82	4.26	4.51	4.22	4.43	5.16	6.9
RBM45	0.31	0.2	0.14	0.45	0.25	0.2	0.5	0.71	0.68	0.38
TTN	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01
VSIG4	0	0	0	0	0	0	0	0	0	0
PDIA4	45.73	46.31	46.87	49.07	54.72	47.95	41.51	45.39	50.75	63.07
KDM8	0.84	0.75	0.28	0.75	0.55	1.48	0.43	0.43	0.07	0.1
PDZD9	0.02	0.03	0.02	0	0.05	0.11	0.06	0	0	0
OTOA	0	0	0	0	0	0	0	0.01	0	0
KCTD18	1.79	1.86	1.78	2.66	2.7	2.59	2.87	1.87	2.2	2.98
FAM126B	4.11	2.8	3.12	3.12	4.38	4.37	4.71	4	6.99	9.06
FLACC1	0.1	0.04	0	0.04	0.05	0.06	0.02	0.04	0	0.17
C2CD6	0	0	0	0	0	0	0.01	0	0	0
TMEM237	0.48	0.34	0.47	0.27	0.29	0.32	0.83	0.6	0.41	0.52
FZD7	0.35	0.48	0.44	0.37	0.57	0.36	1.06	0.81	0.08	0.1
SPAG17	0	0	0	0.05	0	0.06	0	0	0.02	0
DEPTOR	0.3	0.83	0.33	1.07	0.2	0.43	0.17	0.46	1.28	0.98
FMN2	0	0	0	0	0	0	0	0	0	0
RNF20	3.25	3.51	3.29	2.84	3.27	5.19	5.58	5.75	3.28	5.42
CYLC2	0	0	0	0	0	0	0	0	0	0
PPARGC1B	1.39	3.15	2.29	2.33	1.9	2.28	6.64	4.49	1.48	0.7
ELMO1	0.02	0.1	0.04	0.07	0.03	0.07	0.08	0.03	0.26	0.58
SLC26A2	26.51	19.48	26.37	20.83	33.62	28.26	13.29	23.94	0.94	2.71
LSM11	0.19	0.07	0.09	0.13	0.1	0.19	0.19	0.16	0.12	0.16
MED7	1.64	1.48	1.83	1.75	2.58	2	3.36	2.47	2.05	1.48
SAXO1	0	0	0	0	0	0	0	0	0	0
RRAGA	6.55	6.54	7.45	6.96	7.18	8.02	9.29	7.93	6.1	7.53
SLC24A2	0	0	0	0	0	0	0	0	0	0
TRIM42	0	0	0	0	0	0	0	0	0	0
PXYLP1	0.26	0.16	0.15	0.32	0.37	0.38	0.33	0.35	0.67	0.5
ADCY8	0	0	0	0	0	0	0	0	0	0
RASA2	5.59	5.85	4.79	5.34	4.93	5.98	7.72	10.62	3.72	6.9
RMND1	4.04	3.11	3.08	3	4.84	5.14	4.49	4.7	2.27	2.11
RAET1L	0.05	0.16	0.32	0.16	0.07	0.45	0.23	0.43	0.24	0.51
SLA	0.02	0.02	0	0.05	0.01	0	0	0.07	0	0
TMBIM4	10.31	11.06	12.46	8.04	14.09	10.3	15.11	16.31	14.43	20.74
VBP1	1.84	1.73	2.03	1.8	1.9	2.87	4.73	3.53	1.85	1.41
RAB39B	0.01	0	0	0	0	0.01	0	0	0	0
CLIC2	0	0	0	0.16	0	0	0	0	0.6	1.08
AFF2	0	0	0	0	0	0	0	0	0	0
MICU3	0	0	0	0	0	0	0.02	0	0	0
GRIP1	1.13	0.92	0.57	0.64	1.95	0.62	0.71	1.07	0.39	3.48
VPS37A	3.85	5.17	2.48	4.16	3.93	4.46	6.18	4.84	7.23	8.52
KIF5A	0.2	0.23	0.17	0.93	0.21	0.16	0.36	0.08	0.43	0.07
NAT2	4.66	4.06	2.96	3.18	3.91	3.78	6.48	6.45	2.18	2.54
MAGEA8	0	0	0	0	0	0	0	0	0	0
PSD3	2.59	1.89	2.74	2.1	2.93	2.86	5.26	3.72	3.48	4.13
CARNMT1	0.57	1.22	1.25	0.94	1.64	1.27	2.73	2.5	0.99	1.34
MCU	15.73	14.32	13.59	13.05	17.7	18.97	19.84	19.38	9.24	10.78
ELMSAN1	3.38	4.83	4.92	3.9	4.95	3.92	5.96	5.15	5.44	7.82
CFAP70	0.09	0.04	0.09	0.06	0.09	0.03	0.06	0.09	0.04	0.01
GNA14	0.03	0.04	0	0.06	0.06	0.07	0.06	0.02	0.01	0.08
FAM161B	0.28	0.32	0.39	0.35	0.32	0.5	0.33	0.27	0.34	0.44
GNAQ	3.96	3.69	3.36	3.67	5.91	4.67	5.49	4.86	3.73	5.26
WIF1	0	0	0	0	0	0	0	0	0	0
UGT2B4	0	0	0	0	0	0	0	0	0	0
GPR61	0	0	0	0	0.02	0	0.02	0	0	0
MMP16	0	0	0	0	0	0	0	0	0	0
ADK	2.8	4.24	4	3.36	2.84	4.42	6.96	6.3	2.61	2.09
KCNMA1	0.19	0.03	0.15	0.03	0.16	0.02	0.12	0.01	0	0
BATF	0.03	0.02	0.02	0.04	0	0	0.12	0.05	0.05	0.14
DCK	1.66	1.43	1.82	2.06	1.72	2.58	2.49	2.08	1.23	2.03
ADAMTS3	0	0	0	0	0	0	0	0	0	0
ALX3	0	0	0	0	0	0	0	0	0	0
DPY19L4	0.67	0.71	0.61	0.95	0.7	1.21	1.19	0.96	1.77	1.07
NDUFAF6	1.4	1.41	1.39	1.16	1.68	1.01	1.72	1.76	1.16	1.36
DRAM2	12.77	10.82	14.23	11.98	13.82	15.65	12.82	13.91	15.45	15.3
C8orf37	0.01	0.01	0.03	0.08	0	0	0.04	0.01	0.03	0
PPEF2	0	0	0	0	0.02	0.18	0	0	0.04	0
CFAP161	0	0	0	0	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0	0	0	0.01	0
ART3	0.03	0	0	0	0	0	0.02	0	0.88	0.91
SLC28A1	0.36	0.13	0.05	0.08	0.45	0.24	0	0.13	0.35	0.51
WHAMM	3.37	2.28	2.59	2.65	2.88	3.33	3.12	2.67	3.16	3.77
CXCL13	0.03	0	0	0	0	0	0	0	0	0
N6AMT1	0.13	0.08	0.13	0.12	0.13	0.08	0.57	0.11	0.13	0.19
RWDD2B	0.28	0.33	0.32	0.38	0.22	0.24	1.67	1.51	0.55	0.53
USP16	3.15	2.75	2.83	2.69	3.56	3.46	5.3	4.58	4.68	5.89
CCT8	5.72	4.84	6.17	5.34	5.87	7.73	17.74	12.5	4.48	5.21
MAP3K7CL	0.19	0.22	0.58	0.37	0.18	0.08	0.44	0.09	0.08	0.27
NAA11	0	0	0	0	0	0	0	0	0	0
BACH1	8.2	6.18	5.44	5.9	5.8	11.18	7.8	8.82	30.56	27.11
CLDN17	0	0	0	0	0	0	0	0	0	0
CLDN8	0	0.02	0	0.01	0	0	0.01	0.03	0	0
TSPAN7	0.46	0.68	0.85	0.8	1.08	1.69	1.17	0.84	0.06	0.07
TIAM1	0.04	0.06	0.08	0.1	0.32	0.14	0.16	0.15	0.34	0.48
SCAF4	4.18	4.27	4.08	4.31	3.99	4.46	4.27	4.86	6.3	6.97
RPGR	0.55	0.58	0.54	0.19	0.2	1.1	0.83	0.57	0.1	0.19
CDK20	0.13	0.42	0.57	0.17	0.27	0.15	0.56	0.48	0.11	0.16
PCGF6	0.19	0.05	0.15	0.24	0.2	0.29	0.22	0.29	0.48	1.11
ANKRD9	4.34	3.95	3.99	3.99	5.65	5.39	2.93	5.09	1.22	2.04
SFR1	0.27	0.49	0.45	0.64	0.85	0.54	1.13	0.93	1.42	0.86
SORCS3	0	0	0	0	0	0	0	0	0	0
SFXN2	0.01	0.02	0	0	0	0.01	0	0.05	0	0.05
ATP5MPL	77.42	83.59	83.42	66.56	75.67	108.78	134.32	133.04	30.6	38.87
FUT6	6	7.25	7.23	7.37	5.32	5.24	6.94	9.44	8.99	10.24
TDRD9	1.17	0.82	0.79	1.09	1.21	2.01	2.2	1.15	0.8	1.48
FGF18	0	0	0	0.01	0	0	0	0	0.01	0.03
PCDH1	34.38	36.86	38.43	36.62	40.04	36.58	44.38	45.19	22.27	28.27
SH3RF2	3.16	2.88	3.67	3.46	4.36	2.72	6.14	6.4	5.36	7.69
GDF6	0	0	0	0	0	0	0	0	0	0
UQCRB	62.68	67.08	64.8	49.95	64.94	78.09	116.43	104.27	27.02	36.84
MTERF3	0.2	0.08	0.26	0.08	0.25	0.09	0.44	0.45	0.2	0.43
PTDSS1	3.67	3.87	4.15	3.11	3.31	4.26	12.11	8.52	1.63	2.22
PPP2R2B	0	0	0	0	0	0	0	0	0	0.03
RPL30	38.89	41.48	40.16	32.79	23.46	46.29	77.11	64.57	26.02	28.28
KCNS2	0	0	0	0	0	0.01	0.02	0.02	0.02	0.01
FAM122C	0.12	0.07	0.04	0.22	0.01	0.13	0.37	0.13	0.8	0.18
SUPV3L1	2	2.58	2.37	1.88	4.74	4.36	7.44	8.4	2.97	2.69
FAM122B	3.61	2.95	2.85	3.04	3.06	4.84	3.51	3.35	2.15	2.24
EEF1A1	283.53	303.31	322.82	261.67	265.98	366.99	533.65	449.54	209.84	227.35
FBXO43	0	0	0	0	0	0	0	0.01	0.01	0
HKDC1	19.87	19.33	21.68	21.08	19.08	20.38	32.58	29.37	30.19	40.96
HK1	1.92	1.74	2.23	2.27	1.23	3.19	4.05	2.76	14.81	15.05
TYSND1	0.09	0.14	0.16	0.21	0.18	0.15	0.54	0.35	0.16	0.09
PHF6	1.7	1.07	1.35	1.03	1.64	1.57	3.06	2.73	1.75	1.77
CD109	0.82	0.63	0.82	0.88	0.94	1.16	0.94	1.02	0.96	1.08
LRFN2	0	0	0	0	0	0	0	0	0	0
NODAL	0.02	0.01	0	0.09	0.01	0	0	0.02	0	0
PRG3	0	0	0	0	0	0	0	0	0	0
UBE2L6	3.66	3.2	1.56	2.65	2.1	2.01	2.87	2.21	48.42	53.5
ZDHHC5	13.69	11.23	14.29	12.4	17.26	20.8	20.64	21.37	16.9	16.42
MED19	1.32	0.95	1.3	1.17	1.5	1.81	2.11	2.19	1.36	1.23
ZFAND3	20.54	16.13	12.62	15.88	23.13	25.17	21.05	16.5	18.89	27.49
NPTN	94.26	85.09	90.9	81.13	93.49	114.78	95.31	107.1	68.89	91.5
KAT6B	2.84	2.86	3.06	2.8	2.74	3.59	3.32	3.67	1.68	1.82
SAMD8	3.83	2.96	3.15	2.97	3.62	4.44	3.72	3.78	2.85	3.24
RAB11FIP1	52.89	46.08	50.42	48.31	51.07	67.11	58.67	58.31	42.47	54.47
UNC5D	0.03	0.01	0.07	0.02	0.01	0.02	0.13	0.04	0	0
GLYATL2	0	0	0	0	0	0	0	0	0	0
UTP14A	0.26	0.42	0.45	0.35	0.38	0.8	1.45	0.81	0.56	0.26
AIFM1	15.27	21.36	21.78	14.6	16.93	23.36	34.74	31.74	6.18	8.88
MAPK13	8.16	7.19	7.14	7.37	7.82	8.66	7.86	9.2	6.22	7.97
BAG4	1.59	1.87	2.07	1.91	2.69	2.62	2.56	2.75	3.22	3.25
MS4A1	0	0	0	0	0	0.01	0	0	0	0
IGKV1OR-2	0.93	0	0.88	1.3	2.35	1.35	0	0	1.01	1.66
TBC1D31	0.21	0.3	0.29	0.3	0.16	0.32	0.43	0.41	0.23	0.29
WDYHV1	0.59	2.31	0.77	3.12	0.33	0.99	1.35	1.16	0.19	1.98
ATAD2	3.72	2.53	2.94	3.33	3.22	4.16	3.66	3.29	3.31	4.87
FBXO32	7.96	7.33	6.09	9.81	11.01	11.94	5.98	7.1	10.49	16.68
NSMCE2	2.38	2.47	1.5	2.49	2.42	2.38	3.04	4.71	4.51	5.17
ZNF689	0.38	0.43	0.32	0.33	0.46	0.31	0.36	0.52	0.92	0.97
PRR14	3.27	4.07	5.25	4.14	5.13	5.14	4.24	4.47	4.33	4.86
FBRS	4.75	7.31	7.19	10.35	4.52	3.79	4.36	8.09	8.03	17.92
FRRS1	0.84	1.03	1.04	0.69	1.2	1.43	1.6	1.88	0.73	0.85
PHKG2	2.02	2.05	2.06	2.32	1.89	2.57	3.08	2.02	2.08	1.48
MFSD14A	2.25	1.93	2.34	2.38	2.81	3.28	2.9	2.52	3.17	2.67
SASS6	0.21	0.16	0.1	0.08	0.3	0.44	0.45	0.42	0.3	0.33
COX6A2	0	0	0	0	0	0	0	0.11	0	0
ITGAD	0	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	0	0	0	0
ZIC3	0	0	0	0	0	0	0	0	0	0
MALSU1	0.27	0.41	0.43	0.99	1.45	0.37	2.15	1.58	0.67	1.94
VPS8	2.05	2.29	2.71	1.9	2.87	2.74	3.8	3.2	2.67	3.36
GALK2	6.99	5.87	5.62	4.57	5.45	9.06	8.41	8.1	3.22	6.08
LHFPL4	0	0	0	0	0	0	0	0	0	0
B3GNT7	3.44	2.79	2.96	4.01	3.62	2.32	3.45	4.57	3.28	6.58
MPV17L	0.02	0.01	0.03	0	0.01	0.01	0.01	0.02	0.05	0.04
BUB1B	0.2	0.07	0.25	0.03	0	0	0.05	0	0.13	0.2
