GeneSymbol	D3_INT_EPIi_PI_1	D3_INT_EPIi_PI_2	D3_INT_EPIi_LPS_1	D3_INT_EPIi_LPS_2	D3_INT_EPIi_5OP_1	D3_INT_EPIi_5OP_2	D3_INT_EPIi_C_1	D3_INT_EPIi_C_2	D3_ISO1_EPIi_1	D3_ISO1_EPIi_2
DVL2	1.88	2.07	2.34	3.58	1.77	2.11	1.06	1.72	2.76	4.84
PRSS22	3.34	3.77	3.6	3.91	2.05	4.44	2.43	3.26	3.3	2.84
UPF1	5.44	5.98	6.09	6.53	5.77	4.23	5.41	6.44	6.39	9.23
SKAP2	20.06	10.66	13.77	12.89	17.87	23.88	15.33	15.93	25.82	32.69
SLC25A5	84.64	94.7	98.72	92.98	102.82	99.6	108.38	123.78	30.85	41.84
MCUB	0.15	0.36	0.07	0.23	0.25	0.11	0.22	0.16	4.1	3.19
HOXA11	0.04	0.1	0.01	0.09	0.12	0.09	0.41	0.28	0.1	0.06
POLR2J	10.04	20.3	22.02	18.49	12.68	9.3	15.79	24.77	14.14	22.64
DHX33	0.36	0.26	0.36	0.4	0.41	0.53	0.92	0.64	0.63	0.92
MEOX1	0	0	0	0	0	0	0	0.01	0	0
THSD7A	0.83	0.43	0.75	0.72	0.45	0.4	0.73	0.51	0.43	0.78
LIG3	0.97	0.92	0.76	0.82	0.61	1.77	1.91	1.47	0.44	1.34
RPAP3	2.1	1.95	1.39	1.39	2.01	2.09	4.07	2.69	3.71	3.68
ACSM3	1.52	1.29	1.32	0.65	1.36	1.5	1.02	1.3	1.36	1.02
REXO5	0.02	0.23	0.04	0.05	0.14	0.08	0.09	0.06	0.4	0.09
CIAPIN1	1.85	2.31	1.78	2.29	2.65	2.72	7.02	5.91	3.78	2.95
SPPL2B	2.28	4.24	4.62	3.75	2.53	0.93	2.97	5.97	3.89	7
FAM214B	4.68	5.01	5.94	5.54	5.68	5.61	8.16	7.66	2.78	4.02
COPZ2	0.21	0.07	0.87	0.16	0.27	0.31	0.75	0.44	0.38	0.81
PRKAR2B	0	0	0	0	0	0	0	0	0	0
MSL3	1.72	1.19	2.07	1.56	2.12	1.36	4.87	2.08	2.01	2.8
CREBBP	15.37	15.99	18.18	17.53	20.51	20.37	19.94	16.68	18.78	26.35
TSPOAP1	0.03	0	0	0.01	0	0	0.01	0.02	0	0
MPO	0	0	0	0	0	0	0	0	0	0
PON1	0.02	0	0	0.04	0.01	0	0.11	0.01	0	0.06
GCFC2	0.09	0.24	0.2	0.21	0.24	0.14	0.54	0.69	0.59	0.15
WDR54	0.06	0	0.1	0.01	0.1	0.26	0.05	0.08	0.14	0.36
CROT	7.8	10.16	8.23	5.9	8.49	9.49	21.56	16.08	1.32	2.75
ABCB4	0.1	0.16	0.13	0.25	0.02	0.35	0.02	0.09	0.03	0.02
KMT2E	7.24	6.63	6.3	5.78	7.4	8.62	6.44	6.3	7.97	9.39
RHBDD2	8.13	9.69	11.01	9.87	7.37	6.41	9.41	11.45	6.87	9.33
SOX8	0	0.02	0	0	0	0	0	0	0	0
IBTK	12.85	12.13	12.91	13.14	14.32	19.34	17.26	15.4	11.5	12.68
ZNF195	0.56	0.42	0.98	0.87	1.15	1.21	1.72	1.13	1.24	1.03
MYCBP2	1.32	1.08	1.83	0.94	1.69	1.54	3.01	3.49	2.24	3.78
FBXL3	4.93	4.67	4.3	4.41	5.41	6.89	6.95	7.07	3.66	4.27
ITGAL	0.03	0.11	0.09	0.18	0.25	0.15	0.02	0.02	0.08	0.45
PDK2	2.58	1.93	3.41	2.93	2.94	4.56	2.97	4.26	1.52	1.49
ITGA3	48.28	59.84	65.27	62.55	50.44	38.94	60.3	67.13	68.49	88.33
ZFX	1.91	2.14	2.24	2.18	2.38	2.63	2.47	3.47	3.41	2.74
LAMP2	5.62	5.62	6.24	7.1	6.1	8.92	5.69	6.1	6.98	7.46
ITGA2B	0	0	0	0	0	0	0.02	0	0	0.01
ASB4	0.01	0	0	0	0.02	0	0.01	0	0	0
GDE1	29.69	28.13	26.72	28.59	31.67	36.72	26.12	26.57	12.8	18.54
REX1BD	0.6	0.79	0.75	0.93	0.42	0.18	1.02	0.9	0.34	1.02
CRLF1	0.09	0.07	0	0.22	0	0.22	0.07	0.04	0	0
OSBPL7	2.77	1.64	2.12	1.24	2.01	1.23	5.07	3.23	0.74	1.8
TMEM98	12.29	12.02	10.58	14.05	15.24	14.09	12.43	13.22	3.04	4.59
YBX2	1.25	0.98	1.05	1.89	1.47	1.63	0.29	0.44	1.58	3.07
KRT33A	0	0	0	0	0	0	0	0	0	0
MAP3K14	0.37	0.34	0.47	0.45	0.47	0.53	0.81	0.73	0.72	0.76
ABCC8	0.03	0	0	0.04	0.04	0	0	0	0.11	0.07
CACNG3	0	0	0	0	0	0	0	0	0	0
