GeneSymbol	D3_ISO6_LP_1	D3_ISO6_LP_2	D3_ISO1_LP_1	D3_ISO1_LP_2	D3_INT_LP_PI_1	D3_INT_LP_PI_2	D3_INT_LP_LPS_1	D3_INT_LP_LPS_2	D3_INT_LP_5OP_1	D3_INT_LP_5OP_2	D3_INT_LP_C_1	D3_INT_LP_C_2
ST7	15.96	9.42	2.96	4.13	16.53	1.05	1.15	0	0	0.12	0	0.03
CDC27	24.63	19.14	18.74	13.18	0	0	0	0	0	0	2.3	0.19
SLC4A1	18.87	43.42	0.35	0	3.33	0	1.46	0	0	0	0	3.82
CALCR	6.08	5.45	0	0.12	0	0	0	0	10.58	0	0	0
HCCS	3.5	7.82	10.92	7.75	0	0	0	0	0	0.04	0.01	0
DVL2	37.73	28.51	9.11	9.1	14.59	0	0.38	0	13.05	0	1.06	0
PRSS22	9.16	8.67	0.36	0	12.72	0	0	0	0	0.16	0.5	0
UPF1	17.15	10.18	22.52	21.7	2.44	0	17.53	0	3.79	0.36	0.12	0.23
SKAP2	3.51	8.57	4.33	4.97	0.61	0	0	0	1.16	0	1.1	0
SLC25A5	17.09	36.83	113.45	89.43	0	0	157.3	0	0.27	1.75	0	0
MCUB	13.14	9.79	11.19	3.58	0	0	0	0	0	0	0	0
HOXA11	7.78	3.45	0	0	10.48	3.05	0	0	0.69	1.22	0	0
POLR2J	36.82	63.9	62.7	57.04	0	0	0	0.18	0	0	1.26	0
DHX33	5.13	3.05	10.29	12.56	2.89	0	0.99	0	0	0	0	0
MEOX1	13.53	5.71	0.29	1.04	9.48	0	26.16	0	0.11	1.08	0	0.6
THSD7A	11.12	3.55	0.03	0	8.67	0	1.19	0	15.14	9.07	0	0
LIG3	30.47	45.3	16.9	25.9	27.09	0	0	0	12	3.18	2.26	0.15
RPAP3	19.94	13.19	14.23	15.37	0	0	0	0	0	0	0	0.12
ACSM3	52.46	30.21	1.37	1.46	30.96	0	4.72	0	0	0	0	0
REXO5	9.79	0	1.83	1.86	13.16	0	0	0	0	0	0	0.66
CIAPIN1	8.96	39.11	22.91	8.22	21.51	55.4	0	0	0.16	0.35	0.75	0
SPPL2B	46.22	27.68	9.97	9.15	19.62	0	0	0	7.16	0.07	0.2	1.38
FAM214B	22.04	14.55	0.67	1.12	17.52	0	2.8	12.85	0.65	3.57	0.17	0.61
COPZ2	6.05	6.25	3.05	0.4	0	0	0	0	0	0	0	0
PRKAR2B	12.53	10.43	0.24	0	17.61	0	0	7.78	1.21	0	0	0.38
MSL3	28.43	21.75	10.47	19.37	47.37	0.76	1.75	14.48	7.37	2.02	0.25	0.11
CREBBP	49.51	40.66	32.72	51.14	8.59	0.5	0	7.41	39.62	3.67	0.98	0.37
TSPOAP1	17.37	9.14	8.98	5.15	46.96	3.99	3.05	0	0	2.25	0	0.06
MPO	10.13	14.42	0	0	7.37	0	0.12	10.51	0	0.31	2.16	4.29
PON1	5.29	0.36	0	0	0	0	0	0	0	0	0	0
GCFC2	6.68	5.37	8.05	5.33	0	0	0	0	0	0	0	0
WDR54	23.44	14.16	19.91	22.05	100.95	43.05	0	0	5.89	0	0	0
CROT	4.23	5.21	1.4	2.52	6.14	0	0	0	0	0.17	0	0
ABCB4	31.55	25.36	0.34	0.68	94.65	0	0	0	0	0.36	0.4	0.82
KMT2E	64.59	47.45	25.58	30.9	111.9	21.66	18.04	0.7	0.69	15.13	9.03	4.88
RHBDD2	33.97	18.74	8.54	9.73	59.16	0	0	0	0	0	0.12	0.03
SOX8	5.84	4.93	0.03	0.03	0	0	1.28	0	0	0.05	0	0
IBTK	10.76	8.15	6.2	7.62	13.42	0	0	0	1.15	0	0.16	0
ZNF195	17.79	13.71	9.85	8.71	111.96	0	0	0	0.21	0	0	0.02
MYCBP2	48.74	52.53	26.67	33.84	45.04	6.35	15.09	0.08	4.11	5.78	0	0.34
FBXL3	7.58	11.77	8.7	7.29	0	0	1.09	0	0	1.01	1.53	0
ITGAL	45.63	44.9	137.87	166.8	14.7	0.55	0	1.17	0.23	22.46	1.41	3.85
PDK2	19.27	14.52	2.21	5.37	23.72	0	0	0	0	1.91	4.92	2.09
ITGA3	20.71	15.29	2.69	3.66	9.77	0	0.79	0	0	0.45	0	0.87
ZFX	19.61	7.55	8.56	9.38	2.49	0.53	0	0	0	0.46	0	0
LAMP2	15.59	21.19	5.17	4.46	1.73	18.35	2.24	0.94	0.18	0.08	0	0
ITGA2B	17.43	9.8	0	0.03	22.06	0	3.02	0	0	0.51	0	0
ASB4	10.39	18.52	0	0	112.43	0	0	0	0.08	0	0	0.53
GDE1	25.37	17.41	4.69	6.06	0.41	0	0.14	0	51.09	0	0	0
REX1BD	12.86	22.87	23.8	13.75	10.89	0	12.96	0	10.86	1.53	2.73	0
CRLF1	32.65	2.98	5.39	6.48	27.61	0	0	0	0	0	0	0
OSBPL7	25.57	18.6	3.76	2.74	11.3	0	0.91	0	0	0.24	0.06	0
TMEM98	7.38	8.52	0	0.17	8.25	4.56	0.49	0	42.73	0.16	0	0
YBX2	10.58	6.07	0	2.4	8.37	2.29	0	15.05	1.29	2.88	1.4	0
KRT33A	0	2.19	0	0	0	0	0	0	0	0	0.15	0
MAP3K14	5.91	10.56	12.66	13.9	0	0	0.96	0	0	1.03	0.23	0.97
ABCC8	64.14	46.86	0.06	1.38	183.2	4.81	5.8	0.04	20.48	3.84	0.81	0.11
CACNG3	8.63	6.45	0	0.21	14.52	0.08	9.4	0	0	0	0	0
TMEM132A	23.55	22.67	0	0.16	10.31	0	5	0	0	2.84	0.06	0.01
AP2B1	18.56	37.46	25.55	33.46	8.99	0	1.17	0	0	1.22	0	0
TAC1	11.03	10.61	0.44	0	0	0	0	0	0	0	0	0
ZNF263	16.41	14.84	9.18	6.03	25.07	0	0	1.47	0	0.6	0	0.07
CX3CL1	6.17	3.88	0.21	0.18	14.73	3.71	0	0	2.93	0	0	0.76
SPATA20	19.97	7.81	8.46	5.31	9.74	0.23	0	0	28.75	0	0.03	0.92
CACNA1G	6.72	6.75	0.22	0.29	3.67	0	0	0	0	0	0.03	1
TNFRSF12A	4.31	1.61	1.08	0.32	33.21	0	9.02	0	0	0.11	0.03	0
DLX6	10.6	11.11	0.09	0	3.21	0.2	15.42	0.06	0.41	0	0	0
MAP3K9	21.26	20.5	1.93	1.82	100.18	0	26.41	2.76	11.72	0.32	0.27	0.56
RALA	16.46	17.02	14.18	18.21	0.43	0	0	0	1.09	0.71	0	0
