GeneSymbol	D3_ISO6_LP_1	D3_ISO6_LP_2	D3_ISO1_LP_1	D3_ISO1_LP_2	D3_INT_LP_PI_1	D3_INT_LP_PI_2	D3_INT_LP_LPS_1	D3_INT_LP_LPS_2	D3_INT_LP_5OP_1	D3_INT_LP_5OP_2	D3_INT_LP_C_1	D3_INT_LP_C_2
CHRNB4	5.28	33.29	0.04	0	11.02	0	0	0	1.28	0	0	0
MUC5B	15.26	7.11	0.14	0.37	10.21	0.76	0	0.15	0.14	0.02	0.14	0.04
CTSD	21.03	25.3	39.56	44.8	0	0	0	0	0	0.04	0.45	0.54
COLEC11	4.7	1.76	0	0	4.13	0	0	0	0	0	0	0
STAG1	13.05	21.22	13.23	15.21	7.26	0	0	0	0.27	0.16	0	0.03
A4GNT	2.01	3.51	0	0.04	12.97	0	0	0	0	0	0	0
STK11	7.3	5.9	20.24	20.36	9.18	0.47	0	0	0	0	0.48	0.23
KMT2A	114.07	110.81	22.13	32.53	61.38	11.48	10.76	12.84	1.01	2.12	0.9	1.17
TREH	4.35	1.2	0	0	0.87	0	0	0	0	0	0.12	0
IFT46	16.65	19.49	13.92	9.04	0	0.58	4	5.49	0	23.26	0	0.11
MMP8	8.1	4.66	0.03	0.05	26.91	0	4.16	0	0	0	0	0.18
APOA1	6.23	1.13	0.4	0	0	0	0	0	0	0	0	0
ZNF541	3.8	2.32	0	0	0	0	0	0	0	0	0	0
SLC8A2	20.74	21.21	0.02	0.14	1.39	0	2	0	0.06	0	0	0.47
KPTN	4.29	6.68	1.43	1.17	0	0	26.41	0	0	0	0	0
RPS25	63.31	118.43	355.43	299.84	35.12	0	1.3	0	14.3	22.35	9.33	27.61
KIF14	2.63	2.54	3.25	2.48	0	0	0	0	0	0.13	0	0
TNNT2	18.62	14.51	0	0	20.99	0.15	0	0	0	5.46	0	1.02
DDX59	17.52	20.91	9.25	11.63	14.05	0	0	0.05	0	2.63	0	0.01
CAMSAP2	8.73	8.67	0.61	0.47	8.22	0	1.89	3.29	30.62	1.11	0.06	0.04
ATF6	25.68	15.47	10.44	10.8	16.89	0.32	4.2	0	0	0.38	0.39	0.12
CRYGD	0	0	0	0	0	0	0	0	0	0	0	0
MREG	5.35	2.65	8.51	7.95	0	0	0	0	0	0	0	0.13
TNP1	0	0	0	0	0	0	0	0	0	0	0	0
FASTKD2	13.57	16.65	7.84	6.8	47.84	3.51	6.01	0	0	2.64	0.39	0.15
NRP2	35.17	39.02	0.27	0.16	10.45	0	0.15	0	2.93	0.24	0.18	0.36
CREB1	26.86	15.17	19.72	15.15	1.18	0	6.19	0.02	0.19	0.12	0.08	0.21
KLF7	8.31	9.9	1.7	1.56	37.12	1.52	91.43	0	1.53	3.33	0	0
TTR	8.85	5.84	0	0	0	0	0	0	0	0	0	0
B4GALT6	8.53	7.34	0.33	0.98	2.92	7.73	0	0	5.05	0	0.04	0
C1orf54	0	0	0.09	0	0	0	0	0	0	0	0.64	0
CA14	16.64	7.56	0.35	1.04	17.49	0	0	0	0	0.63	0	0
CASC1	0.94	7.44	0	0	0	0	0	0	0	0	0	0
LRMP	24.4	34.19	2.88	2.99	8.47	0	0	2.75	0	0.07	1.97	0
ATP10B	42.55	19.53	0.11	0.62	25.76	8.97	7.39	0	2.69	5.68	0.74	0
SPCS2	92.7	30.73	47.77	33.54	0.9	3.95	0	5.16	0	0	0.01	0
USP35	10.38	11.65	1.13	1.61	23.44	0.07	3.43	0.06	3.53	1.69	0.47	2.14
ELOVL4	2.24	1.11	0.13	0	0	0	0	0	0	0	0	0
FILIP1	5.95	11.74	0.05	0.19	0	0	0	0	0	1.56	0	0
CASP8AP2	22.99	19.86	8.93	10.23	0	0	0.32	1.11	2.97	4.35	0	1.54
HMGN3	33.58	24.44	14.97	6.45	0	0	17.38	0	0	0	0	0
UBE3D	32.96	32.45	1.43	2.02	97.67	2.63	8.04	0	1.3	0.94	0	0.21
CNR1	3.11	2.64	0.5	0.25	5.67	2.12	0.61	0	0.11	0	0	0
SPACA1	0.85	0	0	0	0	0	0	0	0	0	0	0
ANKRD13C	8.6	8.28	9.12	10.67	5.04	0	0	0	0	0.32	0	0.63
SGIP1	30.46	14.83	0	0.05	2.07	0	0	0	5.16	0.89	0	0.1
PHF3	16.98	29.05	14.46	17.52	24.28	0	0.16	1.56	1.21	0.06	0.09	0.05
ZC2HC1B	0	0	0	0	0	0	0	0	0	0	0	0
ADGB	16.82	3.61	0	0.36	16.01	2.83	0	0	0	0.25	0.27	0
PLAGL1	17.49	23.62	3.72	5.75	65.06	0	0	0	0	3.03	0	0.04
FBXO30	4.72	4.89	1.48	2.46	3.58	0	0	0	0.03	0.1	0	0.11
TNFAIP3	10.75	20.22	37.66	35.24	0	2.52	3.64	0.87	8.57	5	0.66	2.27
AKAP7	15.35	11.84	1.67	1.51	0	0	0	0	0	0	0	0
RAB32	0	1.88	0.54	0.21	0	0	0	0	0	0	0	0
MYB	27.87	7.88	36.11	36.6	0	0	1.91	0	0.2	1.26	0.1	0.18
ALDH8A1	9.21	22.16	0.04	0.13	81.56	1.57	0	0	0	0	0	0
SGK1	49.22	45.23	10.74	19.16	19.9	7.14	25.21	10.68	0.74	1.96	0.4	0.82
RNF146	24.7	37.51	5.12	3.49	12.34	0	0	0	7.69	3.54	1.4	0.49
ARG1	3.25	0	0	0.94	0	0	0	0	0	0	0	0
CCN2	4.93	5.52	0.17	0.34	3.68	0	2.14	0	0	0.15	0	0.15
TCF21	16.93	15.86	0	0.21	40.93	0	5.5	0	3.01	0.86	0.43	0
PMFBP1	5.7	3.02	1.31	1.73	49.05	0	0	0	0	0	0	0
FBXL5	13.7	16.38	5.91	5.94	90.82	0	80.35	0.09	5.13	0.7	0	0.44
MED28	6.86	5.18	11.53	12.29	4.3	0.27	0.73	0.01	0.65	0.13	0.12	0
SLC16A7	11.66	6.47	5.62	2.89	1.79	0.01	0	0	0.12	0.04	0.04	0
RXYLT1	18.89	18.33	3.82	4.59	36.48	2.99	2.32	0.07	5.17	0.77	0.28	0
ZNF430	6.02	8.95	5.15	4.68	4.2	1.26	0.08	0	14.75	0	0	0
VAMP8	25.5	19.53	26.06	26.18	21.37	0	0	0	0	0	0	0
DCLRE1B	9.55	6.7	7.1	8.53	29.1	0	0	0	0	0	0.78	0.69
MYL12B	66.1	150.5	117.25	114.15	21.65	0	34.9	5.69	0.93	1.62	2.39	11.14
FOXO3	5.52	5.46	2.76	4.77	2.16	0	2.63	0	2.65	0.17	0.01	0.5
ARMC2	2.83	13.91	1.29	0.84	34.3	0	0	0	30.61	3.61	0	0
GHRH	0	0	0	0	0	0	0	0	0	0	0	0
RPN2	10.4	20.25	56.15	55.16	6	0	0	0	0.86	0.03	0	0
TGIF2	10.23	5.47	9.37	8.37	76.39	0	0.09	0	0.09	2.12	0.58	0
CASQ2	16.89	17.03	0	0.11	17.35	0	11.07	4	10.18	1.06	0.89	0.22
OLFM3	10.18	1.05	0.15	0	0	0	0	0	0	0.04	0	0.17
PKD2	5.97	6.09	1.73	2.59	4.78	0	0	0	0	1.8	0	0
ABCG2	5.94	5.85	0.55	0.36	1.42	0	2.24	5.3	0	0.56	0.13	0
SPP1	28.91	7.92	0	0	36.21	0	0	0	0	0	0	0
STBD1	3.25	8.47	0.61	0.89	0	0	12.04	0	0.14	0.08	1.26	0
CCNI	42.06	28.4	46.45	35.77	0	3.19	0	0	0.65	1.1	6.02	4.62
RARRES1	4.52	0	0.31	0.26	0	0	0	0	0	0	0	0
MFSD1	18.06	14.34	6.47	3.04	0	0	0.16	0	6.07	3.23	0.05	0.15
RAB3GAP2	33.02	40.47	9.67	15.93	53.05	4.33	5.46	0.98	9.41	0.16	0	1.1
EEF2KMT	4.46	29.59	8.62	6.01	0	0	0	0	0	0.09	0	0.06
PPL	18.15	3.6	0.59	0.74	23.39	0.04	0.58	0	0	0.09	0	0
UBN1	4.47	8.25	13.94	15.24	6.8	0	0	3.22	4.3	0.36	0.32	0.16
BTF3P11_ENSG00000118903	4.15	9.68	0	0	0	0	0	0	0	0	0	0
KLF12	5.96	4.72	1.89	3.15	1.34	0	15.26	0	0.36	0.2	0	0
UCHL3	11.2	4.29	13.07	9.79	0	0	0	0	0	5.32	0	0
PCDH17	8.59	6.03	0.04	0.07	9.87	0.02	0.07	0.94	1.59	0.14	0	0.11
HS1BP3	29.5	25.51	3.8	6.92	42.05	0.03	3.51	0.43	3.97	0.08	0	1.65
LDAH	15.91	13.71	4	2.96	5.12	0	0	0	2.67	1.41	0.26	0
WDR35	13.72	2.66	2.87	1.59	5.06	0	0	0.09	0.2	0.01	0.03	0
CCND2	28.71	32.11	130.51	144.96	16.66	0	4.65	0.65	6.46	1.79	0.19	0.23
FGF23	23.62	18.86	0.05	0.35	19.81	0	0	0	6.91	1.58	1.87	0.19
OTUD4P1_ENSG00000118976	7.82	10.58	0.2	0.6	4.27	0	4.34	0	3.15	0.51	0	0
ELL2	28.3	10.87	13.3	14.38	2.34	0	1.39	0	3.95	0	0.29	0.13
GLRXP3_ENSG00000118990	0	0	0	0	0	0	0	0	0	0	0	0
DNAH7	11.94	10.13	0	0.08	6.74	10.41	1.2	0	1.56	1.19	0.08	0.07
CYP20A1	6.86	6.43	5.55	5.86	6.97	4.06	0.19	0	0.4	0.88	1.9	0.04
NDUFB3	10.26	64.25	29.27	21.7	9.36	0	0	0	0	0	0	0
GTF3C3	20.97	55.02	14.47	24.86	15.14	0	0	0	13.38	5.13	0	1.26
SATB2	40.54	23.93	0.02	0.12	26.08	4.49	14.51	7.23	18.07	0.95	0.29	0.28
UBE2B	9.69	9.81	6.69	5.88	0	1.68	0	0	0	0	0.57	0
TRPM6	6.22	3.83	0.1	0	8.22	0	1	0	0	0.64	0	0
GDA	12.2	7.36	0.15	0.11	7.17	4.87	0	0	1.62	0	0	0
KLF9	5.65	6.68	4.71	6.63	0.22	0	5.64	0	0.06	0.19	0.19	0.02
TJP2	44.21	41.48	9.6	9.12	12.03	2.99	0.09	0	16.43	0.19	0	0
ECRG4	7.65	4.3	0	0	0	0	0	0	0	0	0	0
ITGB1BP1	13.1	28.65	21.11	11.78	9.61	0	0.55	0	48.65	3.68	0	0.03
CPSF3	14.15	27.93	29.9	22.59	0	0	5.06	0.81	0.28	0	0	0
PIGZ	11.37	6.89	0.16	0.05	53.73	0	0	0	0	2.49	0	0.39
SENP5	17.17	10.65	10.42	9.65	30.97	0	0	0	0	0	0.16	0
CCDC92	20.77	15.48	5.38	7.01	25.7	0	0.12	1.74	5.81	0.29	0.04	0.22
C1orf198	12.54	22.99	5.98	6.32	16.95	0	0	0	0	0	0	0.12
TRIM67	5.03	5.85	0.02	0.16	3.96	0.06	0.06	0	0	0.35	0.05	0.02
HEATR1	3.1	3.59	15.78	14.89	0	0	0	0	0	0.07	0	0.16
PTBP3	8.26	5.22	11.38	14.01	3.47	0.02	1.71	0	0.22	0.03	0	0
RAD23B	12.11	14.01	31.77	20.84	1.98	0	0	4	0.93	0	0	1.58
FKBP15	22.6	21.48	9.94	8.78	32.91	2.59	2.28	0	13.79	2.24	0.4	0
CTNNAL1	2.81	3.49	3.95	2.5	0	8.35	0	0	0	0	0	0
ABITRAM	7.49	1.86	2.2	2.93	3.33	0	0	0	0	0	0	0
WDR34	11.34	3.05	14.53	9.04	0	0	0	0	0	1.22	0	0.02
SET	75.76	149.35	395.1	380.13	16.67	0	21.22	0	0.21	9.55	2.7	1.26
PTPA	69.05	46.05	12.58	9	24.77	0	20.15	9.47	0.16	0	3.54	7.06
GLE1	36.75	25.49	13.44	11.68	83.35	1.46	12.51	0	0.89	2.97	0.19	0.29
RAB14	9.3	7.25	33.18	25.83	0	0	0	0	0.57	0	0	0.22
CNTRL	48.83	97.53	38.94	39.92	41.21	2.17	3.36	3.52	15.44	4.26	0.45	0.25
TRIM32	7.16	18.09	2.95	2.43	5.4	10.81	0	0	3.7	0.21	1.1	0
FBXW2	13.76	13.26	5.6	4.63	32.25	0	1.52	0	2.13	0.79	0.78	0.17
PHF19	18.94	15.49	64.4	55.25	40.35	0	0	8.22	0	0.31	0	0.8
NEK6	7.37	15.91	14.75	15.59	8.89	3.18	0	0	0	0.94	0.04	0
BSPRY	1.05	0.78	1.21	0.72	0	2.22	0	0	0	0	0	0
PPP6C	13.14	6.98	5.85	6.7	1.86	3.68	4.67	0.28	1.72	0	0.03	0
NDUFA8	9.07	34.5	15.35	13	0	0	0	0	0	0	0	0
HDHD3	6.07	3.18	2.36	1.29	0	0	0	0	0	1.81	0	0
LCN1P1_ENSG00000119440	0	0	0	0	0	0	0	0	0	0	0	0
RBM18	9.77	5.17	4.63	4.87	9.46	0	0	0	1.23	0.35	0	0
SLC46A2	3.21	4.72	0	0	1.34	0	0	0	0	0	0	0
HSDL2	5.67	5.66	4.03	3.21	8.01	0	0	0	4.16	0	0.07	0
MAPKAP1	34.26	19.59	18.96	17.23	17.14	0.77	0	0	0	0	0	0.6
NR4A3	9.72	4.88	3.41	5.16	3.28	0.78	0.12	0	2.99	0	0	0.88
INVS	18.04	13.74	4.3	5.53	0	2.3	0	0	0.06	1.96	0.09	0
GALNT12	7.21	7.48	2.08	1.87	0	0	0	0	0	0	0	0
DENND1A	23.3	17.64	3.66	5.05	60.71	1.86	0	42.93	12.21	0	0.38	0.07
ALG2	20.06	18.89	5.52	6.48	13.63	0	0	0	0	1.22	0	0.64
CSF3R	27.05	31.45	0.04	0.32	24.32	1.6	3.91	1.2	7.55	2.73	0.3	0.51
KDSR	18.3	11.98	9.29	8.55	14.3	3.98	7.08	0	13.16	0.03	0.67	2.14
VPS4B	13.9	24.15	13.49	16.7	4.6	60.21	0	0	0	1.78	0	0.83
ONECUT2	8.98	6.04	0	0.07	10.47	90.73	1.79	1.94	2.39	0.52	0.37	0.06
C19orf25	38.67	16.79	6.49	7.93	91.8	0	0	0	0	1.45	0	0
ZBTB45	3.29	2.04	4.22	5.83	10.15	0	0	0	0	0	0	0
YLPM1	47.69	36.08	23.1	37.83	48.89	0.37	11.38	7.78	18.98	1.58	1.61	0.17
DCAF4	48.2	76.96	10.28	8.14	57.82	0	0	0	0.22	0	0	7.15
PROX2	4.94	4.94	0.13	0.09	13.36	0	0.08	0	0	0	0	0.41
VSX2	6.72	6.39	0	0.1	4.35	0	4.82	0	0	0	0	0
FCF1	12.63	20.78	14.47	13.99	8.23	4.82	0.34	0	0.07	0	0	0
PGF	6.21	12.83	0	0.12	51.54	1.39	0	0	0.08	0.86	0.1	0
IFI27L2	22.62	12.98	12.57	10.14	0	0	0	0	0	0	0	0
BBOF1	8.77	15	2.84	1.69	0	0.48	0	0	0	0	0	0
NEK9	30.63	25.72	15.64	14.52	23.49	4.11	1.15	0.91	4.1	0.62	2.26	0
ACYP1	15.47	34.82	5.88	11.95	0	0	0	0	36.01	0	0	0
IFT43	28.92	29.07	1.81	4.19	40.62	4.5	0	0	27.71	0	0	0.98
NPC2	10.7	39.02	3.37	6.75	0	0	0	0	0.71	0	0	3.65
DPPA5P4_ENSG00000119660	14.15	11.13	0	0	48.71	0	0	0	0	0	0	0
DNAL1	12.83	9.14	2.61	0.6	3.6	0.97	1.18	0	2.76	0	0	0
IRF2BPL	1.85	2.97	4.27	2.55	0.84	0	0	0	0.35	0.85	0	0.03
ACOT2	4.99	3.36	4.74	2.99	0	0	0	0	1.69	0	0.45	0
LTBP2	16.58	18.48	0.51	0.07	0.13	0.02	0	0	0.77	0.43	0	0.22
AREL1	10.37	35.99	5.63	5.24	0	0	51.76	0	2.41	0	0.13	0.87
MLH3	8.31	4.59	3.35	4.37	5.27	0	0	0	29.77	1.05	0	0.22
TTLL5	43.03	18.09	9.06	19.86	4.09	0	1.34	0	5.77	0.15	0	0.94
FLVCR2	15.86	20.89	0.42	0.98	10.02	0	0	0	0	2.15	0.39	0
ABCD4	46.64	27.83	12.57	11.6	48.38	0	12.77	0	0	0.09	0.48	1.35
DLST	31.42	50.73	31.91	28.83	21.92	64.69	116.31	6.47	5.3	0.7	0.06	0
PPP4R4	3.39	3.62	0	0.03	0	0.46	0	0	0	0	0	0
TGFB3	33.29	21.39	0.52	0.58	15.6	43.21	1.49	0.05	13.08	0.32	0.03	0.52
ZC2HC1C	9.98	17.61	0.78	1.47	12.77	0	0	16.07	1.84	2.21	0.39	0.48
SLIRP	62.44	149.15	110.96	68.08	5.84	0	0	0	0	0	0	0
RBM25	64.55	72.55	70.33	65.52	133.41	18.22	22	24.61	10.85	16.01	6.9	4.3
ALDH6A1	16.61	18.13	0.9	1.11	89.79	1.76	0	0	0	0	0.51	0
GPR68	12.48	6.45	6.17	6.97	0	0	2.77	0	0	0	0.7	0
ESRRB	9.68	21.23	0.19	0	2.83	0	6	0	0	2.54	0	0.36
EIF2B2	13.62	13.64	11.75	12.36	0	3.81	4.47	0	0	1.07	1.34	0.08
NRDE2	12.05	17.35	5.89	8.47	15.99	0.14	70.49	7.88	0.5	1.11	0.48	0
COQ6	25.8	23.89	3.08	3.06	15.37	0	6.86	0	0	1.35	0	1
ZNF410	22.4	31.62	12.5	15.21	15.85	13.31	5.25	0	2.86	0.25	4.24	0
RHOQ	23.33	3.98	3.54	7.94	11.19	0	0	0	0.06	12.02	1.32	0.05
GPR75	19.53	6.66	0.79	1.35	18.47	0	0.61	0	18.9	4.09	0.01	0
SUPT7L	9.26	13.69	11.35	10.06	11.92	0.76	0	0	0.14	2.07	0	0.6
KLHL29	9.54	11.43	0.33	0.81	7.71	0.93	1.59	0.02	18.48	0.21	0.2	0.15
DNMT3A	37.23	51.75	23.79	30.64	10.67	3.9	13.72	4.09	1.83	14.22	1.61	0.15
TMEM214	49.82	23.48	31.46	39.86	10.89	0	20.08	0	0	0.62	0	1.08
ATAD2B	21.09	43.36	2.48	3.55	1.02	0	1.51	24.96	0.8	0.41	0	0.18
FKBP1B	11.33	1.14	0.76	0	0	0	0	0	0.43	0	0	0
ATL2	29.8	14.88	10.22	6.17	0	0	0	0	0	0	0.46	0
YPEL5	48.82	27	9.45	4.23	61.6	0.07	3.78	99.64	0	4.93	1.22	0
FAM98A	25.07	18.8	10.88	10.13	31.76	1.76	3.36	0	3.33	0.51	0.1	0.44
YIPF4	11.61	3.09	2.03	3.35	130.58	0.64	0	0	1.1	0.5	0.14	0.03
AFTPH	8.99	9.17	8.94	11.09	5.77	0	0.34	0	6.27	0.78	0.14	0.14
LGALSL	3.39	2.77	0.32	0.13	0.61	2.55	1.73	1.55	0	0.8	0	2.22
CNRIP1	8.65	16.58	0	0.09	0	0	0	0	0	0	0	0
BCL11A	60.17	56.43	1.86	2.98	28.92	0.04	2.86	0.42	6.43	3.2	0.22	1.66
CRIPT	7.17	4.56	0.67	0.57	1.61	0.62	0	2.28	11.87	0	0	0
EPCAM	5.88	14.84	8.62	3.97	0	0.11	0	0	0.22	0.06	0.04	0
SLC17A5	4.42	1.77	0.76	1.56	0	7.19	0	0	0	0	0	0
OGFRL1	18.79	26.69	0.98	0.99	47.68	0.86	2.63	0	0.71	0.2	0.01	0
SLF2	19.42	16.77	7.79	11.34	73.47	0	0.31	0	27.51	0.86	1.08	0.05
IDE	26.62	19.71	6.31	7.11	34.25	1.06	1.81	2.39	4.02	0.73	0.35	0.32
TECTB	3.73	3.46	0	0	7.74	0	0	0	0	0	0.12	0.18
ELOVL3	6.23	11.34	0	0.02	34.67	0	2.45	0	0	0	0	0
IFIT3	9.25	8.28	4.06	5.63	34.81	0	0.93	0	15.59	2.74	0.16	0.5
NKX2-3	2.24	0	0	0.04	0.6	0	0	4.46	0	0	0.01	0
IFIT2	6.77	8.95	0.91	1.25	24.58	0	0	1.29	0	2.82	0.17	0
GPAM	11.23	9.33	1.15	1.41	15.25	2.11	1.49	0	0	0	0	0
CUTC	10.9	11.34	6.97	5.68	1.02	0	0	0	0	0	0	0
PPP1R3C	4.95	1.34	0	0	2.87	0	5.59	0	0	0	0	0
PYROXD2	2.98	4.6	0.9	4.94	0	0	0	0	0	0	0	0
CNNM1	8.21	3.95	0.03	0	3.8	0.43	0	0	0	0	0	0
MXI1	7.38	8.9	6.55	8.76	0	18.35	0	0	0	0.42	0	1.47
SMNDC1	12.04	11.89	18.22	16.3	6.72	0	0	0	0.33	0	0.05	0.24
C10orf88	4.66	0.89	1.43	2.45	0	0	0	0	0	0	0	0
HELLS	41.13	68.7	90.19	90.32	3.9	0	0	3.4	0.05	2.46	0.07	1.15
PRLHR	10.26	8.38	0	0.03	9.12	3.14	0	0.24	0	0	0.21	0
TCTN3	34.07	30.21	5.35	5.77	101.88	0	0.1	6.19	45.65	22.08	2.87	2.75
DENND10	27.77	25.49	4.51	3.84	1.5	0	0	23.65	0	0	0.37	0
AVPI1	0.91	6.14	0.32	0	0	0	0.25	0	0	0	0	0
WDR11	44.21	35.7	11.2	12.96	3.24	0	9.11	0	0.98	0.2	0	0.57
ARMH3	8.65	9.12	3.29	5.11	14.36	0	8.56	0	0	0	0	0
KCNIP2	8.39	14.82	0.15	0.08	12.55	10.33	11.55	0	6.06	0	0	0
CFAP58	0.34	1.02	0.47	0.01	0	0	0	0	0	0	0	0
GOT1	22.02	18.59	7.13	7.41	8.91	0	0	0	0	0	0	0
CPN1	2.56	3.35	0	0	0	0	12.56	0	0	0	0	0
C10orf95	0	0	0.31	0.68	0	0	0	0	0	0	0	0
SFRP5	3.15	2.35	0	0.7	0.67	0	0	0	0	0	0	0
GNA13	6.91	7.43	6.55	7.7	1.63	0.11	0	0.24	1.47	0.54	0.45	0.28
HOXB8	11.23	22.73	0.28	0	4.56	1.01	1.59	0	0	0.12	0.48	0.41
KANSL1	69.73	82.41	26.48	43.17	94.95	0.5	11.07	0.11	2.92	1.98	1.41	0.68
HOXB5	10.22	8.11	0	0	2.05	0	1.22	0	0	0	0.61	0
CRHR1	16.66	19.53	0	0	20.06	1.67	0	0	2.3	1.8	0	0.08
HOXB3	20.85	24.01	1.21	0.82	3.98	0	2.73	0	0.17	0	0	0
HOXB1	15.6	8.54	0.54	0.13	20.38	2.98	7.97	0	5.47	0	0	0
DUSP1	2.33	1.31	0.93	1.51	0	0.32	7.14	0	6.17	3.65	0.67	2.4
PANK3	7.39	7.09	7.18	7.25	7.59	0.22	0	0	2.77	0.16	0	0
MSX2	3.71	9.71	0	0	0	0.07	10.29	0	0	0	0	0
TEK	5.15	1.92	0	0	3.95	0	0	0.03	0	0.42	0	0.25
RCL1	6.45	12.82	22.21	17.96	4.73	0	0	0	0	0	0	0.02
CAAP1	5.69	8.04	5.58	4.53	34.74	0	0	0	0	0	0	0
EQTN	0	0	0	0	0	0	0	0	0	0	0	0
MOB3B	19.39	9.46	0.15	0.13	10.82	2.16	1.33	0	1.24	4.44	0.07	0
INSL6	2.23	8.69	0.35	0	12.03	0	0	0	0	0	0	0
INSL4	6.04	4.51	0	0	0	0.08	2.3	0	11.81	0	0	0
MLANA	4.96	18.49	0.48	0.33	1.49	4.03	0	0.06	0	0	2.66	0
CD274	3.36	5.9	5.19	4.77	48.81	0	0	0	0	0.26	0.03	0
IFNA6	0	2.35	0	0	0	0	0	0	0	0	0.13	0
IFNA8	1.24	4.68	0	0	0	0	0	0	0	1.28	0	0
GRIA2	51.47	31.28	0	0.07	48.41	0	2.05	7.65	0	4.27	0.1	0
NUP43	7.1	7.08	9.03	12.69	0	0	9.6	0	0.92	0	0	0
MTHFD1L	44.25	17.31	19.98	22.48	0	0	0	0	0	0	0.9	0
LRP11	11.51	7.55	0.7	0.2	0	4.69	0	0.04	1.33	0.14	0	0
CCDC170	9.3	3.5	0.25	0.02	1.72	0	0	0	0.6	0	0	0
PCMT1	13.71	44.84	24.68	20.6	0	0	0	0	0.41	0	0.37	0.56
PLEKHG1	18.81	47.31	2.59	7.81	38.28	5.85	5.99	7.49	11.26	2.42	0.51	1.69
MYCT1	2.6	2.15	0	0	0	0	0	0	10.51	0	0	0
CXorf21	7.33	1.49	0.7	2.29	0	0	0	0	0	0	0	0
MAGEB4	13.28	15.85	0	0.13	14.17	0	0	0	0	0.37	0	0
CYSTM1	9.83	14.07	7.4	8.27	0	0	0	0	0	0	0	0
WDR55	11.93	8.1	12.08	8.78	16.88	0	0	0.03	5.74	1.77	0.26	0.67
ARAP3	6.67	7.31	4.72	4.76	13.81	0.09	8.33	0	0.47	0	0	0.35
PCDHB8	8.54	8.44	0.04	0.05	26.19	1.56	0	0	2.55	5.38	0	0
PCDHB10	11.02	8.01	0.12	0.03	4.67	0	0	1.11	0.09	1.25	0.1	0.44
PCDHB14	6.56	7.23	0.02	0.21	4.45	0	0.4	1.94	0.39	0	0.08	0
PCDHB12	13.25	10.03	0	0.12	19.09	0	0	0	15.64	0	0.01	0.15
SLC25A2	7.9	0.66	0.08	0.02	0	0	0	0	0	0	0	0
TNN	5.47	3.47	0.02	0	1.37	0	1.46	0	0	1.29	0	0.06
MRPS14	7.85	14	3.56	5.19	6.82	0	0	0	0	0	0	0
CENPL	19.69	15.78	5.36	7.39	56.31	0	0	0	0	3.34	0	0.45
TNFSF18	8.69	14.17	0	0.27	16.25	0	0	0	2.34	0.44	0	0
SEC16B	14.28	21.2	0.04	0	37.47	10.73	0	0	0	1.65	0	0
GORAB	28.75	39.91	4.42	6.23	38.39	0	16.48	0	0	2.74	0.08	0.26
GPR31	5.4	5.88	0	0.05	0	0	2.58	0	2.01	0.13	0	0
ACAT2	25.88	23.21	42.27	26.11	1.86	0	0	0	16.97	0	0	0
TCP1	58.74	80.84	149.18	156.42	0	0.72	30.01	26.14	0.3	3.96	0.08	0.04
TTLL2	9.88	12.47	0	0	0	0	0	0	7.35	0	0	0.22
SNX19	27.74	19.29	8.77	14.54	16.43	0.14	0	0	0.52	0.09	0.68	0
KCNJ5	15.48	21.05	0.06	0.08	51.35	0	1.42	17.09	2.61	0.88	0.02	0.14
MSANTD2	13.09	4.88	2.29	3.29	0	0	0.78	0	0	0.11	0	0
TP53AIP1	4.33	9.17	0.35	0	12.01	1.96	0	0	0	0	0.43	0
TEX11	0	0	0	0	0	0	0	0	0	0	0	0
ARR3	15.47	0	0.4	0.09	13.3	0	0	0	0	0.48	0	0
PDZD11	14.59	27.29	4.81	5.6	18.04	0	0	0	3.35	0.79	0	0
SLC10A7	22.38	21.29	3.37	1.38	4.52	0	7.25	3.82	0.13	3.61	0	0.1
NUDCD1	10.9	5.8	4.69	6.66	0	0.07	0.15	0	4.73	0	0	0.05
ENY2	28.72	37.45	26.45	16.44	39.01	3.4	36.84	15.38	10.45	5.27	1.55	0.18
MASTL	8.15	3.91	6.18	4.5	9.84	0	0	2.67	0	0.8	0.04	0
KIAA1217	38.06	26.94	3.5	1.97	70.23	0	0	0.02	1.74	23.79	0.18	1.38
SEPTIN7P9_ENSG00000120555	0	0	0	0	0	0	0	0	0	0	0	0
LYZL1	0	1.96	0	0	0	0	0	0	0	0	0	0
PLXDC2	3.28	2.45	0.16	0.16	5.5	0	0.46	0	0.8	0	0	0
EPC1	32.18	47.45	9.86	10.78	4.27	0	0	0	0.54	0.26	0.22	1.68
IQSEC3	8.51	4.55	0	0.01	16.88	0	0	0	0.48	0	0	0
CCDC77	17.78	17.77	7.09	6.44	0	11.84	0	0	0	0	0.3	0
TAF12	33.2	32.13	11.24	10.74	13.08	18.78	2.55	3.75	12.53	0.03	0	6.08
ENOX1	10.56	17.23	0.27	2.6	0	0	0	0	0	1.59	0	0
TNFSF11	3.48	1.79	1.17	0.2	2.25	0	0	0	0	0	0	0
MTRF1	29.94	8.45	4.55	3.32	0	0	3.68	0	0	0	0	0.01
SPART-AS1	10.14	13.63	0	0.02	5.85	0	0.26	5.2	5.73	0.22	0	0
SOHLH2	6.2	6.14	0	0	5.31	0	0	0	0	0	0	0
DNAJC15	12.99	13.57	6.69	6.67	4.08	1.25	0	0	1.53	0.15	0	0
